family,metric,kind,n_conf,n_spur,k_conf,k_spur,rate_conf,rate_spur,effect,p,min_detectable,testable,n_in_footprint,n_store_rows,p_holm
"D1 (X-ray activity, eROSITA-DE)",D1a in-footprint detection rate,rate,180,118,9,7,0.05,0.059322033898305086,0.009322033898305083,0.7951399084794568,0.15000000000000002,True,305,664,1.0
"D1 (X-ray activity, eROSITA-DE)",D1b hard-band (2.3-5 keV) rate,rate,180,118,0,0,0.0,0.0,0.0,1.0,0.15000000000000002,True,305,664,1.0
"D1 (X-ray activity, eROSITA-DE)",D1c DR1-only fader rate,rate,180,118,0,0,0.0,0.0,0.0,1.0,0.15000000000000002,True,305,664,1.0
