metric,population,n_conf,n_spur,p,auc,auc_lo,auc_hi,min_detectable_auc
astrometric_gof_al,all-65,631,346,0.007897093866220381,0.5513269147971382,0.5142425776132938,0.5888724888469535,0.5750000000000001
astrometric_gof_al,in-list,631,346,0.007897093866220381,0.5513269147971382,0.5129193270613669,0.5891743310462336,0.5750000000000001
ruwe,all-65,631,346,0.015295774133743298,0.546861115945879,0.5080516063134944,0.5837376217216456,0.5750000000000001
ruwe,in-list,631,346,0.015295774133743298,0.546861115945879,0.5084355505070399,0.5842479823749804,0.5750000000000001
