source_id,designation_aw,tmass_designation,ra,dec,glon,glat,ecl_lat,b_band,parallax,parallax_error,pmra,pmdec,r_med_geo,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,M_G,j_m,h_m,ks_m,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,snr3,snr4,w3snr_aw,w4snr_aw,rmse,t_ds,gamma,gvar,verdict,verdict_reason,flag_v1_w3nm0,flag_v1_w4nm0,flag_v1_w3flg32,flag_v1_w4flg32,ph_qual_aw,ph_qual_as,flag_v2_release_inconsistent,flag_v3_subthreshold,p_chance_1as,v5_centroid,n1_flag,n1_cat,n1_name,n1_sep_as,n1_r_as,n2_score,n2_flag,nebular_flag,w3sky,w4sky,w3conf,w4conf,w3_S,w4_S,w3_A,w4_A,w3_G,w4_G,w3_C,w4_C,morph_ok,n4_score,n4_flag,nebular_flag_v2,catalog_version
4662108904454413824,J050201.98-663712.3,05020196-6637123,75.508238,-66.620058,277.275062,-35.507315,-84.255023,outer_b30_50,3.737532,0.154171,1.555767,13.282063,265.1499,1.060794,18.727238,20.703287,17.475164,11.609781,15.664,14.977,14.767,14.555,0.026,14.421,0.032,11.497,0.101,9.011,0.296,10.749505,3.667905,10.7,3.7,0.082691,201.694915,0.146058,0.940502,CONTAMINATION-CONSISTENT,release-inconsistent: W3 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'A' in AllWISE; release-inconsistent: W4 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'B' in AllWISE,False,False,False,False,AAAB,AAUU,True,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.0,False,False,1124.717,323.082,4.734,2.248,6.388687857223293,2.234258531909004,5.632201031460061,1.3703928330139876,1.1432118770430268,0.4288183340239651,0.3199631424107808,0.3216998469488508,True,0.9876977152899824,False,False,v2
4662140034379148800,J045935.02-660646.7,04593503-6606468,74.895856,-66.113,276.741976,-35.867732,-83.936258,outer_b30_50,3.423177,0.06843,-8.259916,2.070269,290.58325,1.058021,17.478655,18.785707,16.323053,10.162302,14.905,14.209,14.013,13.78,0.025,13.617,0.026,11.866,0.202,8.986,0.289,5.374752,3.756747,5.4,3.8,0.158066,150.847458,0.1,0.823806,CONTAMINATION-CONSISTENT,"w4flg = 32: the independent aperture photometry gives a 95% upper limit, not a detection; w3flg = 32: aperture photometry is a 95% upper limit",False,False,True,True,AABB,AAAB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.044501,False,False,1181.745,333.019,5.11,2.88,24.847365804418736,6.961744162267936,26.510017105518127,5.869885151935484,4.773887140472247,2.6612046109039755,,0.4542986917630505,True,0.9997489329651016,True,True,v2
4667227504707875712,J032834.62-692526.2,03283438-6925273,52.144699,-69.423796,285.510429,-41.989488,-75.773713,outer_b30_50,9.796479,0.066818,104.281636,99.826209,101.57095,1.063549,17.204702,19.009989,15.958253,12.170854,14.185,13.572,13.381,13.154,0.024,12.925,0.023,11.231,0.087,7.984,0.15,12.47931,7.238,12.5,7.2,0.152867,150.847458,0.1,1.094999,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AAAB,AAAB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.0,False,False,1098.173,311.524,3.03,2.977,1.6327440998705658,1.5189003858634151,0.9115109820141168,1.1132397955346258,0.0594642556652425,0.0113424499609478,0.3349956356090065,0.5176150860842147,True,0.724328395681647,False,False,v2
4679576192813441280,J035314.95-615948.6,03531497-6159488,58.312321,-61.996726,275.167158,-44.085498,-75.693316,outer_b30_50,4.966346,0.331086,-0.470959,38.195149,206.08781,1.021431,19.802614,21.491697,18.52738,13.232352,16.223,15.661,15.589,15.3,0.031,15.085,0.05,12.195,0.211,8.56,0.214,5.145498,5.073364,5.1,5.1,0.149811,140.677966,0.362563,0.862833,CONTAMINATION-CONSISTENT,release-inconsistent: W3 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'B' in AllWISE; release-inconsistent: W4 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'B' in AllWISE,False,False,False,False,AABB,AAUU,True,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.031128,False,False,1172.229,337.956,4.509,2.239,1.6149880358777176,1.5237178079639868,1.4719983694133327,1.1345354871969593,0.162500025894314,0.5529610789616242,0.1781496570111375,0.3101677593650547,True,0.7280944012051218,False,False,v2
4682420934337515008,J040750.61-572502.7,04075063-5725025,61.960832,-57.417465,268.291138,-44.267502,-74.18606,outer_b30_50,4.102358,0.073662,-21.763945,-22.205119,241.38528,1.01568,17.51959,18.997145,16.335636,10.606036,14.697,14.099,13.805,13.684,0.023,13.541,0.026,12.548,0.241,9.098,0.282,4.504979,3.85,4.5,3.8,0.149665,120.338983,0.1,0.890345,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 4.5, W4 S/N 3.8) — the excess is at the instrument floor, candidate I's failure mode",True,True,False,False,AABB,AABB,False,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.063869,False,False,1189.641,336.5,3.334,1.184,1.7596316660183864,2.560717089268396,0.8946412860580225,2.3464745145924586,0.1786215847284459,0.8437118675826321,0.2381530236689336,0.3211019801731652,True,0.9776550338940496,False,False,v2
4714834812001755648,J020600.24-591721.9,02060012-5917220,31.501049,-59.289434,286.24348,-55.356849,-63.503164,core_b50,3.992154,0.089121,61.244277,8.429726,247.99129,1.09708,17.849785,19.48057,16.619085,10.877603,14.828,14.267,13.915,13.785,0.025,13.645,0.029,12.022,0.223,8.58,0.276,4.86861,3.933696,4.9,3.9,0.094327,150.847458,0.1,0.965108,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 4.9, W4 S/N 3.9) — the excess is at the instrument floor, candidate I's failure mode",True,False,False,True,AABB,AABB,False,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.193452,False,False,1214.431,352.452,5.594,3.393,1.3053649447076263,1.1449317798676777,0.5098379951126861,0.675129658712943,0.0746490863660971,0.3653457302585434,0.39312083209212,0.924785346782254,True,0.3324127542053728,False,False,v2
4717088364162269312,J013241.53-591139.2,01324146-5911391,23.173194,-59.194208,293.200897,-57.147824,-60.249733,core_b50,4.350902,0.116079,52.75311,6.684642,226.9306,0.996045,18.215904,19.861015,16.983307,11.436439,15.115,14.565,14.34,14.124,0.027,13.932,0.033,12.151,0.267,8.269,0.238,4.066292,4.561765,4.1,4.6,0.050863,130.508475,0.183332,0.985193,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 4.1, W4 S/N 4.6) — the excess is at the instrument floor, candidate I's failure mode",False,False,False,False,AABB,AACU,True,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.359465,False,False,1244.9,358.387,4.735,0.745,1.4897890427580571,1.8001187555625218,1.1957409705973068,2.359950906137151,0.1948483200728802,1.2501467916166444,0.1780205289637234,0.2050314428295087,True,0.8742154155159427,False,False,v2
4718904246271596800,J015245.41-570212.0,01524531-5702123,28.189393,-57.036628,287.10512,-58.167557,-60.694717,core_b50,4.427766,0.051061,65.201922,31.85385,224.42757,1.004001,16.95794,18.342628,15.810461,10.202559,14.27,13.729,13.464,13.289,0.025,13.126,0.026,12.111,0.28,8.463,0.229,3.8775,4.741048,3.9,4.7,0.093563,120.338983,0.1,0.905449,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 3.9, W4 S/N 4.7) — the excess is at the instrument floor, candidate I's failure mode",False,False,False,False,AABB,AABU,True,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.549919,False,False,1246.861,363.405,4.913,3.307,1.1241341800066638,1.3752910609693232,0.4627957393358441,1.0305603793894391,0.1090033704916634,0.6143707891351196,0.2737856434557384,0.2098242152917194,True,0.6055736881747427,False,False,v2
4727877047133922176,J025515.34-572438.5,02551532-5724387,43.813887,-57.410675,275.739777,-52.681553,-67.124985,core_b50,3.703713,0.08933,7.570878,19.269567,268.03616,0.982403,17.919685,19.485556,16.718466,10.778718,15.131,14.624,14.211,14.075,0.026,13.807,0.031,11.359,0.134,8.747,0.277,8.102239,3.919495,8.1,3.9,0.057678,191.525424,0.107871,0.863851,CONTAMINATION-CONSISTENT,"w4nm = 0: never detected in a single exposure, only in the coadd",False,True,False,False,AABB,AAAB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.21282,False,False,1219.792,353.105,2.299,1.838,1.5006669371128456,1.5846470989817771,0.7370353462703675,1.0754400049102135,0.0994413940133942,0.380593475219599,0.4227468700059874,0.5101721430758651,True,0.7695204619633442,False,False,v2
4742268279950577920,J024720.11-513525.4,02472001-5135258,41.833816,-51.59038,269.130904,-57.248888,-62.099108,core_b50,8.709266,0.142295,46.38345,27.715559,114.506615,1.030886,18.42363,20.731178,17.158747,13.129477,14.905,14.347,13.961,13.714,0.025,13.47,0.028,11.823,0.184,8.598,0.29,5.900543,3.743793,5.9,3.7,0.064906,161.016949,0.107871,1.04927,CONTAMINATION-CONSISTENT,"w4nm = 0: never detected in a single exposure, only in the coadd",False,True,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.840212,False,False,1282.979,374.109,5.779,2.285,1.0051286623104798,2.2016807591636205,0.6873984182426577,1.748008925496035,0.0299683039872672,0.6394250554339967,0.3132027365590756,0.2542001432325072,True,0.9563143359276928,False,False,v2
4746825618208068992,J025940.89-534636.7,02594091-5346365,44.92035,-53.776868,270.285671,-54.445502,-64.976365,core_b50,3.941257,0.084499,-17.491558,-11.942514,251.88368,1.055731,17.698528,19.180622,16.507837,10.692528,14.826,14.244,14.095,13.905,0.025,13.72,0.029,12.223,0.287,8.386,0.231,3.782927,4.7,3.8,4.7,0.038496,130.508475,0.1354,0.881247,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 3.8, W4 S/N 4.7) — the excess is at the instrument floor, candidate I's failure mode",False,False,False,False,AABB,AAUU,True,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.581277,False,False,1252.195,364.344,7.22,2.963,1.141308274844799,1.6555011917833662,0.4101762256318382,1.920059832476444,0.0982115866913947,0.6543181219543559,0.1632509705673794,0.2687722155740689,True,0.8076826512678885,False,False,v2
