kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source,source_id,n_transits_used,verdict
source,m6_cache_20260824T181908,3,,,,115,0.023,,1.947292821452945e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,3,,,,4,0.016,,2.4261162497139804e+18,36.0,INCONCLUSIVE
source,m6_cache_20260824T181908,3,,,,81,0.017,,5.772986493132305e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,81,0.02,,5.136025521527939e+18,462.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,88,0.018,,2.885872059004029e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,95,0.023,,1.6952949225481802e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,95,0.017,,1.8714193379587026e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,88,0.021,,5.820382041374662e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,73,0.019,,2.839407213009948e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,81,0.021,,4.922744974687373e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,77,0.024,,4.637171465304969e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,3,,,,97,0.022,,5.693240254808388e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,81,0.023,,4.6509335413111296e+17,649.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,73,0.021,,1.8542416677924183e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,62,0.021,,4.600723410759259e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,88,0.022,,1.1440196909660289e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,3,,,,4,0.022,,2.1473473085588106e+18,35.0,INCONCLUSIVE
source,m6_cache_20260824T181908,3,,,,90,0.031,,2.0809454692005652e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,3,,,,81,0.024,,4.3909467626640865e+18,462.0,SPURIOUS
batch,m6_cache_20260824T181908,4,20.0,0.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,4,,,,95,0.021,,1.8011108220951347e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,95,0.018,,4.240540718818314e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,97,0.017,,1.6947086466284022e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,95,0.017,,7.47174436620511e+17,781.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,62,0.019,,1.522897482203495e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,81,0.023,,3.4940299104690263e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,75,0.021,,1.5811173100888074e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,74,0.018,,5.681911574178199e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,62,0.023,,2.0325799799517327e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,81,0.022,,6.64130710946815e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,81,0.022,,4.564060367330379e+18,462.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,90,0.024,,1.5258292955998052e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,4,,,,74,0.023,,5.331513195692865e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,90,0.022,,2.4699266384160553e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,4,,,,97,0.021,,3.2830868866932705e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,77,0.022,,5.362481146844816e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,4,,,,77,0.022,,2.9199959177699533e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,4,,,,97,0.024,,5.538711420304269e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,81,0.023,,4.203075998333399e+17,462.0,SPURIOUS
source,m6_cache_20260824T181908,4,,,,115,0.024,,5.333771489506467e+18,824.0,CONFIRMED
batch,m6_cache_20260824T181908,5,20.0,2.0,0.0,0,0.0,0.0,,,
