refit_status,refit_method,refit_code_version,refit_n_ccd,refit_rms_single_mas,refit_peak_period_d,refit_peak_fap,refit_period_d,refit_period_err_d,refit_ecc,refit_ecc_err,refit_a0_mas,refit_a0_err_mas,refit_inc_deg,refit_omega_deg,refit_bigomega_deg,refit_tp_d,refit_parallax_mas,refit_parallax_err_mas,refit_pmra_masyr,refit_pmdec_masyr,refit_mass_function_msun,refit_m1_msun,refit_m1_sigma_msun,refit_m1_source,refit_m2_msun,refit_m2_p05,refit_m2_p16,refit_m2_p50,refit_m2_p84,refit_m2_p95,refit_m2_posterior_n,refit_posterior_method,refit_seconds,refit_notes,source_id,refit_run_id,refit_produced_utc
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,1.262614,83.92591,3.2898421220691016e-260,83.837596,0.012901,0.30532918,0.0098031,1.85118559,0.01722364,8.609223,203.884355,155.09099,8.924381,25.3448595,0.01141111,-582.468285,-0.551818,0.00739604,,,UNSOURCED,,,,,,,,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.34,"L21 zero-point APPLIED before the mass function: Z -35.4 uas, parallax 25.309416 -> 25.344860 mas; M1 UNSOURCED: companion mass not computed. Mass function (M1-free) 0.0074 Msun, 68% CI 0.0072-0.0076; shortcut 0.0074",4201219395570443392,m9_refit_20260824T181959,2026-08-24T22:20:07Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,6.605128,1667.222463,0.0,4183.679384,72.221447,0.72781609,0.00353983,27.11004173,0.3675281,110.545595,78.219406,136.360346,241.867519,1.67231645,0.00652344,-28.343481,-155.170423,32.47246327,,,UNSOURCED,,,,,,,,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.384,"L21 zero-point APPLIED before the mass function: Z -12.5 uas, parallax 1.659797 -> 1.672316 mas; M1 UNSOURCED: companion mass not computed. Mass function (M1-free) 32.4725 Msun, 68% CI 32.0179-32.9339; shortcut 32.4712",1862008819786215040,m9_refit_20260824T181959,2026-08-24T22:20:07Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,6.605128,1667.222463,0.0,4183.679384,72.221447,0.72781609,0.00353983,27.11004173,0.3675281,110.545595,78.219406,136.360346,241.867519,1.69486245,0.00652344,-28.343481,-155.170423,31.19372548,1.162488,0.06528,triage_frame:binary_masses,33.402727,32.660254,32.950765,33.40226,33.85766,34.153937,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.571,"L21 zero-point APPLIED before the mass function: Z -35.1 uas, parallax 1.659797 -> 1.694862 mas; mass function 68% CI 30.7612-31.6328 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 31.1925 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",5556237944880786816,m9_refit_20260824T181959,2026-08-24T22:20:08Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",824,0.154212,568.39628,2.7659409714486953e-151,578.959816,2.99373,0.41481455,0.06175359,0.25509213,0.00880142,120.926513,213.545412,174.455835,51.26648,13.6556227,0.00647449,-75.532276,17.965618,2.59e-06,0.672639,0.050057,triage_frame:binary_masses,0.01066,0.009614,0.010014,0.010656,0.01128,0.0117,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.505,"L21 zero-point APPLIED before the mass function: Z -32.1 uas, parallax 13.623494 -> 13.655623 mas; mass function 68% CI 0.0000-0.0000 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0000 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",1947292821452944896,m9_refit_20260824T181959,2026-08-24T22:20:08Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,6.605128,1667.222463,0.0,4183.679384,72.221447,0.72781609,0.00353983,27.11004173,0.3675281,110.545595,78.219406,136.360346,241.867519,1.69359345,0.00652344,-28.343481,-155.170423,31.26389788,0.994363,0.058037,triage_frame:binary_masses,33.166634,32.428155,32.715658,33.166186,33.620015,33.914533,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.426,"L21 zero-point APPLIED before the mass function: Z -33.8 uas, parallax 1.659797 -> 1.693593 mas; mass function 68% CI 30.8302-31.7043 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 31.2627 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",4637171465304969216,m9_refit_20260824T181959,2026-08-24T22:20:09Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,1.262614,83.92591,3.2898421220691016e-260,83.837596,0.012901,0.30532918,0.0098031,1.85118559,0.01722364,8.609223,203.884355,155.09099,8.924381,25.3377115,0.01141111,-582.468285,-0.551818,0.0074023,1.081644,0.056125,triage_frame:binary_masses,0.233999,0.220959,0.226047,0.233947,0.241666,0.246964,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.38,"L21 zero-point APPLIED before the mass function: Z -28.3 uas, parallax 25.309416 -> 25.337712 mas; mass function 68% CI 0.0072-0.0076 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0074 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",2080945469200565248,m9_refit_20260824T181959,2026-08-24T22:20:09Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,1.262614,83.92591,3.2898421220691016e-260,83.837596,0.012901,0.30532918,0.0098031,1.85118559,0.01722364,8.609223,203.884355,155.09099,8.924381,25.3395375,0.01141111,-582.468285,-0.551818,0.0074007,0.37754,0.049866,triage_frame:binary_masses,0.122823,0.105998,0.112823,0.122836,0.132281,0.138464,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.387,"L21 zero-point APPLIED before the mass function: Z -30.1 uas, parallax 25.309416 -> 25.339538 mas; mass function 68% CI 0.0072-0.0076 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0074 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",1525829295599805184,m9_refit_20260824T181959,2026-08-24T22:20:10Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,1.262614,83.92591,3.2898421220691016e-260,83.837596,0.012901,0.30532918,0.0098031,1.85118559,0.01722364,8.609223,203.884355,155.09099,8.924381,25.3530545,0.01141111,-582.468285,-0.551818,0.00738887,0.516587,0.049941,triage_frame:binary_masses,0.148387,0.133456,0.139415,0.148391,0.156953,0.162673,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.405,"L21 zero-point APPLIED before the mass function: Z -43.6 uas, parallax 25.309416 -> 25.353055 mas; mass function 68% CI 0.0072-0.0076 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0074 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",2469926638416055168,m9_refit_20260824T181959,2026-08-24T22:20:10Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,6.605128,1667.222463,0.0,4183.679384,72.221447,0.72781609,0.00353983,27.11004173,0.3675281,110.545595,78.219406,136.360346,241.867519,1.68906745,0.00652344,-28.343481,-155.170423,31.51589475,0.654624,0.051848,triage_frame:binary_masses,32.786951,32.045522,32.334874,32.787082,33.242347,33.537589,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.469,"L21 zero-point APPLIED before the mass function: Z -29.3 uas, parallax 1.659797 -> 1.689067 mas; mass function 68% CI 31.0779-31.9608 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 31.5147 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",5362481146844816640,m9_refit_20260824T181959,2026-08-24T22:20:10Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,6.605128,1667.222463,0.0,4183.679384,72.221447,0.72781609,0.00353983,27.11004173,0.3675281,110.545595,78.219406,136.360346,241.867519,1.69755945,0.00652344,-28.343481,-155.170423,31.04528434,0.691084,0.050263,triage_frame:binary_masses,32.384435,31.657573,31.94142,32.384593,32.831055,33.120162,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.408,"L21 zero-point APPLIED before the mass function: Z -37.8 uas, parallax 1.659797 -> 1.697559 mas; mass function 68% CI 30.6152-31.4819 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 31.0441 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",2919995917769953408,m9_refit_20260824T181959,2026-08-24T22:20:11Z
