metric,population,n_conf,n_spur,p,auc,auc_lo,auc_hi,min_detectable_auc
astrometric_gof_al,all-65,221,667,0.8021546295779222,0.5056204929209603,0.4613822613580088,0.5488343497934292,0.5750000000000001
astrometric_gof_al,in-list,221,667,0.8021546295779222,0.5056204929209603,0.4617950640064583,0.5499499684546866,0.5750000000000001
ruwe,all-65,221,667,0.7305694542562932,0.5077235138087065,0.4627931509358443,0.5516429002693224,0.5750000000000001
ruwe,in-list,221,667,0.7305694542562932,0.5077235138087065,0.46394625085647223,0.5529930735989471,0.5750000000000001
