metric,population,n_conf,n_spur,p,auc,auc_lo,auc_hi,min_detectable_auc
astrometric_gof_al,all-65,219,668,0.004898499612417803,0.5632843901238619,0.5191803037760095,0.6071232534930139,0.5750000000000001
astrometric_gof_al,in-list,219,668,0.004898499612417803,0.5632843901238619,0.5192218303119788,0.6056734134470784,0.5750000000000001
ruwe,all-65,219,668,0.008667616371810403,0.5590394553359035,0.5158243444617614,0.6016427760916522,0.5750000000000001
ruwe,in-list,219,668,0.008667616371810403,0.5590394553359035,0.5156597763377355,0.6021387020479589,0.5750000000000001
