source_id,ra,dec,w4mpro,n3_neighbours_60as,n3_neighbours_w4bright_60as,n3_density_deg2,n3_neighbours_suazored_60as,n3_density_w4bright_deg2,n3_density_suazored_deg2,n3_p_chance_3p25as,n3_p_chance_1as,glat
1345188052692608,43.88991754467799,2.3242530116702502,7.711,13,2,14896.902673401404,0,2291.831180523293,0.0,0.0058508721450527545,0.0005554012631419081,-48.03088164615933
21485423574915456,40.21649295724785,8.999184344987995,8.216,9,0,10313.240312354817,0,0.0,0.0,0.0,0.0,-45.185874563812895
65225469302220800,56.71438897122719,24.10432284781211,7.284,17,6,19480.565034447987,2,6875.493541569878,2291.831180523293,0.017450118611764154,0.0016652785490612887,-23.55217170078967
65236739295987200,55.80826538420033,23.795884149961378,8.217,13,3,14896.902673401404,1,3437.746770784939,1145.9155902616465,0.008763458407512137,0.0008329862075416861,-24.3354750427204
65294364873918080,56.29278594931714,24.392156067592783,7.514,13,6,14896.902673401404,3,6875.493541569878,3437.746770784939,0.017450118611764154,0.0016652785490612887,-23.59616511665332
66522377627294336,57.01249962488416,24.0012898055372,7.735,24,9,27501.974166279513,5,10313.240312354817,5729.577951308232,0.026060653630615938,0.0024968776025399153,-23.444734880044358
66783099321711360,56.728728157066,24.466451174674035,7.838,21,9,24064.227395494574,6,10313.240312354817,6875.493541569878,0.026060653630615938,0.0024968776025399153,-23.275223770567095
72265337311743744,34.74738303164307,10.982086713404204,7.792,14,1,16042.81826366305,1,1145.9155902616465,1145.9155902616465,0.002929727724797049,0.00027773920110285566,-46.37274740669816
97338291233869952,27.6836800932037,21.301733752501164,8.487,14,1,16042.81826366305,1,1145.9155902616465,1145.9155902616465,0.002929727724797049,0.00027773920110285566,-39.48942021453973
111132759821159424,49.55821650132807,24.63153039741925,8.099,12,0,13750.987083139757,0,0.0,0.0,0.0,0.0,-27.297191333282964
121176287440183936,54.10247468694697,30.77814877730277,8.039,20,4,22918.311805232926,2,4583.662361046586,2291.831180523293,0.011667511585247703,0.0011104940557207232,-19.975173535235257
123825182750715264,48.05566303476134,32.413360327216786,8.254,5,0,5729.577951308232,0,0.0,0.0,0.0,0.0,-21.688280661434874
124559312920519040,52.74276039645791,32.284910032929965,8.254,21,4,24064.227395494574,1,4583.662361046586,1145.9155902616465,0.011667511585247703,0.0011104940557207232,-19.49958283576062
170010787154922112,63.289306562288,34.203648373164576,8.235,21,0,24064.227395494574,0,0.0,0.0,0.0,0.0,-12.272539435337809
178409814740773120,67.01019660181763,38.02279485878217,7.127,24,4,27501.974166279513,0,4583.662361046586,0.0,0.011667511585247703,0.0011104940557207232,-7.4539595036896555
180964362507643136,81.14441408051816,33.090032762708525,7.484,27,8,30939.720937064452,2,9167.324722093172,2291.831180523293,0.023198892343903377,0.0022197549143936346,-1.543420632966672
181186253400855680,80.40642885723793,33.58283533090806,7.151,17,8,19480.565034447987,2,9167.324722093172,2291.831180523293,0.023198892343903377,0.0022197549143936346,-1.7736264189709845
181953648093076352,78.83742887555677,33.93509681970746,7.102,22,9,25210.14298575622,7,10313.240312354817,8021.409131831525,0.026060653630615938,0.0024968776025399153,-2.638723636498849
182041162347363840,79.67078610444726,34.43539310340615,6.853,11,1,12605.07149287811,1,1145.9155902616465,1145.9155902616465,0.002929727724797049,0.00027773920110285566,-1.7870050507372879
182053836792653952,79.2388065503622,34.10946585933449,7.879,16,5,18334.649444186343,0,5729.577951308232,0.0,0.014563056677874053,0.001387924829091669,-2.266565472660081
182099226008267904,79.35377633724482,34.53472285047545,7.36,20,13,22918.311805232926,2,14896.902673401404,2291.831180523293,0.03742410223770931,0.0036045988905251125,-1.9434329041958658
182289956917284224,78.72389266247355,34.89436931455615,7.683,18,4,20626.480624709635,4,4583.662361046586,4583.662361046586,0.011667511585247703,0.0011104940557207232,-2.1566952593242044
182292400754039552,79.100955548714,34.75864022928033,5.923,23,10,26356.05857601787,4,11459.155902616463,4583.662361046586,0.028914030735945118,0.002773923322852201,-1.9836272899015335
182594933955444608,82.32639386978524,34.21323376221695,7.428,18,7,20626.480624709635,1,8021.409131831525,1145.9155902616465,0.020328722240263386,0.0019425552370303523,-0.10051803872270543
182604421539916672,82.5084875024135,34.43829787973463,7.312,23,7,26356.05857601787,2,8021.409131831525,2291.831180523293,0.020328722240263386,0.0019425552370303523,0.14909293069720475
182610911233404160,82.03602413982226,34.085029920018584,7.898,28,8,32085.6365273261,3,9167.324722093172,3437.746770784939,0.023198892343903377,0.0022197549143936346,-0.37160669314253925
182657679134337152,82.45134963189886,34.63810471645652,7.62,27,8,30939.720937064452,3,9167.324722093172,3437.746770784939,0.023198892343903377,0.0022197549143936346,0.2199857314462457
182686399575787136,80.994826017462,33.73449159102127,7.114,12,4,13750.987083139757,0,4583.662361046586,0.0,0.011667511585247703,0.0011104940557207232,-1.2839950181061064
182905683426824064,81.37176795233228,35.076467804401986,7.989,12,3,13750.987083139757,1,3437.746770784939,1145.9155902616465,0.008763458407512137,0.0008329862075416861,-0.27257602532913383
182943788377290368,81.48435011815769,35.297070675689675,7.092,16,8,18334.649444186343,1,9167.324722093172,1145.9155902616465,0.023198892343903377,0.0022197549143936346,-0.07279917861579475
183248288677757568,82.19645850972407,35.24268460280131,8.215,31,7,35523.38329811104,1,8021.409131831525,1145.9155902616465,0.020328722240263386,0.0019425552370303523,0.3799336046192913
183606862606935168,79.84685643221084,34.996631556899224,7.821,28,14,32085.6365273261,4,16042.81826366305,4583.662361046586,0.04024418753260495,0.0038813369532118003,-1.3463958178644588
183700595974425472,81.36573568597252,35.50289956127712,8.12,22,7,25210.14298575622,0,8021.409131831525,0.0,0.020328722240263386,0.0019425552370303523,-0.037614871561175774
187807340624016640,79.79755277929068,38.82827563472552,8.156,29,11,33231.552117587744,6,12605.07149287811,6875.493541569878,0.03175904822325948,0.0030508920967073916,0.8195144908094087
189189117500843008,84.85793810189968,36.20961089925528,6.638,24,14,27501.974166279513,3,16042.81826366305,3437.746770784939,0.04024418753260495,0.0038813369532118003,2.719465126397866
189241516103470336,83.97258716869405,36.37660729992287,6.968,20,9,22918.311805232926,1,10313.240312354817,1145.9155902616465,0.026060653630615938,0.0024968776025399153,2.205737279588037
189252305061677824,84.11234038681502,36.69753600297269,6.803,19,7,21772.396214971282,1,8021.409131831525,1145.9155902616465,0.020328722240263386,0.0019425552370303523,2.4729788537079243
189260517037944704,84.41187145254206,36.638970859805575,8.319,20,0,22918.311805232926,0,0.0,0.0,0.0,0.0,2.6444624610091934
