source_id,ra,dec,label,coadd_id,w3mpro,w4mpro,w3snr,w4snr,dist_x,glat,ecl_lat,_row,w3_S,w3_A,w3_G,w3_C,w3_level,w3_sig_exp,w3_nan_frac,w3_clip_frac,w3_n_ann,w3_ok,w3_reason,w4_S,w4_A,w4_G,w4_C,w4_level,w4_sig_exp,w4_nan_frac,w4_clip_frac,w4_n_ann,w4_ok,w4_reason,morph_ok,n4_score,n4_flag_0.95,n4_flag_0.99,n4_flag_0.999,n4_flag
3496509309189181184,191.30392370869112,-26.86757675063225,A,1909m273_ac51,10.023,6.811,22.5,16.6,0.511703,35.98345392901187,-20.18696301213155,0,1.7690107632218344,1.3245136288806014,0.0591737606639569,0.5145535464265479,540.0271669727688,0.2166330425972971,0.0,0.0387323943661971,3003,True,,1.492104470852507,0.6291060225373896,0.1347110916941491,0.5388764637294138,167.86690593515965,0.0231284106002318,0.0,0.1123559539052496,2773,True,,True,0.8548792756539235,False,False,False,False
4843191593270342656,59.01587563718896,-40.5301454610433,B,0593m409_ac51,11.14,9.03,13.9,3.8,0.218305,-49.89725057390219,-58.80612831504665,1,1.2502073608948527,1.0693626072566005,0.172652569969946,0.4709862361433544,342.9630391047676,0.1354594661060967,0.0,0.0854673495518566,2857,True,,1.1912965987698814,0.8278800698665256,0.3149736511515071,0.5254841397575765,98.7345074866748,0.014925663233087,0.0,0.0160051216389244,3074,True,,True,0.4260280842527583,False,False,False,False
4649396037451459712,74.012691975186,-74.1705989811048,C,0741m743_ac51,11.26,8.457,10.5,5.0,0.340663,-33.76713857384531,-80.74990912746212,2,1.5870556348202811,1.0788340145834752,0.2111007265440549,0.470565752486934,259.61349526939387,0.1765048370160924,0.0,0.05,2983,True,,1.3541081574828513,1.5301730226824808,0.5001160789419014,0.7461695439942645,71.33988956993863,0.0224447499564881,0.0,0.0022292993630573,3133,True,,True,0.6572934973637962,False,False,False,False
2660349163149053824,351.9637283640838,5.107261950673839,D,3524p045_ac51,10.663,7.821,10.4,4.8,0.305891,-51.95820308512736,7.877940937964783,3,1.1215537706495322,0.6422348672412244,0.0099503347571545,0.5612170023117603,726.0768517325715,0.3451694382333357,0.0,0.0101910828025477,3108,True,,1.4515873661289669,0.8020365378471042,0.1615002101057085,0.4945831137928801,239.26653953340087,0.0361448680748567,0.0,0.0035031847133757,3129,True,,True,0.72985187044941,False,False,False,False
3190232820489766656,60.53248762856517,-10.911312899256664,E,0599m107_ac51,10.892,8.393,10.3,3.6,0.272309,-42.435655287927325,-30.912409527882566,4,1.272511378653047,0.7928893190388356,0.1182409803127738,0.5088016499880165,435.71822807186095,0.2713924886291006,0.0,0.0099231754161331,3093,True,,0.8558734655613326,0.4739319018725236,0.2453640000441534,0.832778978153868,128.43804849609108,0.02950829815262,0.0,0.0083226632522407,3098,True,,True,0.31348907309721175,False,False,False,False
2956570141274256512,78.44380169002655,-25.18652500386801,F,0783m258_ac51,11.728,8.498,5.7,4.5,0.053593,-31.800002056434188,-47.99718944630797,5,1.5807894470546275,1.3318981866713222,0.0892598245626537,0.4886510520737683,321.7474675809803,0.2286249685285606,0.0,0.0184713375796178,3082,True,,1.030997587637689,0.9214705330235676,0.2701352797540443,0.7430412034873776,90.7800075800333,0.0254304380544361,0.0,0.0,3140,True,,True,0.7146445616679227,False,False,False,False
2644370304260053376,353.88516033694015,-0.0736118099135933,G,3539p000_ac51,11.508,8.273,5.0,3.5,0.369498,-57.37478298555308,2.360856252519389,6,1.312628367454317,0.6182624965169699,0.1778186391870692,0.3347635326361107,777.1974536961192,0.3184427172746871,0.0,0.0563694267515923,2963,True,,1.2338692378344351,0.8073879590651416,0.2216005493104753,0.4850740345594417,258.38416569423674,0.0325575605852571,0.0,0.0022292993630573,3133,True,,True,0.5116746171227717,False,False,False,False
2437221214075471744,354.0111054924228,-9.333442738317965,H,3538m091_ac51,12.165,8.495,2.4,3.3,0.16639,-64.83202861200276,-6.191056637341601,7,1.068503079561999,0.8381063029298735,0.1081740500617895,0.909873011213334,791.8626154543913,0.3515615098570767,0.0,0.0194267515923566,3079,True,,1.333931065019639,1.0762032586119648,0.2592041154783288,1.092216810858872,264.520487021092,0.0360672423132678,0.0,0.0054140127388535,3123,True,,True,0.6188802410243535,False,False,False,False
3854090071297359616,144.9763330266232,7.007740979802217,I,1449p075_ac51,12.316,8.489,2.4,3.3,0.133267,40.39389269637157,-6.583363437604514,8,1.1642239678093835,0.9305211659531945,0.137079451096061,0.4752699875548624,694.1669093594652,0.3542297952504774,0.0,0.0,3124,True,,1.5388063830479228,1.2454300142864985,0.2933321843377829,0.6916299558297967,230.35185291605305,0.0371372203160184,0.0,0.0,3124,True,,True,0.789856891790108,False,False,False,False
651765552072217216,128.06907797291882,14.705154631384232,J,1283p151_ac51,11.94,8.275,2.2,2.8,0.142636,28.84265967920729,-4.014065411074398,9,0.943602453583862,0.6669678498955689,0.0023879612434287,0.4036875856357048,834.6071520463138,0.4997297580456364,0.0,0.0203821656050955,3076,True,,1.2367564684142431,0.7455630692335341,0.3170594117380912,0.4919240398566091,266.70622639509423,0.0443198845915352,0.0,0.0245222929936305,3063,True,,True,0.5154406226462466,False,False,False,False
