lam_um,f,e
4.900400095357327,3.48404030514595e-05,1.1455204839674268e-05
4.902400095357327,3.127298245911841e-05,1.1238607227539797e-05
4.904400095357326,-1.6133753817563185e-06,1.1872981756263837e-05
4.906400095357326,3.717731330288753e-05,1.2239339104572575e-05
4.908400095357326,2.8201387352895015e-05,1.073149092159787e-05
4.910400095357326,5.932686910507751e-05,1.169003265962295e-05
4.9124000953573255,4.5238546553670536e-05,1.122675525560807e-05
4.914400095357325,5.3073425620797875e-05,1.1909735744890604e-05
4.916400095357325,9.733930398563212e-06,1.1069131698888818e-05
4.918400095357325,3.37139173263641e-05,1.1530569887753663e-05
4.920400095357325,4.129327204121116e-05,1.327355119087702e-05
4.922400095357324,3.6473805172164146e-05,1.1082327806640415e-05
4.924400095357324,4.168056717946618e-05,1.246610176755479e-05
4.926400095357324,1.967460283791459e-05,1.1654834401390738e-05
4.928400095357324,-6.564336241090807e-06,1.3329999931396106e-05
4.9304000953573235,2.011190430160914e-05,1.1565841557982645e-05
4.932400095357323,4.73956445902907e-06,1.1516171303467914e-05
4.934400095357323,2.4812123731595034e-05,1.2537040891849037e-05
4.936400095357323,7.478178481543808e-06,1.0980472250394778e-05
4.938400095357323,8.67042710469569e-06,1.2094862124125199e-05
4.940400095357322,1.8616619972240893e-06,1.1521462935057867e-05
4.942400095357322,6.347705660732382e-05,1.1834049730853703e-05
4.944400095357322,5.248419175323263e-05,1.1404105355882357e-05
4.946400095357322,7.099712044971417e-05,1.122431816086132e-05
4.9484000953573215,3.785264908852229e-05,1.2583997294254123e-05
4.950400095357321,1.3989260884714969e-05,1.1158992467280007e-05
4.952400095357321,1.3779817025786852e-05,1.1142729730183985e-05
4.954400095357321,1.3005212618584351e-05,1.2010737286185615e-05
4.956400095357321,6.352177472749021e-05,1.119828207015016e-05
4.95840009535732,5.93411703216305e-07,1.2636800503751067e-05
4.96040009535732,-3.6405735738250036e-05,1.2219987644735797e-05
4.96240009535732,4.836699776619106e-05,1.177508408892577e-05
4.96440009535732,4.154733469744711e-05,1.1946336462265208e-05
4.9664000953573195,5.326477303019679e-05,1.0520089568581887e-05
4.968400095357319,3.1137559660949586e-05,1.2452237794766998e-05
4.970400095357319,2.341442877806279e-05,1.1294268663901241e-05
4.972400095357319,2.292456592716199e-05,1.1689105786281947e-05
4.974400095357319,3.205063942034412e-05,1.1657772575233321e-05
4.976400095357318,3.893480878325374e-05,1.0901980376742e-05
4.978400095357318,-5.356049519920387e-06,1.2402492151149792e-05
4.980400095357318,3.368421587945943e-06,1.0310392061827683e-05
4.982400095357318,3.9306928299839565e-05,1.1646434682671949e-05
4.9844000953573175,2.9275250782449267e-05,1.2112960520873254e-05
4.986400095357317,6.955813223662707e-05,1.1093636428719211e-05
4.988400095357317,2.7136044593392275e-05,1.1779030820114586e-05
4.990400095357317,3.581089422374947e-05,1.1093538155141007e-05
4.992400095357317,3.10378837298837e-05,1.2027515751217108e-05
4.994400095357316,1.1456354446121577e-05,1.1527957013972868e-05
4.996400095357316,-4.081924946038631e-06,1.064572666032246e-05
4.998400095357316,5.994121832161576e-06,1.2283156070806153e-05
5.000400095357316,4.5585406051662805e-05,1.1551602719460116e-05
5.002400095357316,2.4433064539142908e-05,1.096438971013859e-05
5.004400095357315,4.224121515482866e-05,1.1561479410020393e-05
5.006400095357315,3.738077320470682e-05,1.1307993444767114e-05
5.008400095357315,2.9212815192336507e-05,1.1590775375242695e-05
5.010400095357315,9.746135529816844e-05,1.0858716059709897e-05
5.0124000953573145,5.9543852799450654e-05,1.1106684977292546e-05
5.014400095357314,6.584729341660038e-05,1.1580182932927406e-05
5.016400095357314,1.1802658026548465e-05,1.0756795941174831e-05
5.018400095357314,2.912819729434262e-05,1.0900315728673802e-05
5.020400095357314,4.947523770727947e-05,1.1219181190298182e-05
5.022400095357313,7.379259631842491e-05,1.1348455990756195e-05
5.024400095357313,6.638471955804156e-05,1.0654894055383661e-05
5.026400095357313,6.183348738472785e-05,1.0694828634766231e-05
5.028400095357313,3.3785631245564605e-05,1.1807687516827009e-05
5.0304000953573125,6.417384125920182e-05,1.1032578861855771e-05
5.032400095357312,4.5751967670856506e-05,1.0643033840646093e-05
5.034400095357312,4.1755239622483405e-05,1.1665384460190667e-05
5.036400095357312,7.775248579166274e-05,1.0933302905147666e-05
5.038400095357312,3.9004908452789836e-05,1.1699298237844388e-05
5.040400095357311,4.7715413902601523e-05,1.0841230038145579e-05
5.042400095357311,6.314048909550532e-05,1.0964148823216265e-05
5.044400095357311,3.229658616214965e-05,1.2528305232805037e-05
5.046400095357311,6.555290640717131e-05,1.0263405044148454e-05
5.0484000953573105,0.00011617486905062255,1.098680858013529e-05
5.05040009535731,3.370456784948165e-05,1.2152981426527655e-05
5.05240009535731,5.4803016837516824e-05,1.0543487937537645e-05
5.05440009535731,6.197033230347874e-05,1.1419778210723417e-05
5.05640009535731,7.861392461314306e-05,1.11272043976242e-05
5.058400095357309,5.597215981197242e-05,1.1316734601613592e-05
5.060400095357309,2.1003172405457063e-05,1.210768639405706e-05
5.062400095357309,8.610638299159267e-05,1.0739251615849141e-05
5.064400095357309,8.486250506776673e-05,1.1695009530485998e-05
5.0664000953573085,6.885797330035133e-05,1.2160254620081057e-05
5.068400095357308,5.500488964366637e-05,1.1240430190027883e-05
5.070400095357308,6.618142010323595e-05,1.152823259278526e-05
5.072400095357308,4.1731790831363805e-05,1.1905575920471217e-05
5.074400095357308,6.234613632489265e-05,1.3023016308406876e-05
5.076400095357307,5.900031114151473e-05,1.1647925915307105e-05
5.078400095357307,3.096476871352665e-05,1.1213072519646256e-05
5.080400095357307,5.86172400463799e-05,1.3229959489315655e-05
5.082400095357307,4.606798209045309e-05,1.1530815139777673e-05
5.0844000953573065,4.783337234627836e-05,1.140663915149165e-05
5.086400095357306,1.2197054316234065e-05,1.2696044780044475e-05
5.088400095357306,5.858869891180835e-05,1.110381410161762e-05
5.090400095357306,4.662979327259503e-05,1.2406166024767237e-05
5.092400095357306,5.8401181438557685e-05,1.2276199959750513e-05
5.094400095357305,6.972603321358191e-05,1.0841049867120766e-05
5.096400095357305,5.583771762755176e-05,1.3425066621847219e-05
5.098400095357305,4.1970663665941945e-05,1.215977603516652e-05
5.100400095357305,5.015529397982988e-05,1.0519396646247054e-05
5.1024000953573045,5.8651027112927305e-05,1.314877639460971e-05
5.104400095357304,3.985730047199084e-05,1.2499638251171105e-05
5.106400095357304,5.298111976888551e-05,1.120063352551061e-05
5.108400095357304,6.580464590584972e-05,1.2471779374525908e-05
5.110400095357304,1.9000485864236994e-05,1.2477377660136326e-05
5.112400095357303,4.837812648116787e-05,1.2254406304338371e-05
5.114400095357303,2.2798903116406004e-05,1.2490025633433912e-05
5.116400095357303,9.142266121319813e-05,1.2241659850080546e-05
5.118400095357303,3.8952618847405757e-05,1.2714591715254139e-05
5.120400095357303,7.382675188795502e-05,1.2434720634222402e-05
5.122400095357302,5.846116595597121e-05,1.2231498660041474e-05
5.124400095357302,4.102782816914961e-05,1.2590411758179527e-05
5.126400095357302,7.161950690171473e-05,1.2661410143380385e-05
5.128400095357302,6.851394520092145e-05,1.3795508626900183e-05
5.1304000953573015,6.36660217434219e-05,1.2810331922918598e-05
5.132400095357301,5.494751174525186e-05,1.2342535389041065e-05
5.134400095357301,5.1795517965110664e-05,1.4202024926666646e-05
5.136400095357301,6.463630097058736e-05,1.3739059147834349e-05
5.138400095357301,5.194857572852126e-05,1.2199253851725803e-05
5.1404000953573,4.2787853732132524e-05,1.3465399149533716e-05
5.1424000953573,-5.866188275552796e-06,1.4807079813296038e-05
5.1444000953573,2.0545349188771172e-06,1.300334371235545e-05
5.1464000953573,6.538644393564813e-05,1.3184160833614184e-05
5.1484000953572995,2.068872132139033e-05,1.4575783692411291e-05
5.150400095357299,6.0716233746411434e-05,1.4065792868116214e-05
5.152400095357299,3.912717394946672e-05,1.3656520010130413e-05
5.154400095357299,3.299632706353154e-05,1.3949229539060747e-05
5.156400095357299,4.2727302288609725e-05,1.4137137470968637e-05
5.158400095357298,4.978839993583334e-05,1.4354286847377372e-05
5.160400095357298,8.955278151151467e-05,1.4466977193953277e-05
5.162400095357298,4.303804078750656e-05,1.4134469074553499e-05
5.164400095357298,5.478209508391293e-05,1.413828514599541e-05
5.1664000953572975,3.0021530187445185e-06,1.4769760518368266e-05
