source_id,ra,dec,w3sky,w4sky,w3conf,w4conf,w3sigsk,w4sigsk,w3rchi2,w4rchi2,nb,na,ext_flg,w3snr,w4snr,dist_x,designation_aw,glat,ecl_lat
2034027590093011712,298.9227080104952,31.99990531132795,1638.753,434.678,5.933,2.373,30.1,10.235,1.059,0.9736,2,1,0,7.3,3.3,0.790917,J195541.50+315959.1,1.8793628129464766,51.39351098342924
2034295011942918528,298.439125875778,32.59928664114262,1573.085,422.053,4.865,1.854,32.274,10.653,1.047,1.052,2,1,0,9.3,4.1,0.282219,J195345.41+323557.5,2.5385862413001004,52.089716195190086
2034717980315384832,296.9676567120235,32.633743035402624,1514.799,415.017,10.356,3.752,26.0,10.05,1.078,1.095,1,0,0,7.2,4.6,0.081577,J194752.24+323801.4,3.6238617162155067,52.4972907062102
2034898089747242112,296.16198658656543,33.03756004346548,1425.955,400.833,1.989,3.829,29.756,10.65,0.9267,1.114,1,0,0,6.2,4.4,0.399671,J194438.88+330214.8,4.41200212415547,53.082369746988164
2035198879202636800,298.2610921601059,34.04013071708987,1570.383,419.404,15.058,3.829,33.525,11.564,1.012,0.8876,3,0,0,8.3,4.4,0.73557,J195302.69+340223.8,3.404455374173637,53.504904174479954
2035349542334861056,297.5329593535868,33.732308977913235,1522.38,413.985,4.304,1.946,29.646,10.659,1.068,1.036,1,0,0,8.6,3.7,0.120645,J195007.90+334356.4,3.768551724256162,53.40142373566291
2035397439800855168,297.9208913022981,34.32009523129189,1530.504,414.614,8.011,4.14,28.719,10.495,1.025,1.067,2,1,0,9.6,5.2,0.254914,J195140.99+341912.4,3.789277070456539,53.85950478088706
2040248867364754944,284.331412315458,28.309233684717327,1475.609,415.725,5.158,2.784,29.748,10.14,0.8863,0.8835,1,0,0,2.3,4.2,0.070094,J185719.53+281833.1,11.309812894068434,50.750903018307575
2040373283975694720,284.37991511990515,28.807820816491816,1462.975,413.768,4.41,3.029,28.361,10.202,1.028,0.9545,2,1,0,6.4,2.1,0.284104,J185731.15+284828.2,11.48050034069417,51.236655283733576
2041238286085151360,285.6098835088044,31.14438504879613,1426.624,403.049,3.52,1.503,28.37,10.702,0.975,1.145,1,0,0,3.4,3.0,0.10298,J190226.37+310839.8,11.494997507667321,53.360451307013506
2044383473456283520,286.2504835748952,34.11529051675623,1359.367,386.021,7.605,2.629,25.892,10.346,1.023,0.9893,2,1,0,2.9,2.1,0.170609,J190500.12+340655.1,12.248950985849248,56.17539551952579
2045749925898741760,293.79526715918325,33.96691985027038,1388.092,394.034,6.96,0.998,27.973,10.839,2.467,1.191,2,1,0,23.6,9.4,0.127253,J193510.86+335801.0,6.588434432262196,54.534679629370586
2046347342974141056,292.3125449175557,33.17113553428695,1436.316,400.557,4.82,3.943,29.317,10.071,0.9162,0.9375,1,0,0,3.6,3.8,0.604942,J192914.98+331016.5,7.304150672591342,54.09773303645092
2046372837900640384,292.8697576669106,33.49650296337011,1410.25,396.271,8.991,2.401,26.815,10.897,1.081,0.9653,1,0,0,4.7,3.8,0.602402,J193128.75+332948.0,7.044608271971231,54.29020978458734
2047393798857065088,295.0153825979282,35.00570044097332,1424.649,396.611,6.336,2.104,28.909,11.005,1.115,0.9313,1,0,0,9.3,3.1,0.372617,J194003.72+350020.6,6.204335756129829,55.24272245693019
2047878893937989632,296.6783311675428,35.93452401779382,1391.348,390.175,0.0,0.0,27.119,10.546,0.9451,1.058,1,0,0,2.4,2.9,0.432099,J194642.80+355604.7,5.478848887805812,55.7125260774849
2048033027427125120,293.77691172154186,34.59009591203699,1397.465,392.671,2.398,1.427,27.545,10.461,1.036,0.9885,1,0,0,9.8,4.3,0.124037,J193506.46+343524.2,6.897840362457077,55.13741162500278
2050311318598650368,288.84278366286617,34.94389987956278,1366.994,385.806,6.065,3.543,27.331,10.205,0.9786,1.135,1,0,0,2.6,2.1,0.069887,J191522.26+345638.0,10.668708982782663,56.52211801739829
2050821251479912960,288.3102821044604,36.95157764110704,1338.029,376.084,4.758,2.565,27.899,11.005,0.9099,0.8395,1,0,0,4.0,4.3,0.320977,J191314.47+365705.9,11.920232821244095,58.574794574773556
2051408807307200896,292.26831916165014,35.9829442767468,1351.632,382.319,7.837,2.983,26.052,10.564,1.057,0.9601,1,0,0,2.5,2.5,0.096112,J192904.39+355858.6,8.637268363066738,56.817714749446345
2052613391012750976,290.69385787122764,37.98161502471698,1328.372,373.901,3.495,3.801,26.505,10.964,0.8723,0.9626,1,0,0,2.5,2.7,0.040321,J192246.52+375853.8,10.660865028791145,59.08484837776492
2053853498386211200,304.1546397521551,31.138232538447923,1649.46,439.691,4.664,2.816,30.041,10.337,0.8128,0.9386,1,0,0,3.3,2.5,0.247815,J201637.13+310817.6,-2.3417120645534446,49.12845913777843
2054069178768156032,303.63365695513085,31.539029775987075,1994.46,497.25,34.118,6.451,39.33,11.306,1.227,1.568,1,0,0,11.0,11.8,0.337214,J201432.07+313220.8,-1.7490193219963865,49.656913941826616
2054214859759943424,305.33925525587927,31.67084944631113,1591.028,431.161,12.019,2.597,28.876,10.353,1.211,1.378,3,1,1,7.2,4.5,0.326975,J202121.40+314014.7,-2.8778727081535487,49.2771541080244
2054505547447391360,304.29579701571305,32.42276733355317,1826.362,469.676,13.658,3.422,31.495,11.6,1.093,1.014,1,0,0,8.2,2.8,0.139501,J201710.99+322521.8,-1.7235168704361372,50.29212800494321
2054564199515798784,304.03366194413303,32.688564656329554,1833.11,466.735,0.0,0.0,37.691,10.654,0.7234,0.9648,1,0,0,2.1,2.5,0.579862,J201608.08+324119.4,-1.3917883382516052,50.61854817732178
2054601376759954304,304.57215206271206,33.042178128082824,1828.116,466.424,3.519,0.996,33.134,11.174,1.232,1.201,1,0,0,14.9,12.0,0.200876,J201817.30+330231.8,-1.568655210615432,50.78916926089316
2054619548756352384,304.4532134276069,33.28009629239135,1982.036,484.166,20.811,3.386,40.062,11.012,1.272,1.222,1,0,0,11.0,7.6,0.230454,J201748.78+331648.3,-1.352668698567936,51.04695954070552
2054697476641218816,304.80172730283016,33.23811713599741,1963.557,487.775,11.619,3.055,54.431,13.549,0.6467,0.9938,2,1,0,5.7,4.2,0.254756,J201912.39+331417.2,-1.6172342291850903,50.90316338022071
2055195525355863808,302.19569736824894,32.99329876645668,2207.302,517.236,0.0,0.0,41.634,13.915,1.815,4.415,2,0,1,9.3,11.3,0.133476,J200846.96+325935.7,0.06529552915093814,51.43805557228009
2055391062323305600,303.86353502825165,33.596201897206655,1901.455,471.435,22.259,5.298,43.203,12.521,0.754,0.7781,2,0,0,5.3,4.1,0.304292,J201527.22+333546.1,-0.7679502979716706,51.517934024591696
2055491736352100864,304.3898843445577,33.87122029552146,1863.453,467.022,7.418,4.413,33.099,11.116,1.543,1.072,3,0,1,14.5,5.1,0.320882,J201733.56+335216.6,-0.977422305432004,51.61746406824575
2055831833355383040,303.60845070762605,34.809546070842885,2010.015,488.394,13.503,3.863,88.729,18.991,2.468,1.77,1,0,0,18.8,13.9,0.303985,J201426.00+344834.3,0.08137541106947303,52.725912696952676
2055905358882719616,306.8017846473724,33.132235780105034,1677.405,443.3,0.0,1.748,28.632,8.175,1.301,1.181,1,0,0,14.2,10.5,0.534797,J202712.38+330756.1,-3.0507748374396324,50.1917114413286
2055917075553627008,306.3120479160073,33.20070138801511,1719.624,449.893,0.0,4.626,32.383,8.98,1.018,1.257,2,0,0,9.7,5.4,0.275893,J202514.90+331202.7,-2.6766899649645346,50.40734584018885
2056019609324243584,306.50788686540017,33.884472252350186,1845.444,464.286,10.37,3.148,35.362,11.111,0.8812,1.139,1,0,0,7.6,6.5,0.265803,J202601.87+335303.9,-2.415380256265336,50.98100371772367
2056162477109122560,307.04148563162613,34.598122252808835,1834.289,453.954,6.977,1.705,35.98,10.363,0.7828,0.8795,2,0,0,4.9,3.0,1.050165,J202809.96+343554.2,-2.3603217913068635,51.473293196383146
2056245898252044928,305.5337170587406,33.95149413649801,1817.117,459.181,11.882,4.643,35.807,10.108,0.858,0.9339,3,0,0,3.9,2.5,0.303646,J202208.06+335705.4,-1.7149974939338966,51.34473532411271
2056297029849148416,305.96045614918586,34.67170007693446,1843.519,454.961,18.583,3.798,30.577,11.723,1.23,0.9398,3,1,0,10.2,3.0,0.42864,J202350.48+344018.4,-1.592169809275885,51.88069507773173
2056484943253724544,308.0920570763737,34.71942447776689,1727.737,445.668,3.319,1.461,52.261,10.883,0.4241,1.034,1,0,0,2.5,2.9,0.169244,J203222.09+344310.0,-2.988519861445191,51.24944054095586
2056679144501212032,308.61367928201173,35.69087250555048,1667.781,436.99,17.525,3.002,39.372,10.586,1.872,1.682,2,1,0,11.3,8.4,0.493961,J203427.28+354127.6,-2.7541407700876905,51.97144379088361
2056732230299398272,308.7100177700638,36.21648222756377,1809.302,449.263,11.716,2.842,37.67,10.039,1.022,1.06,1,0,0,8.4,5.4,0.11783,J203450.40+361259.4,-2.5028050277120624,52.42030440827363
2056782769164028928,307.7592686798051,35.578502157823074,1797.671,450.074,16.969,3.924,33.24,11.588,1.468,1.038,2,0,0,16.4,6.3,0.156564,J203102.21+353442.6,-2.261619968484423,52.14618927653727
2056929347807268096,308.4682737748335,36.48276437869808,1796.554,450.394,7.632,0.465,37.181,9.237,0.785,1.14,1,0,0,3.8,6.4,0.158543,J203352.39+362857.9,-2.1876643323975005,52.74287847148515
2057026040413809920,305.14636007904863,34.45813795505237,1831.195,457.427,11.136,1.744,33.906,11.821,0.8489,0.9623,1,0,0,4.9,3.3,0.179172,J202035.13+342729.1,-1.1633929223102186,51.934043057358934
2057331150588685824,304.5234782589468,35.54419124153217,1891.849,463.199,0.0,0.0,32.773,11.952,1.553,1.034,2,0,0,9.8,4.7,0.384401,J201805.66+353238.9,-0.12911638999047806,53.13206542133508
2057604486607489280,306.2945051717422,36.0253800377779,2088.773,508.901,15.403,3.272,51.275,14.091,1.647,2.59,1,0,1,13.0,16.0,0.431182,J202510.65+360131.0,-1.0359881066027892,53.025228801663054
2057609846726907520,306.5006541828668,36.12866230861544,1935.873,485.3,14.705,2.953,37.631,11.446,1.361,1.17,2,1,0,11.7,7.5,0.297885,J202600.17+360743.3,-1.1122682963639015,53.0548119322258
2057696467620196992,306.74595922598894,36.64005361722545,2098.731,511.274,108.933,14.545,41.661,17.607,1.374,0.8641,1,0,0,7.2,2.4,0.50616,J202659.00+363823.8,-0.9765793828280415,53.44593911853077
2058054251279944960,306.95324944972486,37.94970147626178,1985.849,522.856,44.624,4.335,34.12,11.445,0.8133,0.9888,1,0,0,5.7,3.8,0.240794,J202748.76+375658.8,-0.3484138958855555,54.57583188467171
2058580956024009984,301.0242820112389,34.57466068871753,1957.404,480.98,15.37,3.531,39.514,12.557,2.233,1.289,2,0,0,8.2,8.0,0.343884,J200405.84+343428.5,1.7368223458383205,53.25674864565443
2058646720565553408,300.75337594742825,34.81223341627409,1809.848,456.83,26.207,5.836,35.715,11.766,0.7637,1.001,1,0,0,6.4,5.8,0.315434,J200300.81+344843.7,2.051814700829786,53.5562487972184
