source_id,ra,dec,rmse,t_ds,gamma,M_G,snr3,snr4,gvar,ruwe,extra_ok,snr_ok,r_med_geo,w1mpro,w2mpro,w3mpro,w4mpro
3895281595099935104,182.9902544213706,5.964268806796314,0.15825246426264955,140.67796610169492,0.1,9.43039801473954,10.146728971962618,7.487586206896553,4.119938194625618,5.2652364,False,True,212.16405,12.664,12.567,10.796,7.453
1176718170342927360,216.1607673003096,9.31517998341314,0.1511468624234444,130.50847457627117,0.1,10.853756302153837,4.4679012345679014,3.221661721068249,1.2505843173925641,0.94782394,True,False,219.8144,13.447,13.288,12.198,8.804
3710730045847261184,191.0029405299016,8.313107078567816,0.16323758858457937,120.33898305084746,0.1,9.810600484082954,2.0331460674157302,2.215714285714286,0.7720805937283498,1.0727373,False,False,297.08307,13.514,13.44,12.361,8.901
3724750807669986432,205.9855546368962,8.753185151770266,0.16797586727879227,130.50847457627117,0.24823268762177775,12.750738987311273,2.0331460674157302,3.0411764705882356,0.9631075630061695,1.0057362,True,False,218.96132,15.091,14.741,12.802,8.767
3708488863192170880,188.0368739451853,6.009618275441023,0.06925352819599462,130.50847457627117,0.24823268762177775,11.914295666286792,2.068,2.319871794871795,0.7942799533862871,0.9726824,True,False,252.2547,14.764,14.597,12.469,8.56
3732399594668081408,198.5700693329456,8.875622814378671,0.04513684303422587,120.33898305084746,0.12552052364172658,12.622120580723529,2.0601518026565464,2.4844393592677347,1.1602429736882849,0.99213946,True,False,148.92482,14.001,13.767,12.827,8.865
3714808649869917056,204.28078383014304,5.304495266179832,0.05631246968972946,130.50847457627117,0.24823268762177775,10.963664904215827,3.705460750853243,6.3122093023255825,0.885439084176591,1.0445807,True,True,278.74316,14.306,14.134,12.0,8.059
1159211638830902528,221.85805372656955,5.466632004577336,0.16847256807173203,120.33898305084746,0.1,11.044218229424136,2.360217391304348,2.0407894736842107,0.9864495728063006,0.9813793,True,False,224.93071,13.871,13.676,12.602,9.305
3721789277395898240,208.05831979735348,8.110548812526776,0.17783743393544546,110.16949152542372,0.1,10.226831796782534,3.049719101123596,3.2800604229607253,0.893193524085574,1.062832,True,False,249.89136,13.3,13.163,12.389,8.736
3670129891796182016,217.5374101647875,6.313059976691788,0.14579732299755815,100.0,0.1,11.572722384311541,2.197773279352227,2.206707317073171,1.0360580909513255,0.9786595,True,False,162.80267,13.409,13.179,12.698,9.152
1175613225581428224,217.26031675632092,8.239152174196125,0.18058032220902634,120.33898305084746,0.1,11.298429343907632,3.403448275862069,2.548591549295775,0.894014047305478,0.9287001,True,False,156.94162,13.382,13.162,12.084,8.81
1172241470095824256,219.0756687247063,7.046758185662797,0.1252091566893798,100.0,0.1,10.475812003560021,2.4288590604026847,3.0583098591549303,0.8951636464020399,0.9962515,True,False,196.83168,13.298,13.126,12.692,8.869
3716946783375216256,197.89292745144016,5.028050428074709,0.17577195891742026,150.84745762711864,0.23011983571417985,12.619805955491568,3.23125,3.1020000000000003,0.9365772975412514,0.98823416,True,False,247.59964,14.855,14.503,12.327,8.811
3709532398510763648,193.51487529413757,7.349655958399683,0.0890134696500038,181.35593220338984,0.1,11.27806832322853,5.71421052631579,2.360217391304348,0.8492791617870971,1.0312065,True,False,214.65872,13.996,13.814,11.456,8.858
3717951294620269952,202.63416365745204,5.873793756611448,0.19894412627823768,100.0,0.1,10.855066317137656,2.6480487804878052,2.1414201183431953,0.941294682362236,1.0256848,True,False,194.60829,13.305,13.123,12.425,9.079
3898402833734174976,180.24257133018943,6.813638179108216,0.060892661796760846,150.84745762711864,0.19776262910622383,10.99874870474946,4.291304347826087,3.2603603603603606,0.9405364063919809,1.0528798,False,False,279.21533,14.28,14.085,11.632,8.275
3670269632852053504,216.1531792163025,6.285295005885214,0.16244471707798422,140.67796610169492,0.1,10.01468694625122,4.291304347826087,3.730927835051547,4.527812219079649,6.48464,False,True,298.55573,13.781,13.639,12.014,8.858
3721620880318171264,206.46323728992456,7.923989703810086,0.18520116513680673,150.84745762711864,0.1,12.358006566798883,4.720434782608696,2.162749003984064,0.8965863571646108,1.0376493,True,False,152.19847,13.802,13.559,12.032,9.279
3732403687772870912,198.76296367530227,8.926395924563845,0.17617615780751392,100.0,0.1,12.430925749515144,2.4452702702702704,2.360217391304348,1.1406770426112607,0.8925404,True,False,94.20129,13.005,12.819,12.572,8.93
3714981891670621568,204.8408129606035,5.200847769268533,0.12978966267904868,100.0,0.1,10.367419338912288,2.0878846153846156,2.6610294117647064,0.7897573143567636,1.0811728,True,False,236.4744,13.344,13.171,12.737,8.975
3710797214839833472,190.55926626674972,8.600638149518263,0.14665169489833466,140.67796610169492,0.12552052364172658,11.204985396532557,2.3348387096774195,2.1040697674418607,1.0481263389368438,1.0804504,True,False,265.71503,14.153,13.996,12.4,8.84
