mg_lo,mg_hi,n,f_saturated,w12,w12_scatter,w13,w13_scatter,w14,w14_scatter
0.5,3.0,9,1.0,0.3090000000000004,0.049764288149234066,-0.010000000000000675,0.0256664261652992,0.06000000000000005,0.023360528369758434
3.0,4.5,56,1.0,0.20100000000000007,0.05253259061690258,-0.03500000000000014,0.028844434887761297,0.019999999999999574,0.03696084152489459
4.5,6.5,193,1.0,0.08999999999999986,0.060671339614494134,-0.02800000000000047,0.03174335791208848,0.038000000000000256,0.03896849398610379
