lam_um,f,e
4.900400095357327,3.715892559017167e-05,1.8718797887844885e-05
4.902400095357327,3.055666049085565e-05,1.845005808264931e-05
4.904400095357326,-5.566646066575447e-06,2.1338122219565846e-05
4.906400095357326,3.45931055538437e-05,1.9865145391241158e-05
4.908400095357326,1.9311277078685664e-05,1.7405202968180424e-05
4.910400095357326,5.045658858218643e-05,1.8952976540840743e-05
4.9124000953573255,3.231118558177661e-05,2.0036033979682375e-05
4.914400095357325,4.31794755190408e-05,1.8336351526520954e-05
4.916400095357325,1.0474866752649066e-05,1.6485045013457563e-05
4.918400095357325,2.9234566169756963e-05,1.8426468323560616e-05
4.920400095357325,3.1005354449481713e-05,2.016680905621482e-05
4.922400095357324,3.251956140144971e-05,2.6036008624198773e-05
4.924400095357324,3.78518739942876e-05,1.8634265599794367e-05
4.926400095357324,1.700564280679491e-05,2.0873921803018775e-05
4.928400095357324,1.5039647671150875e-06,1.8320659876349473e-05
4.9304000953573235,1.8886510628933107e-05,1.731241900474094e-05
4.932400095357323,4.9444485836609e-06,1.6563978000329868e-05
4.934400095357323,2.5501678305238822e-05,2.1687148043989442e-05
4.936400095357323,1.2361362639658532e-05,2.031639975880613e-05
4.938400095357323,1.0907841521330506e-05,2.1200015584647095e-05
4.940400095357322,1.1977256154329883e-05,2.324899388267365e-05
4.942400095357322,6.043174561062696e-05,1.9710725101208124e-05
4.944400095357322,4.570671737750306e-05,1.7609210259438434e-05
4.946400095357322,5.420086843269349e-05,2.0902071415753432e-05
4.9484000953573215,3.339208591469957e-05,1.8314757014957547e-05
4.950400095357321,1.3172028930176192e-05,1.9214974419594708e-05
4.952400095357321,1.3585356787071932e-05,1.8012995156185525e-05
4.954400095357321,1.1789490553995935e-05,2.0780512461620046e-05
4.956400095357321,5.040462161956152e-05,2.0209585660063658e-05
4.95840009535732,-5.070114875892385e-06,1.8899182579490595e-05
4.96040009535732,-3.992238834984185e-05,1.8456410226246867e-05
4.96240009535732,3.762292174157918e-05,2.009454345438306e-05
