gamma_true,n,rmse,prev,undet
0.01,8400,0.0,0.0,0.11202380952380953
0.02,8400,0.0014285714285714286,0.00011904761904761905,0.08321428571428571
0.05,8400,0.075,0.024642857142857143,0.055714285714285716
0.1,8400,0.8127380952380953,0.4384523809523809,0.056666666666666664
0.15,8400,0.8154761904761905,0.4438095238095238,0.05988095238095238
0.2,8400,0.7991666666666667,0.44095238095238093,0.07071428571428572
0.3,8400,0.7608333333333334,0.43404761904761907,0.10238095238095238
0.5,8400,0.6984523809523809,0.39726190476190476,0.15880952380952382
