family,par,n_passing,median_rmse,median_t_fit_over_t_true,median_gamma_fit_over_gamma_true
modbb,1.0,6668,0.07718918054889451,1.248587570621469,1.0
modbb,2.0,4878,0.10683393381332515,1.480225988700565,1.0666431422965283
single_bb,0.0,8107,0.0284998547997674,1.0056497175141244,0.988813145531119
two_temp,0.3,4479,0.1327876603573374,0.6384180790960453,0.6592087636874127
two_temp,0.5,5311,0.0961966623676653,0.9067796610169492,0.6666666666666667
two_temp,0.7,7621,0.0910299987945424,0.9378531073446328,0.9026687287684554
