band,lam_um,f_star_jy,f_con_jy,e_con_jy,bkg_mjysr,resid_rms,sr_pix,scale_as
1-short,4.900400095357327,0.00040117438071642417,3.7158925590171666e-05,1.8718797887844885e-05,1.0218663436588413,13.767916535459161,3.9722484697051045e-13,0.12999999523162822
1-short,4.901200095337117,0.00041492610423541314,1.6442539796460395e-05,1.7435442439231124e-05,1.3048661920870972,12.822746783829203,3.9722484697051045e-13,0.12999999523162822
1-short,4.902000095316907,0.000411117505393604,2.216345584651082e-05,1.866189672331547e-05,1.6056934578764968,13.723294549242743,3.9722484697051045e-13,0.12999999523162822
1-short,4.902800095296698,0.0003808094823947196,3.89498630149081e-05,1.8238219495497858e-05,2.5162941073670195,13.40998709871354,3.9722484697051045e-13,0.12999999523162822
1-short,4.903600095276488,0.000370842512169056,3.388725394709354e-05,1.9541782019388124e-05,2.9885728095943556,14.36717260743902,3.9722484697051045e-13,0.12999999523162822
1-short,4.904400095256278,0.00036866645682836693,-5.566650394983027e-06,2.133812219534143e-05,3.3334993645898754,15.686243601504387,3.9722484697051045e-13,0.12999999523162822
1-short,4.905200095236069,0.0003121817683608706,2.8701459426092393e-05,2.1529907495968695e-05,3.189159186645705,15.825653743424983,3.9722484697051045e-13,0.12999999523162822
1-short,4.906000095215859,0.00036600962827295383,1.2797196091537703e-05,2.0165750105525552e-05,3.0479463087917296,14.821370737887793,3.9722484697051045e-13,0.12999999523162822
1-short,4.906800095195649,0.00037468454622169084,5.638899849789798e-05,1.9564540904773105e-05,3.149018932554087,14.378026204538333,3.9722484697051045e-13,0.12999999523162822
1-short,4.9076000951754395,0.0003679726704540963,3.518799469164454e-05,1.568367067541889e-05,3.761420940394133,11.524637697155006,3.9722484697051045e-13,0.12999999523162822
1-short,4.90840009515523,0.00036672111398354084,1.931126934857518e-05,1.740520287362206e-05,4.08377363662966,12.787869096031002,3.9722484697051045e-13,0.12999999523162822
