source_id,ra,dec,label,w4mpro,n3_neighbours_60as,n3_neighbours_w4bright_60as,n3_density_deg2,n3_neighbours_suazored_60as,n3_density_w4bright_deg2,n3_density_suazored_deg2,n3_p_chance_3p25as,n3_p_chance_1as,glat
3496509309189181184,191.30392370869112,-26.86757675063225,A,6.811,16,0,18334.649444186343,0,0.0,0.0,0.0,0.0,35.98345392901187
4843191593270342656,59.01587563718896,-40.5301454610433,B,9.03,9,0,10313.240312354817,0,0.0,0.0,0.0,0.0,-49.89725057390219
4649396037451459712,74.012691975186,-74.1705989811048,C,8.457,21,0,24064.227395494574,0,0.0,0.0,0.0,0.0,-33.76713857384531
2660349163149053824,351.9637283640838,5.107261950673839,D,7.821,9,0,10313.240312354817,0,0.0,0.0,0.0,0.0,-51.95820308512736
3190232820489766656,60.53248762856517,-10.911312899256664,E,8.393,8,0,9167.324722093172,0,0.0,0.0,0.0,0.0,-42.435655287927325
2956570141274256512,78.44380169002655,-25.18652500386801,F,8.498,21,0,24064.227395494574,0,0.0,0.0,0.0,0.0,-31.800002056434188
2644370304260053376,353.88516033694015,-0.0736118099135933,G,8.273,8,0,9167.324722093172,0,0.0,0.0,0.0,0.0,-57.37478298555308
2437221214075471744,354.0111054924228,-9.333442738317965,H,8.495,12,0,13750.987083139757,0,0.0,0.0,0.0,0.0,-64.83202861200276
3854090071297359616,144.9763330266232,7.007740979802217,I,8.489,11,0,12605.07149287811,0,0.0,0.0,0.0,0.0,40.39389269637157
651765552072217216,128.06907797291882,14.705154631384232,J,8.275,12,0,13750.987083139757,0,0.0,0.0,0.0,0.0,28.84265967920729
