source_id,ra,dec,w3sky,w4sky,w3conf,w4conf,w3sigsk,w4sigsk,w3rchi2,w4rchi2,nb,na,ext_flg,w3snr,w4snr,dist_x,designation_aw,glat,ecl_lat
589125481283408000,142.77947185308287,10.101996415021617,2851.4,946.528,7.945,2.149,32.613,10.703,0.9592,0.9312,1,0,0,6.3,4.3,0.349861,J093107.09+100606.9,39.95955564155783,-4.35590463830216
600927772240104064,127.42517332334982,11.104788185682215,2982.049,952.66,1.554,2.151,29.722,12.246,1.63,1.148,1,0,0,6.2,4.2,0.107945,J082942.04+110617.1,26.801246891589845,-7.6584997157535275
601382626456625664,130.31599503378317,10.463496172975375,2874.025,926.619,0.846,2.664,31.0,10.804,1.06,1.053,1,0,0,6.0,5.0,0.145389,J084115.84+102748.6,29.100202665132187,-7.563990033258287
615981808706309248,147.8429378007189,14.058883257069166,3067.286,1042.537,1.659,1.805,34.604,12.78,1.159,2.087,1,0,0,3.9,7.8,0.329272,J095122.30+140332.2,46.14183847709258,1.0028259992349606
661274918904769536,129.6556031016689,19.411270805419985,3393.144,1122.099,4.704,3.724,34.833,12.714,1.483,1.996,1,0,0,4.2,5.2,0.415306,J083837.37+192440.5,32.002754979521185,0.9215712185214903
714714207670830336,138.9882372468347,35.675834685136486,2521.258,791.244,3.743,1.616,32.079,10.974,1.033,1.612,1,0,0,4.2,5.7,0.120316,J091557.17+354033.1,43.80370165875,18.846540738203537
731982617603542272,166.60715407287688,28.16413964309472,2381.057,754.132,4.607,1.721,30.517,11.257,0.952,1.927,1,0,0,3.7,8.1,0.407097,J110625.74+280951.0,66.76688894202242,20.598920138037105
763681404688064512,168.3185692165154,36.93531803644305,1962.817,604.974,7.821,3.634,29.36,10.321,1.366,1.356,1,0,0,8.6,8.8,0.059007,J111316.45+365607.1,67.09100576286544,29.140434966795286
779253439980170112,160.18564198809827,39.94700288951984,1983.971,612.497,7.357,3.796,29.393,11.179,0.7683,1.571,1,0,0,8.2,10.7,0.190474,J104044.57+395649.2,60.124285212633744,29.060006308429053
801210485325007232,146.30518138246785,39.93577305480541,2171.741,674.782,4.237,3.177,28.598,10.692,1.225,1.16,1,0,0,4.1,4.2,0.105819,J094513.25+395608.8,49.639114194350235,24.818969575746646
856731076587435392,171.17093001606,58.213570683526,1502.651,440.195,4.364,2.044,26.491,10.923,1.043,1.218,1,0,0,4.6,4.7,0.25056,J112441.00+581249.0,55.40753159903526,48.39287738421792
865939387688314112,111.2177676888225,21.78928037883557,3090.236,1035.825,2.883,2.833,30.663,12.043,1.111,1.336,2,0,0,4.7,4.4,0.284812,J072452.26+214721.6,16.821245559606748,-0.21519116115368886
872683792012315520,110.95722071126292,26.77347015822624,3084.025,1023.337,8.185,3.701,32.49,12.558,1.153,2.093,2,0,0,4.3,4.6,0.098024,J072349.72+264624.5,18.501540178024065,4.68356351838626
880438613162040448,115.20347079654844,32.39610004779883,2841.542,932.71,3.164,0.853,32.825,10.682,0.9178,1.188,1,0,0,4.9,4.9,0.176851,J074048.83+322346.1,23.888159877824396,10.816508450880134
896328166796274560,109.61644724981224,33.744051379229525,2847.046,928.533,3.902,1.356,33.287,11.54,1.006,2.221,1,0,0,4.0,3.7,0.31587,J071827.93+334438.3,19.899082517369592,11.424775938969201
915114598561845376,127.70638171670863,41.68240872934568,2284.579,715.032,5.891,4.029,29.348,11.706,2.011,1.261,1,0,0,10.4,6.6,0.195241,J083049.52+414056.8,35.628355068746096,22.030045977321095
916773138837599232,128.68196858821682,42.85460011037982,2229.721,693.22,4.932,2.194,30.792,12.019,1.167,0.9925,1,0,0,5.7,4.3,0.168345,J083443.68+425116.5,36.464394432240404,23.352264427556754
956053848871779456,94.66794927996484,38.36934824195559,2673.72,849.024,0.807,2.804,30.482,11.668,1.761,2.404,1,0,0,10.0,6.1,0.341314,J061840.31+382209.9,10.580773306798621,14.991416023486524
961874044953646336,93.4367060469318,43.22140326934238,2467.441,766.602,4.086,3.718,31.182,11.401,1.23,1.394,1,0,0,9.4,5.5,0.032847,J061344.80+431317.0,11.893187985421875,19.813866000135757
