source_id,ra,dec,coadd_id,w3mpro,w4mpro,w3snr,w4snr,dist_x,glat,ecl_lat,_row,w3_S,w3_A,w3_G,w3_C,w3_level,w3_sig_exp,w3_nan_frac,w3_clip_frac,w3_n_ann,w3_ok,w3_reason,w4_S,w4_A,w4_G,w4_C,w4_level,w4_sig_exp,w4_nan_frac,w4_clip_frac,w4_n_ann,w4_ok,w4_reason,morph_ok,reason,_err,n4_score,n4_flag_0.95,n4_flag_0.99,n4_flag_0.999,n4_flag
1345188052692608,43.88991754467799,2.3242530116702502,0438p030_ac51,11.093,7.711,8.8,8.1,0.328052,-48.03088164615933,-13.788216710091396,0,1.419039981780526,0.6238745391597103,0.0605065189740231,0.3817233605318566,704.8627797270038,0.2358965402624068,0.0,0.0410828025477707,3011.0,True,,1.934304982728404,1.3624299930020862,0.3951462902885402,0.4545299672861034,221.87691186241625,0.0242491394308956,0.0,0.0334394904458598,3035.0,True,,True,,,0.9397590361445783,False,False,False,False
2997371776970112,50.27066864324239,4.65386133654165,0501p045_ac51,12.135,8.769,2.7,2.4,0.066609,-41.88107351654562,-13.324742438175065,1,1.3214359405846952,0.9586313708938942,0.1909493026481414,0.5018669725362521,649.6470390392435,0.3474065527310954,0.0,0.0,3124.0,True,,1.136809004779959,0.7078577416866312,0.2949860912323216,0.5480286689019207,204.76335771333453,0.0365231549112754,0.0,0.0038412291933418,3112.0,True,,True,,,0.4307228915662651,False,False,False,False
3131168597913728,48.49879304679251,4.745378212159964,0486p045_ac51,12.19,8.822,2.8,2.4,0.020477,-43.08577523247058,-12.767147089974932,2,1.4277716181893918,0.8059619056318987,0.0815651118643249,0.7009216828469249,661.9106347280479,0.3334565661958478,0.0,0.0,3124.0,True,,1.0857747288326896,0.6876080881349391,0.263700178534299,0.4588690501699874,208.4804167349305,0.0348229062533226,0.0,0.0,3124.0,True,,True,,,0.5906124497991968,False,False,False,False
6141116038863360,40.17951987263842,5.30820872358259,0394p060_ac51,12.252,8.843,2.7,2.9,0.379811,-48.17115734645117,-9.826180211944084,3,1.6904294509273023,0.995133086688965,0.2973960486225385,0.4831732497720201,838.4196329288729,0.2817336901352717,0.0,0.0,3140.0,True,,1.0633644387505103,0.7753778574337303,0.0834867004566987,0.5110838264074499,266.26746712307136,0.0288970875158731,0.0,0.0,3140.0,True,,True,,,0.8182274667336179,False,False,False,False
6269552740578688,41.85470192753886,5.253854213020208,0425p045_ac51,12.277,9.187,3.0,2.2,0.152359,-47.17327851178068,-10.386456507970816,4,1.5009823354481908,0.6117796737542428,0.041546140168341,0.4937770205879926,754.6653174091789,0.2476341206383082,0.0,0.0041613316261203,3111.0,True,,0.9857626520648676,0.3899358613088867,0.1850681847476967,0.673663097399703,249.7829517532744,0.0224801001498284,0.0,0.0156850192061459,3075.0,True,,True,,,0.6857429718875502,False,False,False,False
7097107039431168,44.50350927500652,6.048999076343115,0440p060_ac51,11.593,7.59,4.2,5.6,0.071012,-44.86175233670979,-10.403965521485295,5,1.220688619226858,0.4246939470267709,0.1403316550644571,0.4838649352577924,717.9704863664647,0.3577894600082198,0.0,0.0076433121019108,3116.0,True,,1.3211392197904126,0.8960302002130422,0.3238710833273232,0.7814954099568191,230.32894993059955,0.0374114044924867,0.0,0.0089171974522292,3112.0,True,,True,,,0.6099397590361446,False,False,False,False
7778086989417856,46.86517936465719,7.5889680417936125,0472p075_ac51,12.268,8.565,2.3,2.9,0.552965,-42.15217889156229,-9.588231507117229,6,1.419703466182316,1.0941934909719089,0.2531839079199446,0.422163558158189,718.5542411015966,0.3568812723563639,0.0,0.0063694267515923,3120.0,True,,1.59243217885266,1.1374221490886764,0.2062245364650529,0.3697653625816682,229.57996094413448,0.0368423793567197,0.0,0.0,3140.0,True,,True,,,0.8209892041174994,False,False,False,False
8993970755488000,44.91020316768133,9.350754055004964,0444p090_ac51,12.069,8.56,2.9,2.6,0.065941,-42.08436437854509,-7.355619397655928,7,1.7352387685658175,0.990931417881974,0.2805244507150787,0.3398252647050725,739.0317497734013,0.3777245953717845,0.0,0.0,3140.0,True,,1.1396927502741374,0.8033047832770205,0.2967118482525427,0.5812476123562311,238.0379631180086,0.0392271736821247,0.0,0.0,3140.0,True,,True,,,0.8410745669093648,False,False,False,False
9405566061434880,50.14948710520794,6.2398669144474095,0501p060_ac51,12.303,8.825,2.3,2.5,0.199329,-40.86657734868263,-11.762163700595318,8,1.3376474835058914,0.99595646428598,0.2175905885617216,0.7829283199762085,676.9751883145236,0.3450977744016689,0.0,0.0108834827144686,3090.0,True,,1.0193151015207664,0.5748140444293843,0.2633029510680276,0.4235286635923109,214.1144091529731,0.0357987363785018,0.0,0.0284891165172855,3035.0,True,,True,,,0.45808232931726905,False,False,False,False
9762872980747904,53.20910827665763,7.256378086042265,0533p075_ac51,12.355,9.034,2.1,2.1,0.249501,-37.96932669788549,-11.543536298960053,9,1.6079336523453704,1.2715315416667303,0.2619291788285759,0.3866405152053226,682.438906659268,0.3494810179619744,0.0,0.0054140127388535,3123.0,True,,1.4189928646867271,1.5715730658035936,0.5808541909187743,0.1310660687106924,216.23027829238984,0.0366971002216767,0.0,0.012420382165605,3101.0,True,,True,,,0.7868975903614458,False,False,False,False
10467286272555264,49.04061262832536,7.310865992365839,0488p075_ac51,12.268,8.627,2.5,2.6,0.161394,-40.88121200615087,-10.43947992791716,10,1.256287558588159,0.6260591695900898,0.0739859200739966,0.3927135525651946,707.3082161326315,0.3414093685446124,0.0,0.0,3124.0,True,,0.9893469936828928,1.0567239464251252,0.339328407460762,1.0547087664442696,227.20573166134312,0.0353782671149591,0.0,0.0252880921895006,3045.0,True,,True,,,0.3258032128514056,False,False,False,False
13389543365460352,53.27530355993704,11.084122956707851,0538p106_ac51,11.448,8.515,4.0,2.6,0.180085,-35.26070902010388,-7.844907318738143,11,1.6615175231037331,1.7230455029675016,0.3459611202020286,0.2708474950985386,723.2331767933407,0.3584271852610985,0.0,0.0774647887323943,2882.0,True,,1.2252468563885588,0.8742687136179769,0.2136607434297348,0.3958783714905343,230.7802277391041,0.0371281226686964,0.0,0.0547375160051216,2953.0,True,,True,,,0.7991463720813458,False,False,False,False
13602779901971968,47.39960854384983,7.816323404317184,0472p075_ac51,11.92,8.444,3.4,3.1,0.198734,-41.62751375601897,-9.51493547640106,12,1.4741872968294891,1.0935460540503728,0.0646261883778647,0.4132245078079629,719.2486761983887,0.3581944670221659,0.0,0.0,3124.0,True,,1.0970072130223032,0.662719636208095,0.0862622083614102,0.4945686876196024,229.6500663389108,0.0372663902621507,0.0,0.0025608194622279,3116.0,True,,True,,,0.6454933467235752,False,False,False,False
14258466789150848,50.438936876410224,9.452577211626624,0505p090_ac51,12.17,8.816,2.7,2.2,0.037642,-38.37890936710027,-8.732502224862312,13,1.1570639628834958,0.5176595061450723,0.0991078498288121,0.2891341922719313,716.3197546055301,0.3427129116151763,0.0,0.0076824583866837,3100.0,True,,1.323158583068154,1.215203050607797,0.3984667572140875,0.5722324113245143,229.107046934344,0.0354394347070167,0.0,0.0140845070422535,3080.0,True,,True,,,0.6068290233492343,False,False,False,False
14675426509705984,46.82332455022129,8.84967462560009,0474p090_ac51,12.368,8.703,2.2,2.3,0.260936,-41.239680014304895,-8.364885291120393,14,1.2616976478488109,0.3649349454553459,0.1124315678330387,0.4486740322035381,729.8718046284012,0.356522557476619,0.0,0.0422535211267605,2992.0,True,,1.3398258280256945,1.036965041795541,0.3574600492929487,0.6971304752229771,234.22812262352767,0.0367161712005359,0.0,0.0,3124.0,True,,True,,,0.6244037157921165,False,False,False,False
17459454375122816,50.57879079970047,12.2517139890204,0509p121_ac51,11.897,8.708,3.4,2.6,0.558681,-36.24217179237716,-6.061026734250108,15,1.4123481238650435,1.1610668589199151,0.1247834413758769,0.3310446015956588,746.7156520175158,0.3449270700273922,0.0,0.0949044585987261,2842.0,True,,1.5246576226151645,1.3867011452708096,0.4085859809152263,0.4422676368760558,239.36578010118484,0.0358085735662119,0.0,0.1229299363057324,2754.0,True,,True,,,0.7803163444639719,False,False,False,False
19021070124267392,40.67806268806952,7.496833049215979,0411p075_ac51,12.541,9.237,2.2,2.1,0.069696,-46.129719525540914,-7.894694895072853,16,1.527018276769979,0.9407395447625296,0.1719515823120677,0.3720362909268612,803.920546860519,0.2876614860521109,0.0,0.0328025477707006,3037.0,True,,2.1336666890834204,2.133644515214129,0.7284018027383707,0.5479737213289119,264.95970328112253,0.0252963889206482,0.0,0.0022292993630573,3133.0,True,,True,,,0.9525483304042179,True,False,False,False
