source_id,ra,dec,rmse,t_ds,gamma,M_G,snr3,snr4,gvar,ruwe,extra_ok,snr_ok,r_med_geo,w1mpro,w2mpro,w3mpro,w4mpro,ecl_lat,w3_mjy,w4_mjy,w3_over_5sig_ecl,w4_over_5sig_ecl,designation_aw,ra_aw,dec_aw,w3mpro_aw,w3sigmpro_aw,w4mpro_aw,w4sigmpro_aw,w3snr_aw,w4snr_aw,w3nm_aw,w4nm_aw,w3m_aw,w4m_aw,w3flg_aw,w4flg_aw,nb_aw,na_aw,w3rchi2_aw,w4rchi2_aw,ph_qual_aw,cc_flags_aw,ext_flg_aw,var_flg_aw,sep_aw,designation_as,ra_as,dec_as,w3mpro_as,w3sigmpro_as,w4mpro_as,w4sigmpro_as,w3snr_as,w4snr_as,ph_qual_as,cc_flags_as,w3flg_as,w4flg_as,sep_as,p_chance_1as,p_chance_3p25as
3714808649869917056,204.28078383014304,5.304495266179832,0.0563124696897294,130.50847457627117,0.2482326876217777,10.963664904215827,3.705460750853243,6.312209302325583,0.8494704851848083,1.0445807,True,True,278.74316,14.306,14.134,12.0,8.059,14.340794678805512,0.5019990697801322,4.997606948711337,0.5837198485815491,0.9254827682798772,J133707.39+051816.2,204.2808207,5.3045225,12.0,0.293,8.059,0.172,3.7,6.3,0,1,23,24,1,1,1,0,1.001,1.828,AABB,0,0,00nn,0.1645577664733225,J133707.41+051816.4,204.2808997,5.3045575,12.645000457763672,,9.437000274658203,,0.800000011920929,0.1000000014901161,AAUU,0000,1.0,1.0,0.4719176380895477,1.107619581164343e-06,1.1699169869872073e-05
1103275603974752000,103.93188556768705,68.58098509793189,0.0621465031877623,140.67796610169492,0.1,13.029040737558336,9.0475,7.385714285714287,1.055442782217308,1.0018572,True,True,73.40321,12.811,12.598,11.331,7.893,45.48988293045778,0.9296145497017342,5.823205234819317,1.08094715081597,1.0783713397813548,J065543.63+683451.9,103.9318041,68.5811012,11.331,0.12,7.893,0.147,9.1,7.4,6,5,26,26,1,1,1,0,1.156,1.416,AABB,0,0,00nn,0.4314717165420053,J065543.62+683452.0,103.9317896,68.5811221,11.505999565124512,0.1209999993443489,7.982999801635742,0.1360000073909759,9.0,8.0,AABB,0000,1.0,1.0,0.5090887663634055,1.107619581164343e-06,1.1699169869872073e-05
1150260106649066752,116.31371586721691,85.28225811932118,0.1388199047928159,120.33898305084746,0.1,8.73435399851941,10.644117647058826,10.644117647058826,0.7744536967891065,0.9947417,True,True,234.9589,12.279,12.221,11.093,7.501,62.25738972515082,1.157451793953417,8.355300938440047,1.3458741790156012,1.5472779515629715,J074515.30+851656.1,116.31378,85.2822639,11.093,0.102,7.501,0.102,10.6,10.7,11,10,23,23,1,1,1,0,1.232,2.594,AAAA,0,0,0000,0.0281719479259858,J074515.30+851656.2,116.3137871,85.282278,11.057000160217283,0.0790000036358833,7.497000217437744,0.0890000015497207,13.800000190734863,12.199999809265137,AAAA,0000,1.0,1.0,0.0746134763023589,1.107619581164343e-06,1.1699169869872073e-05
1150288006756417792,116.36388198148278,85.4372040076356,0.1478562904413316,130.50847457627117,0.1,9.818479606195446,4.413414634146342,4.1125,0.8710213032226544,1.0624998,True,True,267.86667,13.511,13.332,12.035,8.58,62.402252033797005,0.4860745831318484,3.0928730675023632,0.5652030036416842,0.5727542717596968,J074527.47+852614.3,116.3644724,85.4373203,12.035,0.246,8.58,0.264,4.4,4.1,0,1,21,21,1,32,1,0,1.06,1.101,AABB,0,0,00nn,0.4515091817911774,J074527.47+852614.4,116.3644594,85.4373345,12.184000015258787,0.221000000834465,8.619999885559082,0.2469999939203262,4.900000095367432,4.400000095367432,AABB,0000,1.0,32.0,0.4980277673086067,1.107619581164343e-06,1.1699169869872073e-05
6588511275520335872,328.3505355715452,-34.55513927096542,0.1078116496989761,120.33898305084746,0.1,8.322171258940099,7.755,7.755,0.7118726525532652,1.0358096,True,True,263.1352,12.359,12.299,11.052,7.303,-20.395329873113088,1.2019956954420632,10.026794099529386,1.3976694133047247,1.8568137221350716,J215324.10-343318.2,328.3504175,-34.5550742,11.052,0.14,7.303,0.14,7.8,7.8,3,6,12,12,0,1,1,0,1.915,1.446,AABB,0,0,11n0,0.421217380834024,J215324.09-343318.1,328.3503878,-34.5550458,11.161999702453612,0.1299999952316284,7.401000022888184,0.1159999966621398,8.300000190734863,9.399999618530272,AABB,0000,0.0,1.0,0.5524346144670301,1.107619581164343e-06,1.1699169869872073e-05
2963935700951142528,85.83534424431315,-23.10765860656893,0.1529473466792359,161.01694915254237,0.116361638573573,11.321477272446549,5.62538860103627,4.360240963855422,0.989595053826404,1.0322512,True,True,205.90237,13.602,13.413,11.616,8.439,-46.46651769271086,0.7149948479089333,3.521778978178926,0.8313893580336434,0.6521812922553567,J054320.47-230627.5,85.8352956,-23.1076404,11.616,0.193,8.439,0.249,5.6,4.4,2,0,14,14,0,1,1,0,1.132,1.392,AABB,0,0,11nn,0.1738946816140389,J054320.46-230627.4,85.8352825,-23.1076328,11.871999740600586,0.2179999947547912,8.593999862670898,0.2879999876022339,5.0,3.799999952316284,AABB,0000,0.0,1.0,0.2245644334389152,1.107619581164343e-06,1.1699169869872073e-05
5088569744976851200,56.67009942736253,-21.216238526310487,0.1647099397295481,161.01694915254237,0.1,10.600619452185631,7.924817518248175,4.051119402985075,0.9366469402196956,0.96968645,True,True,227.08064,13.383,13.212,11.364,8.582,-39.92999044518241,0.9017848032948256,3.0871810289373465,1.0485869805753787,0.571700190543953,J034640.81-211258.3,56.6700799,-21.2162025,11.364,0.137,8.582,0.268,7.9,4.1,4,0,15,15,1,1,1,0,1.108,1.009,AABB,0,0,11nn,0.1453113683471876,J034640.79-211258.4,56.6699879,-21.2162423,11.814000129699709,0.1979999989271164,8.814000129699707,,5.5,0.6000000238418579,AABU,0000,1.0,1.0,0.3745319163029799,1.107619581164343e-06,1.1699169869872073e-05
2977470860885662464,71.7205964186912,-20.28011208202892,0.1841814131025211,100.0,0.1,8.591877283049309,4.486363636363637,5.170000000000001,0.7072078524530719,1.0040405,True,True,242.99657,12.29,12.225,11.947,8.038,-42.244742170430506,0.5271120110447375,5.09521010028637,0.6129209430752761,0.9435574259789574,J044652.95-201648.0,71.7206514,-20.2800132,11.947,0.242,8.038,0.21,4.5,5.2,1,1,17,17,0,1,1,0,1.058,1.243,AABB,0,0,11nn,0.4014835794245648,J044652.95-201648.0,71.7206352,-20.280006,11.916000366210938,0.1879999935626983,8.180999755859375,0.1909999996423721,5.800000190734863,5.699999809265137,AABB,0000,0.0,1.0,0.4037251873805729,1.107619581164343e-06,1.1699169869872073e-05
4897285130111847808,65.77915761650446,-23.385611177469865,0.1158117535175556,100.0,0.1255205236417265,10.509847700240485,4.395546558704454,9.123529411764707,0.8413726423084006,1.0001119,True,True,138.94402,12.651,12.432,11.969,7.601,-44.19690952607101,0.5165387561306128,7.620125021937934,0.6006264606169917,1.4111342633218396,J042307.00-232308.4,65.7791726,-23.3856857,11.969,0.247,7.601,0.119,4.4,9.1,0,6,17,17,1,17,1,0,1.064,2.06,AABB,0,0,11nn,0.2728112049242589,J042306.99-232308.4,65.7791523,-23.3856876,12.538000106811523,0.328000009059906,8.857999801635742,,3.299999952316284,1.2999999523162842,AABU,0000,0.0,17.0,0.275681393475896,1.107619581164343e-06,1.1699169869872073e-05
2966861943769527680,85.92874878991987,-19.8604567277024,0.0956259620791743,161.01694915254237,0.1,11.207886664697696,7.385714285714287,3.933695652173913,0.9110793476137178,1.0003827,True,True,169.10197,13.319,13.097,11.31,8.371,-43.225458618800246,0.9477699009992778,3.7494027776289447,1.102058024417765,0.6943338477090638,J054342.90-195137.8,85.9287532,-19.8605086,11.31,0.147,8.371,0.276,7.4,3.9,3,2,16,16,1,1,2,1,1.094,1.097,AABB,0,0,nnnn,0.1873363123345807,J054342.88-195137.9,85.9286984,-19.8605429,11.571999549865724,0.1509999930858612,8.604999542236328,0.2639999985694885,7.199999809265137,4.099999904632568,AABB,0000,0.0,1.0,0.3540421817203397,1.107619581164343e-06,1.1699169869872073e-05
2568406557725395712,26.92295216405343,7.0666442368080205,0.1264144613443334,161.01694915254237,0.2888476227919195,12.420568024996909,5.2960975609756105,4.274409448818898,0.8942056327895704,1.0511642,True,True,230.01682,14.961,14.629,11.684,8.413,-3.77680452914282,0.6715879765961807,3.607132511049217,0.7809162518560241,0.6679875020461513,J014741.48+070400.2,26.9228702,7.0667355,11.684,0.205,8.413,0.254,5.3,4.3,1,3,23,23,1,1,1,0,1.139,0.9776,AABB,0,0,01nn,0.4401049513515342,J014741.48+070400.4,26.9228362,7.0667983,11.496999740600586,0.1650000065565109,8.220000267028809,0.221000000834465,6.599999904632568,4.900000095367432,AABB,0000,1.0,1.0,0.6922829069087179,1.107619581164343e-06,1.1699169869872073e-05
21485423574915456,40.21649295724785,8.999184344987995,0.1820779864014055,130.50847457627117,0.1,10.210905673266543,5.744444444444445,4.63974358974359,0.9903756560586732,0.96252644,True,True,195.61487,12.864,12.732,11.37,8.216,-6.324610276567666,0.8968151007494952,4.324760848739561,1.0428082566854595,0.8008816386554741,J024051.94+085957.1,40.2164569,8.9991991,11.37,0.189,8.216,0.234,5.7,4.6,2,0,17,18,1,1,1,0,1.048,1.154,AABB,0,0,11nn,0.1387763763667147,J024051.94+085957.1,40.2164437,8.9992181,11.364999771118164,0.1490000039339065,8.383000373840332,0.2339999973773956,7.300000190734863,4.599999904632568,AABB,0000,1.0,1.0,0.2131708549730632,1.107619581164343e-06,1.1699169869872073e-05
3445667887230884608,80.90654473417949,29.05911076792447,0.1594627876635201,161.01694915254237,0.2133286284593057,12.13836805042368,4.25764705882353,3.571381578947369,1.163544016609582,1.0371084,True,True,228.00732,14.244,14.113,11.58,8.263,5.871476548080922,0.7390995066468838,4.141542255780304,0.8594180309847487,0.7669522695889451,J052337.54+290332.7,80.9064545,29.0591058,11.58,0.255,8.263,0.304,4.3,3.6,0,1,10,10,1,1,1,0,0.9961,0.9206,AABB,0,0,00nn,0.2845141689844061,J052337.54+290332.7,80.9064424,29.0590906,11.876999855041504,0.3109999895095825,8.730999946594238,0.4740000069141388,3.5,2.299999952316284,AABC,0000,1.0,1.0,0.3301113961500367,1.107619581164343e-06,1.1699169869872073e-05
111132759821159424,49.55821650132807,24.63153039741925,0.1962094336271359,150.84745762711864,0.1,10.709759008800422,7.983088235294118,3.809473684210527,1.3425351956664588,0.95588654,True,True,158.04858,12.702,12.508,10.892,8.099,6.1540257452994425,1.3928453940741965,4.816838625832814,1.619587667528135,0.8920071529320025,J031813.96+243753.6,49.5582051,24.6315787,10.892,0.136,8.099,0.285,8.0,3.8,5,1,12,12,0,1,1,0,1.14,0.9197,AABB,0,0,000n,0.1778469023436155,J031813.96+243753.7,49.5581825,24.6316006,11.04599952697754,0.1480000019073486,8.246000289916992,0.2759999930858612,7.300000190734863,3.900000095367432,AABB,0000,0.0,1.0,0.2761383579556833,1.107619581164343e-06,1.1699169869872073e-05
