source_id,ra,dec,w3sky,w4sky,w3conf,w4conf,w3sigsk,w4sigsk,w3rchi2,w4rchi2,nb,na,ext_flg,w3snr,w4snr,dist_x,designation_aw,glat,ecl_lat,n1_flag,n1_ncat,n1_cat,n1_name,n1_sep_as,n1_r_as,n2_score,n2_flag_0.95,n2_flag_0.99,n2_flag_0.999,n2_flag,nebular_flag
2069838340167961472,309.37486557253226,43.77156543020659,2350.766,543.251,14.713,0.984,153.011,24.838,0.6051,1.498,1,0,0,5.7,8.8,0.803619,J203730.03+434617.8,1.6350509845068537,58.95219787466443,True,2,HII_SH2,109,12611.021189027788,32400.0,1.0,True,True,True,True,True
2069872558169384448,309.7682685344405,44.13586906349104,2041.347,482.299,16.872,2.987,33.82,12.454,2.375,1.509,3,1,0,17.5,10.0,0.162506,J203904.39+440809.2,1.6306390119310346,59.12972831382591,True,2,HII_SH2,109,14127.29113216597,32400.0,1.0,True,True,True,True,True
2070248904689353472,309.8367581412785,44.279823902409504,2040.217,482.454,10.459,3.131,36.403,11.203,1.419,1.315,2,1,0,14.3,4.5,0.120443,J203920.81+441647.3,1.679237715056956,59.230245189486666,True,2,HII_SH2,109,14673.851236353394,32400.0,1.0,True,True,True,True,True
2070603527243610752,307.4104895073936,44.03509177085263,2390.455,652.994,0.0,0.0,72.885,15.805,0.9033,1.191,1,0,0,5.6,7.0,0.162424,J202938.52+440206.2,2.929343049879076,59.86965938222836,True,3,HII_SH2,109,13558.293568351808,32400.0,1.0,True,True,True,True,True
2070723790632158336,308.41811155157336,44.84248450577834,1660.467,437.113,21.404,5.208,31.138,10.536,0.8908,1.023,2,1,0,11.4,4.3,0.220391,J203340.35+445033.1,2.825098834450151,60.22148096059135,True,2,HII_SH2,109,16200.320679066614,32400.0,1.0,True,True,True,True,True
2070834257194486656,306.5724044614527,44.59857964968156,1734.714,441.629,10.744,2.664,38.865,11.072,1.239,1.093,2,0,0,12.2,5.3,0.328801,J202617.39+443555.1,3.744828561081155,60.65254012718117,True,1,HII_SH2,109,16079.592493744429,32400.0,1.0,True,True,True,True,True
2071195996520175744,308.3800062411992,46.0296293108734,1655.44,419.552,12.49,1.336,35.104,10.267,1.089,1.255,2,0,0,9.7,8.4,0.266317,J203331.18+460146.5,3.5520714572937733,61.25923281401216,True,3,BRIGHT_LBN,351,2030.5403228932093,4257.528763613328,1.0,True,True,True,True,True
2071531450642911616,308.9622330806275,47.07455911188396,1802.555,570.644,9.259,4.678,34.316,15.416,1.04,1.163,1,0,0,12.0,10.0,0.082379,J203550.94+470428.4,3.853551355756891,61.94082772922684,True,6,HII_WISE,G085.192+03.902,293.1903719103015,883.0,1.0,True,True,True,True,True
2071935345064553344,298.8422511680922,37.78838489065637,1395.483,387.809,10.705,2.474,27.948,10.625,0.9778,0.9825,2,0,0,9.8,7.4,0.210878,J195522.13+374718.3,4.918544754871201,56.88165737254362,True,1,HII_SH2,109,28262.73345249342,32400.0,0.736653041000867,False,False,False,False,True
2072566670896067200,299.1020232283749,38.850749184990654,1401.857,389.198,4.609,1.946,29.275,10.289,1.017,1.047,2,1,0,9.7,5.5,0.195008,J195624.49+385102.8,5.288509542402452,57.80120103236676,True,1,HII_SH2,109,26360.28402098754,32400.0,0.7712126842561625,False,False,False,False,True
2072567774729151360,299.0617838517923,38.896029062445386,1407.946,389.783,5.624,3.284,25.958,10.419,1.145,1.097,2,0,0,8.0,6.3,0.327519,J195614.82+385346.0,5.338636069274293,57.85476582555195,True,1,HII_SH2,109,26428.641906427885,32400.0,0.8032949337297164,False,False,False,False,True
2073113235566778880,296.4472758476413,38.69184177841777,1362.632,379.025,6.502,2.293,28.049,10.3,1.106,0.9934,1,0,0,8.8,4.7,0.16614,J194547.33+384130.5,6.9989687894755885,58.378147883475584,False,0,,,,,0.5240926545274371,False,False,False,False,False
