lam_um,f,e
4.900400095357327,3.1477957037031564e-05,1.0507617996540213e-05
4.902400095357327,2.7702729034150404e-05,1.020897937743949e-05
4.904400095357326,-1.8331118083819353e-06,1.100872059693323e-05
4.906400095357326,3.2874106469956106e-05,1.1150045939905185e-05
4.908400095357326,2.3334492688473096e-05,9.872591019773765e-06
4.910400095357326,5.205417049283278e-05,1.0672387984013429e-05
4.9124000953573255,3.987652420597852e-05,1.0250033046109857e-05
4.914400095357325,4.72915238003132e-05,1.089377963197146e-05
4.916400095357325,7.981490507329502e-06,1.0060395556211346e-05
4.918400095357325,2.9771442340541085e-05,1.0600933290770799e-05
4.920400095357325,3.669300022636012e-05,1.2115001962615161e-05
4.922400095357324,3.2316792907834693e-05,1.0196723020023896e-05
4.924400095357324,3.7208008207588926e-05,1.136455744391326e-05
4.926400095357324,1.715937908916415e-05,1.0626306829432184e-05
4.928400095357324,-5.475792165391627e-06,1.2294273633093416e-05
4.9304000953573235,1.8326054097611458e-05,1.0538899283312747e-05
4.932400095357323,4.851695224411608e-06,1.05018344223337e-05
4.934400095357323,2.1424451618658815e-05,1.1402784469964857e-05
4.936400095357323,7.111983089728565e-06,1.0004811524595612e-05
4.938400095357323,8.721870415163373e-06,1.1020691916304577e-05
4.940400095357322,2.0674920896036055e-06,1.047964771762161e-05
4.942400095357322,5.428831718630528e-05,1.073690148664296e-05
4.944400095357322,4.4392797452939476e-05,1.0371080074830819e-05
4.946400095357322,6.159449818381476e-05,1.0187603584694311e-05
4.9484000953573215,3.429283586615061e-05,1.1441215716627659e-05
4.950400095357321,1.2580922722332825e-05,1.0179334148204076e-05
4.952400095357321,1.085465553696435e-05,1.0045371612074867e-05
4.954400095357321,1.150393003514988e-05,1.0971043043943085e-05
4.956400095357321,5.510592362681807e-05,1.0130729930112673e-05
4.95840009535732,-2.3223555952547807e-07,1.1636462986120301e-05
4.96040009535732,-3.6328264340877436e-05,1.135899488100009e-05
4.96240009535732,4.314170029355133e-05,1.0731587300717784e-05
4.96440009535732,3.67924959441013e-05,1.1043878396719381e-05
4.9664000953573195,4.719224943618193e-05,9.602174192560204e-06
4.968400095357319,2.772873880935084e-05,1.1505233662624535e-05
