bband,n,rmse,prev,undet
0,11200,0.5,0.245625,0.12785714285714286
1,11200,0.531875,0.2916964285714286,0.0575
2,11200,0.5291964285714286,0.2950892857142857,0.04428571428571428
3,11200,0.5359821428571429,0.30357142857142855,0.030892857142857142
4,11200,0.4340178571428571,0.24875,0.1332142857142857
5,11200,0.44125,0.24973214285714285,0.13080357142857144
