z,n_5sigma,sum_snr
0.05,3,104.92905110928523
0.052000000000000005,3,106.31529890209117
0.054000000000000006,3,97.50709401118766
0.05600000000000001,3,87.09415708492214
0.05800000000000001,4,70.191549772158
0.06000000000000001,3,83.50235113391933
0.06200000000000001,2,81.82324882303033
0.06400000000000002,3,80.89631250473182
0.06600000000000002,2,57.3525180623642
0.06800000000000002,2,55.90946681889677
0.07000000000000002,1,45.09654585871001
0.07200000000000002,2,46.519087756006535
0.07400000000000002,2,37.35176594799536
0.07600000000000003,2,25.266372490725296
0.07800000000000003,1,23.920700393651675
0.08000000000000003,3,44.289507375039555
0.08200000000000003,3,45.7190051269277
0.08400000000000003,3,36.851992390078586
0.08600000000000003,3,28.724921065862606
0.08800000000000004,2,17.517344473687366
0.09000000000000004,3,26.99896596094173
0.09200000000000004,3,44.92044502959941
0.09400000000000004,4,79.07663952066314
0.09600000000000004,4,45.101937654038935
0.09800000000000005,3,34.31303845620314
0.10000000000000005,3,30.60087346908009
0.10200000000000005,3,31.846301284493975
0.10400000000000005,3,32.95036553496373
0.10600000000000005,3,34.13300182650685
0.10800000000000005,3,32.68503675708
0.11000000000000006,2,23.487621454118838
0.11200000000000006,2,27.118111736946425
0.11400000000000006,3,35.40586004570909
0.11600000000000006,4,45.78881208168933
0.11800000000000006,5,56.81608822051187
0.12000000000000006,4,47.64432939715402
0.12200000000000007,4,51.861418200127886
0.12400000000000007,4,59.60833959662931
0.12600000000000006,5,72.2158230167296
0.12800000000000006,3,70.19923012277944
0.13000000000000006,3,74.10901950174562
0.13200000000000006,5,100.26776140254452
0.13400000000000006,5,110.19928330910207
0.13600000000000007,5,113.37832793106355
0.13800000000000007,5,115.57874727297259
0.14000000000000007,5,124.25810065853531
0.14200000000000007,6,132.39845091250262
0.14400000000000007,5,115.32393970817705
0.14600000000000007,4,94.67880934820921
0.14800000000000008,4,98.99445007582794
0.15000000000000008,5,110.93944339300545
0.15200000000000008,5,94.54225264282053
0.15400000000000008,4,81.71784081777692
0.15600000000000008,4,77.11340199930932
0.15800000000000008,3,56.77154186569493
0.1600000000000001,4,73.79157797901532
0.1620000000000001,4,89.24741008588448
0.1640000000000001,6,99.41925492600434
0.1660000000000001,5,84.5612913893569
0.1680000000000001,4,81.15029948430177
0.1700000000000001,6,99.84129069036476
0.1720000000000001,7,116.01843405909997
0.1740000000000001,7,139.68881899566847
0.1760000000000001,6,143.8228087657994
0.1780000000000001,6,139.902861344835
0.1800000000000001,7,156.55812114308233
0.1820000000000001,6,137.17977137262938
0.1840000000000001,6,142.45558171307195
0.1860000000000001,7,155.49386251856336
0.1880000000000001,7,161.14752339840356
0.1900000000000001,7,159.4709286800369
0.19200000000000012,7,164.49291688424128
0.19400000000000012,7,171.12938071261698
0.19600000000000012,7,167.990884316522
0.19800000000000012,6,156.68746973227644
0.20000000000000012,6,167.2160162022077
0.20200000000000012,7,200.56272623303826
0.20400000000000013,7,213.97353220037334
0.20600000000000013,6,200.24106961697314
0.20800000000000013,6,196.89935643460865
0.21000000000000013,6,195.50825646888046
0.21200000000000013,6,208.30917510591473
0.21400000000000013,6,223.41693576279056
0.21600000000000014,6,217.79360971794847
0.21800000000000014,6,215.57895990921583
0.22000000000000014,6,209.32676628853912
0.22200000000000014,6,189.79330430315085
0.22400000000000014,7,204.68529749796323
0.22600000000000015,7,213.86490643519497
0.22800000000000015,8,224.5565536107814
0.23000000000000015,7,228.3919723941254
0.23200000000000015,6,214.86424521176514
0.23400000000000015,6,196.65829300212388
0.23600000000000015,6,184.81437319119516
0.23800000000000016,4,169.9730338654415
0.24000000000000016,4,157.24982111105203
0.24200000000000016,4,165.96140526820142
0.24400000000000016,4,164.18759493694256
0.24600000000000016,4,161.72622405082217
0.24800000000000016,4,162.51116794203233
0.25000000000000017,5,157.42844661266594
0.25200000000000017,5,160.061567843446
0.25400000000000017,4,182.474529810247
0.25600000000000017,4,188.10596182762495
0.2580000000000002,3,154.2516340648546
0.2600000000000002,5,150.06020648090143
0.2620000000000002,4,151.82240229797074
0.2640000000000002,4,155.7336711115442
0.2660000000000002,4,157.12273296583686
0.2680000000000002,4,150.43583259420205
0.2700000000000002,4,145.96996215694438
0.2720000000000002,4,140.8139030132216
0.2740000000000002,5,150.80378973744322
0.2760000000000002,5,196.2287127558396
0.2780000000000002,5,204.15752503519442
0.2800000000000002,4,161.69576858380825
0.2820000000000002,5,177.3736615812135
0.2840000000000002,5,180.39114118053683
0.2860000000000002,5,179.02766747321954
0.2880000000000002,4,159.86748815804174
0.2900000000000002,5,167.77936461416635
0.2920000000000002,5,179.32819750274768
0.2940000000000002,5,179.7648485619174
0.2960000000000002,4,173.14359177752263
0.2980000000000002,4,176.3477312193976
0.3000000000000002,5,186.75567446801887
0.3020000000000002,5,178.25611015148564
0.3040000000000002,5,165.92941515144216
0.3060000000000002,5,159.78695331039108
0.3080000000000002,5,167.34416927265556
0.3100000000000002,3,151.47390812366214
0.3120000000000002,3,149.9578777299466
0.3140000000000002,3,142.76772084912653
0.3160000000000002,6,148.2123435825177
0.3180000000000002,6,156.5225799245922
0.32000000000000023,5,169.37490429739768
0.32200000000000023,5,180.80320389441948
0.32400000000000023,5,188.13773476105615
0.32600000000000023,4,185.85688279823972
0.32800000000000024,4,180.75894160044444
0.33000000000000024,4,175.23959456954202
0.33200000000000024,4,172.97790255441038
0.33400000000000024,4,166.88102988324124
0.33600000000000024,4,167.01392922740405
0.33800000000000024,4,157.59684033363695
0.34000000000000025,4,145.55163720541555
0.34200000000000025,4,130.31771781273028
0.34400000000000025,5,120.79192331388944
0.34600000000000025,4,106.90106758801875
0.34800000000000025,3,97.1837225197934
0.35000000000000026,3,95.39853906596991
0.35200000000000026,3,88.63112823830897
0.35400000000000026,3,78.56178498868519
0.35600000000000026,3,80.94881348076376
0.35800000000000026,3,83.18684184009872
0.36000000000000026,3,71.53580751360835
0.36200000000000027,4,61.939525830902056
0.36400000000000027,4,71.91409701002145
0.36600000000000027,4,81.36632354526483
0.36800000000000027,4,78.15752078403527
0.3700000000000003,4,81.36792224914862
0.3720000000000003,4,96.39572447265243
0.3740000000000003,4,94.41590443306418
0.3760000000000003,4,90.4912212622117
0.3780000000000003,4,96.52220348574515
0.3800000000000003,5,105.11818754674091
0.3820000000000003,4,94.7356188194077
0.3840000000000003,3,96.12062047059547
0.3860000000000003,3,93.16096950753294
0.3880000000000003,4,126.00837613924739
0.3900000000000003,4,138.5226057063184
0.3920000000000003,4,115.10248768416905
0.3940000000000003,3,108.36731123812777
0.3960000000000003,3,113.041083438009
0.3980000000000003,3,115.53848651750621
0.4000000000000003,3,111.89685729015636
0.4020000000000003,3,104.4083367640151
0.4040000000000003,3,96.8991431856196
0.4060000000000003,3,102.70526423562174
0.4080000000000003,3,107.9397741173254
0.4100000000000003,4,113.3069561528255
0.4120000000000003,4,110.18299904944678
0.4140000000000003,4,110.91184469444264
0.4160000000000003,4,117.20042083842864
0.4180000000000003,4,131.28686069024053
0.4200000000000003,4,140.78120411573752
0.4220000000000003,3,137.2280411575701
0.4240000000000003,4,142.2061504100387
0.4260000000000003,4,137.86551200774764
0.4280000000000003,4,133.40502663782533
0.4300000000000003,3,126.65005899900633
0.43200000000000033,4,128.42405423209473
0.43400000000000033,4,125.07243549588755
0.43600000000000033,3,114.66552851561976
0.43800000000000033,4,116.49126154539242
0.44000000000000034,4,105.48689332082459
0.44200000000000034,4,92.39456472380522
0.44400000000000034,4,77.30784709080808
0.44600000000000034,3,57.54245493170678
0.44800000000000034,4,61.181985099826456
0.45000000000000034,4,59.510614265951226
0.45200000000000035,4,58.6303760838006
0.45400000000000035,2,46.320768026400195
0.45600000000000035,3,56.682724030261184
0.45800000000000035,3,57.949858533771234
0.46000000000000035,3,52.05671288297685
0.46200000000000035,3,59.0080757807828
0.46400000000000036,3,86.13263187682462
0.46600000000000036,3,123.92363253122744
0.46800000000000036,3,131.15441413784873
0.47000000000000036,3,123.47154837329894
0.47200000000000036,3,110.63115255162072
0.47400000000000037,3,98.0206577534577
0.47600000000000037,2,80.68844196374761
0.47800000000000037,2,86.40548148793445
0.48000000000000037,2,88.14478989902109
0.4820000000000004,3,89.74853261010031
0.4840000000000004,3,84.77217598994926
0.4860000000000004,3,87.7047716189333
0.4880000000000004,3,95.60279673321148
0.4900000000000004,3,105.59766358233283
0.4920000000000004,5,146.6316513635478
0.4940000000000004,5,159.94477983312805
0.4960000000000004,5,149.38096397029693
0.4980000000000004,4,131.93386103318758
0.5000000000000004,4,131.75261616072646
0.5020000000000004,4,133.809418885546
0.5040000000000004,4,133.70025687079084
0.5060000000000004,4,133.67531140040282
0.5080000000000005,4,142.9556428778611
0.5100000000000005,4,152.48677474834042
0.5120000000000005,4,145.31421724643906
0.5140000000000005,4,152.82170895732585
0.5160000000000005,4,150.2372843327065
0.5180000000000005,4,151.13563239292375
0.5200000000000005,4,148.90979699084482
0.5220000000000005,3,137.07012105723288
0.5240000000000005,3,129.98969811266022
0.5260000000000005,3,123.94959842840353
0.5280000000000005,4,125.96328768223
0.5300000000000005,4,124.99971677441573
0.5320000000000005,4,120.7731219750355
0.5340000000000005,3,115.10139283256655
0.5360000000000005,3,115.03438391970671
0.5380000000000005,3,115.4411558366519
0.5400000000000005,3,117.99464259136528
0.5420000000000005,3,123.44436794454286
0.5440000000000005,3,126.23021654697433
0.5460000000000005,4,134.8509332171732
0.5480000000000005,4,136.3721626967461
0.5500000000000005,3,131.54694061634234
0.5520000000000005,3,136.17890351588923
0.5540000000000005,4,150.76222039356543
0.5560000000000005,4,156.390750260337
0.5580000000000005,4,160.99128092575657
0.5600000000000005,4,160.30807434919865
0.5620000000000005,3,146.36660386654486
0.5640000000000005,3,144.97226046698285
0.5660000000000005,4,146.15585042765585
0.5680000000000005,4,144.06791659695176
0.5700000000000005,4,138.2912082930597
0.5720000000000005,4,124.41560475481197
0.5740000000000005,3,111.89977348053722
0.5760000000000005,4,118.5902858376069
0.5780000000000005,4,116.40040750894889
0.5800000000000005,4,113.52418890634578
0.5820000000000005,4,111.38795217792884
0.5840000000000005,5,118.41353409018012
0.5860000000000005,4,106.96791997591701
0.5880000000000005,3,89.90367840355836
0.5900000000000005,2,79.5703797307749
0.5920000000000005,3,101.81600821773921
0.5940000000000005,4,133.38600607371052
0.5960000000000005,4,139.84768537310208
0.5980000000000005,5,149.06543483439913
0.6000000000000005,4,129.6078070196535
0.6020000000000005,3,123.21203430555755
0.6040000000000005,3,123.75970384967478
0.6060000000000005,3,119.02374838468702
0.6080000000000005,3,115.57207733912131
0.6100000000000005,3,115.6061776663376
0.6120000000000005,3,107.82613909303754
0.6140000000000005,4,109.64034112029628
0.6160000000000005,4,108.73996523225479
0.6180000000000005,2,106.16274791147055
