source_id,ra,dec,rmse,t_ds,gamma,M_G,snr3,snr4,gvar,ruwe,extra_ok,snr_ok,r_med_geo,w1mpro,w2mpro,w3mpro,w4mpro
5747322860944871552,131.31865012871447,-12.218118662946106,0.1362065506970773,100.0,0.01,7.1996397047691145,31.93235294117647,8.616666666666667,0.6507547267043475,0.9600041,True,True,113.43066,9.955,9.946,9.415,7.313
5726306211581969408,121.02242342863636,-12.327951827536818,0.19720498702534928,700.0,0.01,9.242175737908116,47.20434782608696,4.5810126582278485,1.4262256259915902,1.2227651,True,True,42.647743,8.943,8.849,8.695,8.403
5725737454833070208,119.53880825134225,-13.583694301695177,0.07833588039739059,161.01694915254237,0.025370325336541884,10.162559719307357,8.755645161290323,4.5810126582278485,1.0515906237907038,1.0573063,True,True,131.00584,11.935,11.813,10.967,8.163
3049673762261493248,106.2022292573325,-9.719257387503587,0.03491864139853581,181.35593220338984,0.1398268057402531,9.877703465007126,9.870000000000001,5.998342541436465,1.0276639215016667,0.9760723,True,True,261.2559,13.279,13.172,10.418,7.569
2953059812967605888,101.93011332785392,-11.988528650732809,0.05349027156758566,150.84745762711864,0.03460201435087329,10.190593611244976,5.073364485981309,3.571381578947369,1.0202225662866935,1.0301858,True,True,166.91658,12.543,12.419,11.549,8.491
3002145207483603328,98.16386967565036,-10.344021966765304,0.0973284598639435,161.01694915254237,0.0877864361381346,10.770782891435964,5.744444444444445,4.504979253112034,0.8188024857569314,1.0703003,True,True,180.26683,13.295,13.147,11.294,8.064
3045599139669048832,105.72393223521188,-12.823319120259065,0.031080324235174064,161.01694915254237,0.018601616690726987,8.614599919421853,7.487586206896553,3.6432885906040275,0.7810820816743453,1.0376723,True,True,201.41862,11.891,11.861,11.025,8.382
3045481324422704768,108.60330665882658,-11.350829289198586,0.04678556920214021,191.52542372881356,0.05511431323226077,10.310935082843674,10.644117647058826,3.7567474048442913,0.9066957241878684,0.99011916,True,True,168.08888,12.665,12.518,10.63,8.187
3034916460793769216,112.6596556481126,-11.512291317514,0.0846343346912341,161.01694915254237,0.018601616690726987,7.63274003070017,8.416279069767443,4.4679012345679014,0.9945943458098584,1.230955,True,True,292.30362,11.869,11.942,11.07,8.24
3045780975704191232,106.03762676342878,-12.063505390978422,0.16144307127289342,161.01694915254237,0.26010046434689327,10.184638607891706,8.416279069767443,10.340000000000002,1.3146256733166024,1.1945294,True,True,245.7098,13.174,13.083,10.151,6.704
