source_id,ra,dec,rmse,t_ds,gamma,M_G,snr3,snr4,gvar,ruwe,extra_ok,snr_ok,r_med_geo,w1mpro,w2mpro,w3mpro,w4mpro,prov,n1_flag,n1_ncat,n1_cat,n1_name,n2_score,n2_flag,nebular_flag,glat,ecl_lat,w3sky,w4sky,w3conf,w4conf,w3rchi2,w4rchi2,nb,na,n2_flag_0.95,n2_flag_0.99,n2_flag_0.999,ab
1345188052692608,43.88991754467799,2.3242530116702502,0.1108903158846711,130.50847457627117,0.1,10.018556572678362,8.826829268292684,8.10223880597015,1.0119098603598862,0.9660015,True,True,177.56325,12.693,12.562,11.093,7.711,AIP-exact,False,0,,,0.8076549446279386,False,False,-48.03088164615933,-13.788216710091396,2834.53,907.45,2.149,1.801,1.192,1.081,1,0,False,False,False,48.03088164615933
2997371776970112,50.27066864324239,4.65386133654165,0.1054229598216507,150.84745762711864,0.1,10.82966134507543,2.748607594936709,2.35,0.8173348522135201,0.9888271,True,False,253.03333,13.797,13.653,12.135,8.769,AIP-exact,False,0,,,0.4066446473673984,False,False,-41.88107351654562,-13.324742438175065,2597.778,817.531,6.922,3.632,0.837,0.9215,1,0,False,False,False,41.88107351654562
3131168597913728,48.49879304679251,4.745378212159964,0.0832754801684955,150.84745762711864,0.1575540185529324,12.01155373510936,2.8200000000000003,2.3914096916299563,1.2687989544459497,1.2081199,True,False,230.96132,14.402,14.215,12.19,8.822,AIP-exact,False,0,,,0.5079658053234894,False,False,-43.08577523247058,-12.767147089974932,2649.91,835.565,4.942,2.583,1.019,1.067,1,0,False,False,False,43.08577523247058
6141116038863360,40.17951987263842,5.30820872358259,0.1893788985104605,110.16949152542372,0.1,9.768772182110482,2.7416666666666667,2.864643799472296,0.8486552133173716,0.94833654,True,False,270.07138,13.221,13.087,12.252,8.843,AIP-exact,False,0,,,0.7190292758089368,False,False,-48.17115734645117,-9.826180211944084,3183.443,1027.759,2.922,1.244,0.892,1.007,1,0,False,False,False,48.17115734645117
6269552740578688,41.85470192753886,5.253854213020208,0.0443345283415155,161.01694915254237,0.1078710519896663,11.620865652670552,2.950271739130435,2.229363449691992,1.02166632740699,1.0177637,True,False,241.8119,14.473,14.27,12.277,9.187,AIP-exact,False,0,,,0.98960559549252,False,False,-47.17327851178068,-10.386456507970816,3067.214,1005.521,3.022,0.927,0.9932,1.037,1,0,True,False,False,47.17327851178068
7097107039431168,44.50350927500652,6.048999076343115,0.0922210224749333,130.50847457627117,0.116361638573573,11.194928682675991,4.224513618677043,5.567692307692308,2.866560807499129,1.109051,False,True,147.63457,12.88,12.66,11.593,7.59,AIP-exact,False,0,,,0.7980376918593355,False,False,-44.86175233670979,-10.403965521485295,2827.555,910.503,7.582,4.675,0.9471,1.005,1,0,False,False,False,44.86175233670979
7778086989417856,46.86517936465719,7.5889680417936125,0.1296915739231392,100.0,0.1,11.20347707101918,2.2905063291139243,2.8875,0.8513267081533614,1.0841134,True,False,135.4591,12.995,12.784,12.268,8.565,AIP-exact,False,0,,,0.1577812018489984,False,False,-42.15217889156229,-9.588231507117229,2881.711,923.799,3.889,2.091,0.9798,1.069,1,0,False,False,False,42.15217889156229
8993970755488000,44.91020316768133,9.350754055004964,0.0899609824982207,130.50847457627117,0.1,10.943749455166994,2.849606299212599,2.548591549295775,0.9921056330593,0.9915138,True,False,195.736,13.436,13.256,12.069,8.56,AIP-exact,False,0,,,0.2729583975346687,False,False,-42.08436437854509,-7.355619397655928,2962.156,952.997,8.59,1.319,1.053,0.9191,1,0,False,False,False,42.08436437854509
9405566061434880,50.14948710520794,6.2398669144474095,0.0895408322384724,130.50847457627117,0.1,10.668429962525131,2.319871794871795,2.5016129032258068,1.0344960347367511,1.1494187,True,False,246.39813,13.766,13.577,12.303,8.825,AIP-exact,False,0,,,0.6359044103361181,False,False,-40.86657734868263,-11.762163700595318,2717.314,862.484,5.406,3.724,1.056,1.118,1,0,False,False,False,40.86657734868263
9762872980747904,53.20910827665763,7.256378086042265,0.0839489225526588,161.01694915254237,0.1699551772650422,12.488973101064577,2.068,2.087884615384616,0.7628356316951133,1.0523589,True,False,235.25008,14.979,14.689,12.355,9.034,AIP-exact,False,0,,,0.6301729162619001,False,False,-37.96932669788549,-11.543536298960053,2713.816,859.992,2.609,1.235,0.9081,1.092,1,0,False,False,False,37.96932669788549
