source_id,ra,dec,label,coadd_id,w3mpro,w4mpro,w3snr,w4snr,dist_x,glat,ecl_lat,_row,w3_S,w3_A,w3_G,w3_C,w3_level,w3_sig_exp,w3_nan_frac,w3_clip_frac,w3_n_ann,w3_ok,w3_reason,w4_S,w4_A,w4_G,w4_C,w4_level,w4_sig_exp,w4_nan_frac,w4_clip_frac,w4_n_ann,w4_ok,w4_reason,morph_ok
3496509309189181184,191.30392370869112,-26.86757675063225,A,1909m273_ac51,10.023,6.811,22.5,16.6,0.511703,35.98345392901187,-20.18696301213155,0,1.7690107632218344,1.3245136288806014,0.059173760663956985,0.5145535464265479,540.0271669727688,0.21663304259729715,0.0,0.03873239436619718,3003,True,,1.492104470852507,0.6291060225373896,0.1347110916941491,0.5388764637294138,167.86690593515965,0.023128410600231884,0.0,0.11235595390524968,2773,True,,True
4843191593270342656,59.01587563718896,-40.5301454610433,B,0593m409_ac51,11.14,9.03,13.9,3.8,0.218305,-49.89725057390219,-58.80612831504665,1,1.2502073608948527,1.0693626072566005,0.17265256996994607,0.47098623614335444,342.9630391047676,0.1354594661060967,0.0,0.0854673495518566,2857,True,,1.1912965987698814,0.8278800698665256,0.3149736511515071,0.5254841397575765,98.73450748667479,0.014925663233087041,0.0,0.016005121638924456,3074,True,,True
4649396037451459712,74.012691975186,-74.1705989811048,C,0741m743_ac51,11.26,8.457,10.5,5.0,0.340663,-33.76713857384531,-80.74990912746212,2,1.5870556348202811,1.0788340145834752,0.21110072654405496,0.47056575248693405,259.61349526939387,0.17650483701609243,0.0,0.05,2983,True,,1.3541081574828513,1.5301730226824808,0.5001160789419014,0.7461695439942645,71.33988956993863,0.022444749956488184,0.0,0.0022292993630573248,3133,True,,True
2660349163149053824,351.9637283640838,5.107261950673839,D,3524p045_ac51,10.663,7.821,10.4,4.8,0.305891,-51.95820308512736,7.877940937964783,3,1.1215537706495322,0.6422348672412244,0.009950334757154568,0.5612170023117603,726.0768517325715,0.34516943823333573,0.0,0.01019108280254777,3108,True,,1.4515873661289667,0.8020365378471042,0.16150021010570856,0.4945831137928801,239.26653953340087,0.03614486807485677,0.0,0.0035031847133757963,3129,True,,True
3190232820489766656,60.53248762856517,-10.911312899256664,E,0599m107_ac51,10.892,8.393,10.3,3.6,0.272309,-42.435655287927325,-30.912409527882566,4,1.272511378653047,0.7928893190388356,0.1182409803127738,0.5088016499880165,435.71822807186095,0.2713924886291006,0.0,0.009923175416133162,3093,True,,0.8558734655613326,0.4739319018725236,0.24536400004415349,0.832778978153868,128.43804849609108,0.029508298152620023,0.0,0.008322663252240717,3098,True,,True
2956570141274256512,78.44380169002655,-25.18652500386801,F,0783m258_ac51,11.728,8.498,5.7,4.5,0.053593,-31.800002056434188,-47.99718944630797,5,1.5807894470546275,1.3318981866713222,0.08925982456265372,0.4886510520737683,321.7474675809803,0.2286249685285606,0.0,0.018471337579617834,3082,True,,1.030997587637689,0.9214705330235675,0.2701352797540443,0.7430412034873776,90.7800075800333,0.02543043805443615,0.0,0.0,3140,True,,True
2644370304260053376,353.88516033694015,-0.0736118099135933,G,3539p000_ac51,11.508,8.273,5.0,3.5,0.369498,-57.37478298555308,2.360856252519389,6,1.3126283674543173,0.6182624965169699,0.17781863918706925,0.3347635326361107,777.1974536961192,0.3184427172746871,0.0,0.05636942675159236,2963,True,,1.2338692378344351,0.8073879590651416,0.22160054931047535,0.48507403455944176,258.38416569423674,0.03255756058525715,0.0,0.0022292993630573248,3133,True,,True
2437221214075471744,354.0111054924228,-9.333442738317965,H,3538m091_ac51,12.165,8.495,2.4,3.3,0.16639,-64.83202861200276,-6.191056637341601,7,1.068503079561999,0.8381063029298735,0.1081740500617895,0.9098730112133341,791.8626154543913,0.35156150985707674,0.0,0.019426751592356687,3079,True,,1.333931065019639,1.0762032586119648,0.2592041154783288,1.0922168108588721,264.520487021092,0.036067242313267876,0.0,0.005414012738853503,3123,True,,True
3854090071297359616,144.9763330266232,7.007740979802217,I,1449p075_ac51,12.316,8.489,2.4,3.3,0.133267,40.39389269637157,-6.583363437604514,8,1.1642239678093835,0.9305211659531945,0.13707945109606107,0.4752699875548624,694.1669093594652,0.35422979525047743,0.0,0.0,3124,True,,1.5388063830479228,1.2454300142864985,0.2933321843377829,0.6916299558297967,230.35185291605305,0.0371372203160184,0.0,0.0,3124,True,,True
651765552072217216,128.06907797291882,14.705154631384232,J,1283p151_ac51,11.94,8.275,2.2,2.8,0.142636,28.84265967920729,-4.014065411074398,9,0.9436024535838621,0.6669678498955689,0.0023879612434287373,0.40368758563570484,834.6071520463138,0.49972975804563646,0.0,0.02038216560509554,3076,True,,1.2367564684142431,0.7455630692335341,0.31705941173809127,0.49192403985660915,266.70622639509423,0.044319884591535255,0.0,0.024522292993630575,3063,True,,True
