family,par,n,n_ingrid,ingrid_all_sky,ingrid_rmse_gate,ingrid_b_gt_30,ingrid_b_gt_50,delta_points_vs_M6,undetected_ingrid,full_space_b_gt_30
modbb,1.0,16800,9000,0.4136666666666667,0.7408888888888889,0.372,0.37333333333333335,-8.650000000000002,0.10744444444444444,0.21339285714285713
modbb,2.0,16800,9000,0.3022222222222222,0.542,0.262,0.26266666666666666,-19.650000000000002,0.12644444444444444,0.15232142857142858
single_bb,0.0,16800,9000,0.49244444444444446,0.9007777777777778,0.43733333333333335,0.42333333333333334,-2.1166666666666667,0.09577777777777778,0.2369642857142857
two_temp,0.3,16800,9000,0.26411111111111113,0.49766666666666665,0.261,0.26,-19.75,0.06877777777777777,0.17464285714285716
two_temp,0.5,16800,9000,0.3224444444444444,0.5901111111111111,0.302,0.30866666666666664,-15.650000000000002,0.07411111111111111,0.19160714285714286
two_temp,0.7,16800,9000,0.4666666666666667,0.8467777777777777,0.44366666666666665,0.44866666666666666,-1.4833333333333365,0.07933333333333334,0.27017857142857143
