source_id,ra,dec,rmse,t_ds,gamma,M_G,snr3,snr4,gvar,ruwe,extra_ok,snr_ok,r_med_geo,w1mpro,w2mpro,w3mpro,w4mpro
3725365748202867456,206.5561071198744,9.500708695223194,0.16679718261679463,588.1355932203389,0.01,10.401734998967388,17.798360655737707,2.05625,1.4286126512548767,1.1169693,True,False,68.29297,10.867,10.686,10.425,9.314
3725048813976179328,206.9327159666188,8.572278557795428,0.18193318104082176,150.84745762711864,0.01,9.060853382849054,8.10223880597015,2.3398706896551724,1.109110316935045,2.0702806,False,False,176.99391,11.582,11.476,11.246,9.048
3894978164251134720,181.755870381532,5.5349720481896805,0.19076065401589082,700.0,0.01,8.27154996643516,27.83846153846154,2.048490566037736,1.2165165680948917,10.285738,False,False,78.037834,9.416,9.397,9.252,8.886
1158991775160521856,220.6553455864293,5.010904440957288,0.046037906117668004,100.0,0.021723928448358305,8.832380247795161,2.9663934426229512,2.0142857142857142,0.7241993210982763,1.0264772,True,False,260.18973,12.66,12.572,12.486,9.399
3719579602621480064,203.1920385936503,8.211351964884887,0.05082204199204812,100.0,0.03460201435087329,11.053228239086334,3.513592233009709,2.314925373134329,0.9041038084520199,1.133826,True,False,109.76522,12.251,12.085,12.0,8.845
3725687797735588608,203.56216139535056,8.994071793638616,0.09265562586889674,100.0,0.05511431323226077,11.898721898685203,2.5131944444444447,2.1205078125,0.980922307080065,1.301988,True,False,111.057686,12.982,12.792,12.406,8.99
3707825926400890368,187.3910467780508,4.800734482315646,0.10181296221154144,100.0,0.01,6.29570575400937,4.63974358974359,2.2665970772442594,0.46330119969387856,1.0285789,True,False,297.00848,11.459,11.533,11.502,8.913
1176005892966610944,218.0349015776551,8.527488559210553,0.12856059240541018,100.0,0.0643653407681979,9.380549763753617,2.4844393592677347,2.9029411764705886,0.7887184456622,1.0040653,True,False,278.15665,12.96,12.886,12.674,8.806
3905759322437805568,181.6454488265657,8.706020504757968,0.1399916955767846,100.0,0.01,8.51203795922379,9.35948275862069,2.674137931034483,3.5512453228755905,10.727541,False,False,154.76894,11.026,10.916,10.836,8.755
3725818678273998336,204.13812421495865,9.413618503801857,0.14156902827013523,120.33898305084746,0.029628775900825636,9.147485631480864,2.8054263565891473,2.276100628930818,0.915902468988405,1.0573114,True,False,287.25558,12.871,12.715,12.432,9.093
3706179270298755328,194.78044260773083,6.479874932378282,0.08175386116240664,140.67796610169492,0.04041001900131407,9.915923044150015,2.548591549295775,2.154166666666667,0.844697524868096,1.0022291,True,False,232.19849,13.296,13.061,12.155,8.898
3895329423855759872,183.3853945054332,6.451388107757173,0.12477448581917795,100.0,0.021723928448358305,12.858495458253731,5.965384615384616,2.3348387096774195,1.1304621220619289,1.0196619,True,False,45.117924,11.743,11.552,11.335,8.849
3709848374960514432,189.7854791384997,6.225219098530292,0.06847542670501397,100.0,0.029628775900825636,8.068406910217023,2.4343049327354263,2.2022312373225152,0.7935609103784467,1.000794,True,False,299.88153,12.457,12.472,12.312,8.823
3721490278952679168,206.11275286852324,7.369347205478379,0.1022675954150718,100.0,0.01,9.725691035546163,10.43942307692308,2.0105555555555554,1.0016912877220898,4.834757,False,False,119.44517,11.506,11.347,10.989,9.376
1161097339927770752,223.15481115439923,6.9331429633936486,0.1255466607988167,120.33898305084746,0.01,8.67384725215081,7.050000000000001,2.0331460674157302,1.1295152386987146,1.783131,False,False,216.62788,11.888,11.803,11.644,9.328
3715347543710826752,205.1901491557866,6.21715153481506,0.0866029848682515,110.16949152542372,0.04719290672293913,10.06868406910818,2.950271739130435,3.468690095846646,0.7618590180106644,1.0682209,False,False,183.96262,12.865,12.7,12.337,8.718
3720179523653398784,209.25513990101493,6.145768806002431,0.09586905877426395,100.0,0.04041001900131407,10.568093785741775,2.4397752808988766,2.276100628930818,0.8806730981417722,1.0367385,True,False,158.40265,12.734,12.594,12.665,9.063
