family,family_par,bband,n,rmse,prev,undet
modbb,1.0,0,2800,0.4307142857142857,0.21,0.1757142857142857
modbb,1.0,1,2800,0.4657142857142857,0.2592857142857143,0.08321428571428571
modbb,1.0,2,2800,0.4564285714285714,0.26285714285714284,0.07571428571428572
modbb,1.0,3,2800,0.4675,0.25607142857142856,0.045
modbb,1.0,4,2800,0.36857142857142855,0.21142857142857144,0.14214285714285715
modbb,1.0,5,2800,0.36464285714285716,0.21535714285714286,0.16464285714285715
modbb,2.0,0,2800,0.3217857142857143,0.15714285714285714,0.23607142857142857
modbb,2.0,1,2800,0.345,0.19,0.13642857142857143
modbb,2.0,2,2800,0.34285714285714286,0.195,0.10178571428571428
modbb,2.0,3,2800,0.3489285714285714,0.19428571428571428,0.07214285714285715
modbb,2.0,4,2800,0.2575,0.15178571428571427,0.15892857142857142
modbb,2.0,5,2800,0.27071428571428574,0.15285714285714286,0.1742857142857143
single_bb,0.0,0,2800,0.49892857142857144,0.24535714285714286,0.12821428571428573
single_bb,0.0,1,2800,0.5321428571428571,0.2817857142857143,0.05928571428571429
single_bb,0.0,2,2800,0.5278571428571428,0.2885714285714286,0.04607142857142857
single_bb,0.0,3,2800,0.5389285714285714,0.30964285714285716,0.027142857142857142
single_bb,0.0,4,2800,0.43535714285714283,0.24464285714285713,0.12714285714285714
single_bb,0.0,5,2800,0.4275,0.2292857142857143,0.145
two_temp,0.3,0,2800,0.34714285714285714,0.15714285714285714,0.09535714285714286
two_temp,0.3,1,2800,0.3407142857142857,0.18678571428571428,0.045714285714285714
two_temp,0.3,2,2800,0.33285714285714285,0.1717857142857143,0.026071428571428572
two_temp,0.3,3,2800,0.33107142857142857,0.18214285714285713,0.020714285714285713
two_temp,0.3,4,2800,0.30714285714285716,0.17857142857142858,0.11392857142857143
two_temp,0.3,5,2800,0.30642857142857144,0.1707142857142857,0.11035714285714286
two_temp,0.5,0,2800,0.3846428571428571,0.19535714285714287,0.09321428571428571
two_temp,0.5,1,2800,0.39357142857142857,0.215,0.037142857142857144
two_temp,0.5,2,2800,0.38285714285714284,0.20357142857142857,0.024642857142857143
two_temp,0.5,3,2800,0.38607142857142857,0.20285714285714285,0.015
two_temp,0.5,4,2800,0.32321428571428573,0.18821428571428572,0.11357142857142857
two_temp,0.5,5,2800,0.3314285714285714,0.195,0.11928571428571429
two_temp,0.7,0,2800,0.5142857142857142,0.24071428571428571,0.09964285714285714
two_temp,0.7,1,2800,0.5421428571428571,0.295,0.047857142857142855
two_temp,0.7,2,2800,0.5439285714285714,0.30214285714285716,0.03142857142857143
two_temp,0.7,3,2800,0.5464285714285714,0.29642857142857143,0.01607142857142857
two_temp,0.7,4,2800,0.4542857142857143,0.26535714285714285,0.12714285714285714
two_temp,0.7,5,2800,0.4682142857142857,0.275,0.11178571428571428
