z,n_5sigma,sum_snr
0.05,3,50.200259170229586
0.052000000000000005,3,44.92311001436454
0.054000000000000006,1,31.05576883858574
0.05600000000000001,1,31.481406555150805
0.05800000000000001,1,34.51435464064802
0.06000000000000001,1,70.36614119738418
0.06200000000000001,1,81.92063802431723
0.06400000000000002,1,65.96925410039961
0.06600000000000002,1,29.817606656592655
0.06800000000000002,1,26.412725680770233
0.07000000000000002,1,19.54023056546244
0.07200000000000002,1,12.241702406885997
0.07400000000000002,1,12.767508748329352
0.07600000000000003,1,12.664898414364739
0.07800000000000003,1,9.50430293390391
0.08000000000000003,2,20.700836537619445
0.08200000000000003,2,22.93376188043104
0.08400000000000003,2,22.44143053500426
0.08600000000000003,2,12.904514028852923
0.08800000000000004,1,6.45578832854174
0.09000000000000004,2,13.6141942819564
0.09200000000000004,3,25.57080629413906
0.09400000000000004,3,47.59635630625457
0.09600000000000004,3,60.50911832848536
0.09800000000000005,3,62.137459336308815
0.10000000000000005,3,62.94267311846613
0.10200000000000005,3,64.6492406668051
0.10400000000000005,3,62.03971130442177
0.10600000000000005,3,60.53022229016105
0.10800000000000005,3,59.909407853215924
0.11000000000000006,3,55.6430467638024
0.11200000000000006,4,70.79941238566155
0.11400000000000006,4,105.90901426536725
0.11600000000000006,4,115.56007437890646
0.11800000000000006,4,112.95625853814575
0.12000000000000006,4,97.96108820961894
0.12200000000000007,4,116.00039576797778
0.12400000000000007,4,121.66284516731716
0.12600000000000006,4,134.7101851782724
0.12800000000000006,4,162.5864381698787
0.13000000000000006,4,177.65429789432736
0.13200000000000006,4,191.5743042679637
0.13400000000000006,4,201.8906982348577
0.13600000000000007,4,206.8142274939384
0.13800000000000007,4,215.8956665336505
0.14000000000000007,4,238.57266626410828
0.14200000000000007,4,213.6124082500191
0.14400000000000007,4,187.69661907588267
0.14600000000000007,3,149.31245827611264
0.14800000000000008,3,136.90107819471524
0.15000000000000008,3,137.77630357087392
0.15200000000000008,3,132.41045992901812
0.15400000000000008,3,128.44542511326327
0.15600000000000008,2,120.04559192989136
0.15800000000000008,2,105.88619307267241
0.1600000000000001,2,85.8721726379608
0.1620000000000001,2,82.46910510415505
0.1640000000000001,2,79.05716762748645
0.1660000000000001,2,67.45369021501234
0.1680000000000001,1,49.311314606348084
0.1700000000000001,1,47.912322995213614
0.1720000000000001,2,53.20885525195528
0.1740000000000001,2,77.20155174908267
0.1760000000000001,2,87.2602977371447
0.1780000000000001,2,91.81582065647916
0.1800000000000001,2,90.42622960201354
0.1820000000000001,3,85.30286305281597
0.1840000000000001,3,70.79139133180811
0.1860000000000001,3,59.84095370646741
0.1880000000000001,3,60.14383227868818
0.1900000000000001,3,66.0449594857485
0.19200000000000012,3,69.24631196537516
0.19400000000000012,3,71.87387039877893
0.19600000000000012,3,80.25317177605604
0.19800000000000012,3,79.54570888581185
0.20000000000000012,3,77.90300563611902
0.20200000000000012,3,72.09352802649511
