file,band,cal_ver,crds_ctx,lam_min,lam_max,scale_as,sep_pix,dx_pix,dy_pix,psf_k,psf_beta,psf_fwhm_as,nz
jw07199-o002_t003_miri_ch1-long_s3d.fits,1-long,2.0.1,jwst_1535.pmap,6.530400209798245,7.649600181524875,0.12999999523162822,9.484615102807261,-0.22164803166210945,0.6820239760084412,,star-scaled,0.3399700064568315,1400
jw07199-o002_t003_miri_ch1-medium_s3d.fits,1-medium,2.0.1,jwst_1535.pmap,5.6603998474020045,6.629999822907848,0.12999999523162822,9.484615102690476,-0.16932529860715562,0.41312125401563904,,star-scaled,0.30879159456011257,1213
jw07199-o002_t003_miri_ch1-short_s3d.fits,1-short,2.0.1,jwst_1535.pmap,4.900400095357327,5.739600074157352,0.12999999523162822,9.484615102685526,-0.14749485730956025,0.7460300331840664,,star-scaled,0.2815600027969922,1050
jw07199-o002_t003_miri_ch2-long_s3d.fits,2-long,2.0.1,jwst_1535.pmap,10.010650228883605,11.699350233480798,0.17000000178813898,7.252940618586139,-0.0534351048309496,-0.1512525804040017,,star-scaled,0.4642150076290127,1300
jw07199-o002_t003_miri_ch2-medium_s3d.fits,2-medium,2.0.1,jwst_1535.pmap,8.670650076295715,10.13055008027004,0.17000000178813898,7.252940618290237,-0.038375071506052905,-0.21334509630176512,,star-scaled,0.41621980258333496,1124
jw07199-o002_t003_miri_ch2-short_s3d.fits,2-short,2.0.1,jwst_1535.pmap,7.5106502288836055,8.770350232312921,0.17000000178813898,7.252940618605437,-0.03114281561604315,-0.12451367377557787,,star-scaled,0.37463650760974265,970
jw07199-o002_t003_miri_ch3-long_s3d.fits,3-long,2.0.1,jwst_1535.pmap,15.41124984738417,17.978749789996073,0.2000000029802321,6.164999498478761,-0.0791017569628778,-0.18703809538673255,,star-scaled,0.656934994016774,1028
jw07199-o002_t003_miri_ch3-medium_s3d.fits,3-medium,2.0.1,jwst_1535.pmap,13.341250152559951,15.568750102771446,0.2000000029802321,6.164999498443517,-0.0655824926975761,-0.17073368979776404,,star-scaled,0.583015004212968,892
jw07199-o002_t003_miri_ch3-short_s3d.fits,3-short,2.0.1,jwst_1535.pmap,11.551250190706924,13.47125014779158,0.2000000029802321,6.16499949875757,-0.021610365578265345,-0.25159218571737085,,star-scaled,0.5188712555852253,769
jw07199-o002_t003_miri_ch4-long_s3d.fits,4-long,2.0.1,jwst_1535.pmap,24.40299961855635,28.69899965589866,0.34999999403953536,3.522856969127398,-0.4825089679955923,0.1911202079024772,,star-scaled,0.9821829880285077,717
jw07199-o002_t003_miri_ch4-medium_s3d.fits,4-medium,2.0.1,jwst_1535.pmap,20.693000534083694,24.47900056699291,0.34999999403953536,3.5228569689479436,0.08173488467723189,-0.0322779285751551,,star-scaled,0.8513380181677639,632
jw07199-o002_t003_miri_ch4-short_s3d.fits,4-short,2.0.1,jwst_1535.pmap,17.70300076296553,20.94900079118088,0.34999999403953536,3.522856968717192,-0.00658194224618569,-0.10956312418665348,,star-scaled,0.7437580256434158,542
