t_ds_true,n,rmse,prev,undet
100.0,9600,0.5683333333333334,0.3070833333333333,0.08020833333333334
150.0,9600,0.5608333333333333,0.32416666666666666,0.10739583333333333
200.0,9600,0.5402083333333333,0.31114583333333334,0.1059375
300.0,9600,0.58125,0.32614583333333336,0.0734375
450.0,9600,0.6110416666666667,0.32947916666666666,0.065
700.0,9600,0.5932291666666667,0.3071875,0.075625
1000.0,9600,0.0128125,0.0016666666666666668,0.104375
