bound,class3_nonbm_before,moved_out,moved_out_lowlat,moved_in,moved_in_lowlat,class3_after_(nonbm)
lower(best<=1.25kpc),168,8,5,6,4,166
upper(SFD far),168,20,17,5,3,153
