name,source_id,variant,parallax_mas,zp_uas,a0_mas,period_d,m1_msun,mass_function_msun,m2_msun
Gaia BH3,4318465066420528000,raw,1.65979745,-35.406,27.11004173,4183.679384,0.76,33.21278873902767,34.68425011785338
Gaia BH3,4318465066420528000,L21,1.69520345,-35.406,27.11004173,4183.679384,0.76,31.1749050516197,32.64342355151612
HD 114762,3937211745905473024,raw,25.3094155,-36.963,1.85118559,83.837596,1.074712,0.007427159605001071,0.23336138384555424
HD 114762,3937211745905473024,L21,25.3463785,-36.963,1.85118559,83.837596,1.074712,0.00739471355629571,0.2329752043716897
Gaia-4,1457486023639239296,raw,13.6234937,-22.695,0.25509213,578.959816,0.639188,2.6129175468598874e-06,0.01033005708084943
Gaia-4,1457486023639239296,L21,13.6461887,-22.695,0.25509213,578.959816,0.639188,2.5999025730465375e-06,0.010312693346377284
