source_id,nss_solution_type,route,ext_ref,sep_arcsec,period,a0_mas,inc_deg,nss_parallax,significance,phot_g_mean_mag,ext_a0_mas,ext_a0_err_mas,a0_err_mas,ratio,z
321863582147946880,Orbital,ORB6-g9,Ren2013,1.0187015845317804,704.7054431527677,8.037110862760736,160.52706049461813,14.79464871300542,159.8847,8.7069435,7.0,1.5,0.4831558558157168,1.1481586946801052,0.6581098391254631
570170313139732352,Orbital,ORB6-g9,Ren2013,1.8682085826171222,697.8712475134398,3.0844341396125463,71.36570581506462,10.602097173739004,51.08482,5.24088,1.7,0.2,0.32148692369319976,1.8143730233014979,3.656517292868485
1055207910542160512,AstroSpectroSB1,ORB6-g9,Gln2007,1.4251588642721083,739.8641332369925,6.8520135039423264,30.008805718940085,10.45436164484942,228.6728,7.8735003,8.1,5.6,0.04944405044462616,0.8459275930792995,-0.22284604546537284
1070770191963666816,Orbital,ORB6-g9,Ren2013,0.8037405514853962,633.6411978956428,3.305881743078282,128.0634348734716,6.922164764970658,103.4382,7.465588,2.9,0.4,0.12546813721532413,1.1399592217511316,0.9681918474265219
1214075521005940224,Orbital,ORB6-g9,Trr2011,0.4247521515837445,504.9970050403679,3.4042100214006186,46.242441341356894,9.011274924064674,43.253094,5.4239793,4.14,0.52,0.17438709260467175,0.822272952029135,-1.3415507741976842
1312345747129055744,OrbitalTargetedSearch,HIP-DMSA/O,HIP1997d(DMSA/O),1.290526367525596,938.5059754356802,10.314753621347098,78.03587998285066,17.55523236747217,46.76058,6.937599,13.6,0.94,0.267761790712022,0.758437766275522,-3.3612350222440166
1348238101626698368,OrbitalTargetedSearchValidated,HIP-DMSA/O,HIP1997d(DMSA/O),1.6429325095406007,1253.725399276905,9.151544053835128,44.47050762714557,11.062171855035984,77.77973,8.134892,10.02,1.26,0.08192890614508368,0.9133277498837453,-0.6877982848598888
1386158505321789696,Orbital,HIP-DMSA/O,HIP1997d(DMSA/O),1.1137816690630797,554.4002182924055,8.255940347875393,22.29739250790082,14.767067132440946,43.735935,4.1901174,9.09,0.65,0.2269716140692307,0.9082442626925625,-1.2114362360049042
1408413342222248192,Orbital,ORB6-g9,Ren2013,1.9032060474902324,785.1341527445867,8.607588870408742,55.223764060698095,9.794723274105168,179.1833,5.7964544,3.2,0.3,0.13307028602158305,2.689871522002732,16.477081409586877
1416249870831275392,AstroSpectroSB1,ORB6-g9,SaJ2013b,1.3534028830500995,205.95061448342835,5.155457390780082,67.1318688936488,25.285701540857698,111.89717,7.6680355,5.3,0.02,0.04436047076761191,0.9727278095811476,-2.9704255467312404
1444169597796090368,AstroSpectroSB1,ORB6-g9,Ren2013,0.8032370470606802,699.9650092224754,2.925809212834916,74.7720057186216,3.3602306689673123,119.98338,7.2582507,3.2,0.9,0.02730653062156142,0.9143153790109112,-0.30451630097509896
1470909205188365184,Orbital,ORB6-g9,Ren2013,0.3286203623283894,149.02181729015314,1.633819524514181,109.45966486212065,6.093569179538307,109.6896,5.7688904,1.5,0.2,0.2505387895429543,1.0892130163427873,0.41743318313077216
