source_id,element,gaia,gaia_err,ref,ref_err,z,rel_diff,nss_solution_type,phot_g_mean_mag,significance
770810466284247936,period_d,60.58366097448658,0.012377538,60.5804,0.0003,0.26338170578806563,5.382887017219218e-05,AstroSpectroSB1,7.197783,65.4925
1215279005201870336,period_d,150.45538293519328,0.3279033,151.0054,0.0009,-1.6773694959996577,-0.003642366861097179,OrbitalTargetedSearchValidated,7.731624,38.43403
1416249870831275392,period_d,205.95061448342835,0.15006654,206.088,0.018,-0.9089818140712747,-0.0006666352071524817,AstroSpectroSB1,7.6680355,111.89717
69883417170175488,period_d,481.6036091228118,4.078606,479.7,0.3,0.46547286103759145,0.003968332547033178,AstroSpectroSB1,10.628875,33.526585
661200083396357248,period_d,855.848285523241,8.772788,896.9,1.4,-4.620966107103759,-0.04577067061741443,AstroSpectroSB1,10.449558,91.76149
661000693831238528,period_d,462.56011682434223,1.361176,457.8,1.4,2.437786081290061,0.0103978087032377,Orbital,9.336361,85.49135
1204817598741858944,period_d,174.89087944736843,0.17134766,174.744,0.02,0.851421114656798,0.0008405407188140025,AstroSpectroSB1,8.891229,56.668507
1267970076306377344,period_d,200.56968246698,0.07287301,200.23,0.18,1.749210703570177,0.0016964614042851134,AstroSpectroSB1,7.1577315,200.37161
2073826131417096064,period_d,517.0580939873487,0.26209778,516.4,0.29,1.6835770676297837,0.0012743880467635687,AstroSpectroSB1,7.5808997,354.83316
1831860352703149568,period_d,804.411772899437,2.141594,798.6,2.0,1.983364102711873,0.007277451664709441,Orbital,8.112418,520.70526
5076269164798852864,period_d,546.4066945629569,0.62247723,553.89,1.37,-4.973006394745985,-0.013510454128153786,OrbitalTargetedSearch,7.5274553,219.82307
1074883087005896320,period_d,629.2794216397903,1.2583649,632.56,0.57,-2.3747491166730508,-0.005186193183586835,AstroSpectroSB1,8.398538,196.16982
2198442167969655296,period_d,655.8606679411238,1.9781519,650.19,0.26,2.842204443430133,0.008721555147147333,Orbital,9.634868,131.45398
316416154867209088,period_d,581.5769565403136,2.0098789,581.17,1.21,0.17346830524462198,0.0007002366610693465,Orbital,9.056167,102.8853
827608625636174720,period_d,145.57947447004324,0.5548363,146.309,0.02,-1.3139948348009367,-0.004986197226122521,Orbital,10.686315,32.92883
1517927895803742080,period_d,297.8813160256167,0.46351594,299.22,0.17,-2.7114924599022223,-0.004473912086034835,AstroSpectroSB1,9.948187,87.823685
1369511693120046976,period_d,268.51300390673754,0.28783584,267.06,0.31,3.434800937878614,0.005440739559415621,AstroSpectroSB1,10.40807,169.76323
