source_id,ra,dec,l,b,nss_solution_type,period,eccentricity,a0_mas,nss_parallax,significance,goodness_of_fit,sigma_ti2,phot_g_mean_mag,bp_rp,ruwe,m1_used,m1_source,amrf,a_tr_margin,q_min_dark,m2_min_dark,p_class3_mc,flag_alias_1yr,flag_low_lat,flag_sig_gt20
4373465352415301632,262.17120727595824,-0.5810919626714084,22.62564229371034,18.045811698322694,Orbital,185.7656578920495,0.4889358929845203,2.9775164745936613,2.0954515888832432,13.56551,0.31277087,1.4791197140084686,13.771998,1.1747837,7.6376343,0.9545392,binary_masses,2.2649666670407926,3.375783426867457,13.416158521492564,12.806249222178696,1.0,False,False,False
5870569352746779008,207.56971494177265,-59.23900523844159,310.4031040338608,2.7765401740632587,AstroSpectroSB1,1352.2889370485916,0.5323278531135168,3.8799628114055875,0.8591918579064037,39.845856,3.0688643,0.0059424819374723084,12.276908,1.4931593,9.220705,,evolved_bracket,1.4976416103375223,2.4388168300949755,4.877643587283453,9.755287174566906,1.0,False,True,True
3509370326763016704,195.32096975867373,-18.869145009930858,306.1673961290476,43.94074215066995,Orbital,109.3921278129309,0.2374332844402613,4.933505655518365,7.98246076112326,76.104866,5.2178035,0.022656161001146594,12.469695,1.3584757,10.212758,0.6761712,binary_masses,1.573026544869502,2.6800847867740636,5.451322814088789,3.686027488789793,1.0,False,False,True
2018177545831527808,293.8907519287342,20.85996673133817,56.41291174112087,0.185451575959544,Orbital,1032.060864346956,0.5905531282893308,0.7563802600578075,0.3457882206820659,11.780679,-0.08984448,0.6821575517960722,13.380405,2.5212088,2.2433593,,evolved_bracket,0.8686468900625691,1.4145377907981707,1.6730879273552008,3.3461758547104017,0.992,False,True,False
2004175948136111360,332.2116021973622,51.86300430696166,99.16856966205788,-3.345321535341161,Orbital,884.1157278877239,0.4941184663952604,0.5576329166243635,0.3531386617190724,23.427845,1.9886895,0.15071115920660155,12.475311,0.57731533,2.4419584,3.0939777349800224,photometric_ms,0.6011065760189269,1.0965170628302094,0.9326550402175835,2.8856139288501006,0.986,False,True,True
5238699738399933952,165.33932835605606,-65.92881661359222,292.0195930203585,-5.41705610306069,Orbital,1009.2121214582212,0.3601605762681789,0.645807876411634,0.3309493817557529,15.58286,0.6782964,0.6513879110091965,13.400347,1.5662451,2.3454928,,evolved_bracket,0.7865692106585108,1.2808793610883789,1.4163834533839912,2.8327669067679824,0.889,False,True,False
2025967959366721664,291.6036042233724,28.031505170262538,61.72291108167144,5.443656279811152,AstroSpectroSB1,708.5152739389313,0.6889261822146732,0.5825312884483513,0.3788996943148122,11.893259,2.9204996,0.050723819371063676,12.559693,1.607811,2.4854414,,evolved_bracket,0.7845350332871444,1.2775668289215083,1.4103793487068743,2.8207586974137486,1.0,False,True,False
3263804373319076480,53.73070650942736,0.1528461212259674,184.98307131681705,-42.20415620956834,AstroSpectroSB1,510.728110443052,0.2781351900811997,3.091757158828615,2.1598569865850075,18.064516,5.562303,4.347451050054433,12.66688,0.9365864,9.353985,0.97464746,binary_masses,1.1545998658745917,1.705611408443494,2.8228739800571203,2.751306954562763,0.999,False,False,False
3315062231016941056,89.13283807539285,1.5847869348145804,205.14622675921723,-11.44888255798493,AstroSpectroSB1,536.3306838111716,0.1262469430580415,1.0328538012680626,0.8251271835977353,66.57128,0.5544581,3.82970783847689,10.568647,2.105569,4.4722037,,evolved_bracket,0.7690354250282843,1.2523266745209718,1.3651760509309863,2.7303521018619725,1.0,False,False,True
5616598899870232704,111.74149670650075,-25.270870339557742,239.33631211880893,-4.036664615558959,AstroSpectroSB1,544.894253327131,0.1919807054295369,0.8922693862987658,0.7081582190520701,80.716675,5.3161902,0.06437502572138094,9.655263,2.1278534,3.0946941,,evolved_bracket,0.7659628245561733,1.2473231344938933,1.3563286446578182,2.7126572893156364,1.0,False,True,True
