source_id,s23_label,m1_used,m1_source,amrf,margin_at_1p25,p_class3_mc,cuts_core,cuts_eb26,significance,goodness_of_fit
2995961897685517312,NS,0.93894,binary_masses,0.759634095442447,1.13632792553999,0.997,True,True,39.850807,0.40979177
2032579979951732736,NS,0.8973595,binary_masses,0.780529858816846,1.1747600970119243,0.899,True,True,63.062378,-1.0385154
2196619383835483648,NS,0.8540381,binary_masses,0.8033148976453361,1.226757740651874,1.0,True,True,28.291021,1.5289896
3389767036738482432,NS,0.8620082,binary_masses,0.7782150193093674,1.1886211339043096,0.875,True,True,55.49234,1.0995514
3184078579032750464,NS,1.0174433,binary_masses,0.6999628977455986,1.0171233130255264,0.662,True,True,87.36731,-2.2129352e-05
1525829295599805184,NS,0.37753996,binary_masses,1.2220313151233675,2.8246687134581405,1.0,True,True,61.311047,2.2497277
5331513195692864768,NS,0.75055444,binary_masses,0.842708148393577,1.3444464800596674,1.0,True,True,71.95023,-0.218248
4466767229088016256,NS,1.0044534,binary_masses,0.7021216664327059,1.0217032668424253,0.751,True,True,116.07076,-2.4132547
5039979680444075392,NS,0.95088595,binary_masses,0.72529040702296,1.0819602573328346,0.897,True,True,83.796745,3.1984422
2469926638416055168,NS,0.51658654,binary_masses,1.0294208349966425,2.232277912517257,1.0,True,True,18.151522,-1.4209824
1683575679079854848,NS,0.9478687,binary_masses,0.7215002500704969,1.0770985175061432,0.953,True,True,49.559277,0.13199575
5362481146844816640,NS,0.6546242,binary_masses,0.9010027087264264,1.5965481123987917,0.995,True,True,11.52012,-0.21612217
2919995917769953408,NS,0.6910841,binary_masses,0.8711563890722747,1.4419841014611758,1.0,True,True,23.193085,-0.26676852
5355633933885075328,NS,0.96925,binary_masses,0.7000797352027434,1.0370612368517496,0.931,True,True,76.76796,0.0008257249
1579254496872812032,NS,0.86742926,binary_masses,0.7439817911750355,1.1363042361418405,0.995,True,True,64.75066,-0.3984322
5283631903842076032,NS,0.80562514,binary_masses,0.7748010213057306,1.202495590297071,1.0,True,False,31.287157,11.298916
5333771489506466432,NS,0.8062682,binary_masses,0.7732232597199712,1.1991808918761684,0.986,True,True,42.93077,-0.717166
220012968211559296,NS,0.70615745,binary_masses,0.8152620586790278,1.3204057728517715,1.0,True,True,25.26768,0.09140298
4618063808640529920,NS,0.5897523,binary_masses,0.9010936023315164,1.7828131057994858,1.0,True,True,42.44588,0.067938596
5327240562221030528,NS,0.8690402,binary_masses,0.7089115647543687,1.0827319620051872,0.754,True,True,71.90108,-0.42077744
2574867704662509568,NS,0.6889682,binary_masses,0.8050536149946802,1.338258053027867,1.0,True,False,45.86265,6.9309435
1820819950320873472,NS,0.47108826,binary_masses,0.9853179282631024,2.138677860367208,1.0,True,True,46.415028,2.8784091
4526711950202650240,NS,0.62296283,binary_masses,0.8231804366292292,1.5450076335450906,1.0,True,True,19.356531,1.329837
1449731030688880512,NS,0.740307,binary_masses,0.7400300397155147,1.1818190258799657,0.995,True,True,74.29005,-0.9344057
4847718871053268480,NS,0.70569444,binary_masses,0.7573378387198171,1.2269603398270197,1.0,True,True,49.65079,-0.036021758
1109902566711892352,NS,0.621545,binary_masses,0.8104751341418517,1.5242947083495606,1.0,True,True,34.532642,2.2002637
988173469736683136,NS,0.5531613,binary_masses,0.8678286424576805,1.801425836143997,1.0,True,True,22.012861,-0.13420661
41408333753757056,NS,0.57558614,binary_masses,0.835454073388995,1.681912399379658,1.0,True,True,36.238445,-0.9480831
347695336533949440,NS,0.4016912,binary_masses,1.009363855318293,2.2786275213474254,1.0,True,True,11.242594,3.7975247
3353857674171392896,NS,0.45474365,binary_masses,0.9219524096318562,2.015127547935928,1.0,True,True,20.587116,-0.08255113
3619399009406031360,WD,0.63315636,binary_masses,0.752283485488413,1.391379845150571,0.901,True,True,124.078545,0.3437511
6148133675775194496,WD,0.60962707,binary_masses,0.7564351800906093,1.452164186086608,0.999,True,True,91.472916,2.185341
6345215740573418240,WD,0.51063895,binary_masses,0.8160751805808324,1.7755771742359923,0.998,True,True,319.69852,-1.1641953
