refit_status,refit_method,refit_code_version,refit_n_ccd,refit_rms_single_mas,refit_peak_period_d,refit_peak_fap,refit_period_d,refit_period_err_d,refit_ecc,refit_ecc_err,refit_a0_mas,refit_a0_err_mas,refit_inc_deg,refit_omega_deg,refit_bigomega_deg,refit_tp_d,refit_parallax_mas,refit_parallax_err_mas,refit_pmra_masyr,refit_pmdec_masyr,refit_mass_function_msun,refit_m1_msun,refit_m1_sigma_msun,refit_m1_source,refit_m2_msun,refit_m2_p05,refit_m2_p16,refit_m2_p50,refit_m2_p84,refit_m2_p95,refit_m2_posterior_n,refit_posterior_method,refit_seconds,refit_notes,source_id,_name,_dr3_source_id,_dr3_sep_arcsec,_nss_solution_type,_nss_period_d,_nss_ecc,_nss_a0_mas,_nss_parallax_mas,_nss_significance,_nss_n_solutions
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",824,0.154212,568.39628,2.7659409714486953e-151,578.959816,2.99373,0.41481455,0.06175359,0.25509213,0.00880142,120.926513,213.545412,174.455835,51.26648,13.6234937,0.00647449,-75.532276,17.965618,2.61e-06,0.639188,0.118279,binary_masses,0.01033,0.008081,0.008976,0.010323,0.011589,0.0124,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,2.2,mass function 68% CI 0.0000-0.0000 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0000 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped,1457486023639239296,Gaia-4,1457486023639239296,0.1166090138772363,Orbital,564.0242807973492,0.5075808455347155,0.3128468035961588,13.643127383774535,7.9076214,1.0
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,1.262614,83.92591,3.2898421220691016e-260,83.837596,0.012901,0.30532918,0.0098031,1.85118559,0.01722364,8.609223,203.884355,155.09099,8.924381,25.3094155,0.01141111,-582.468285,-0.551818,0.00742716,1.074712,0.092529,binary_masses,0.233361,0.212022,0.220502,0.233347,0.245645,0.253903,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,1.373,mass function 68% CI 0.0072-0.0076 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0074 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped,3937211745905473024,HD 114762,3937211745905473024,0.8733302913385405,OrbitalTargetedSearchValidated,83.73818467439406,0.323893426184342,1.7971357360189488,25.357020975883085,26.510674,1.0
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,6.605128,1667.222463,0.0,4183.679384,72.221447,0.72781609,0.00353983,27.11004173,0.3675281,110.545595,78.219406,136.360346,241.867519,1.65979745,0.00652344,-28.343481,-155.170423,33.21278854,0.76,0.05,literature:esa_gaia-bhthree_notebook_m1_0.76,34.68425,33.897672,34.204332,34.683665,35.168537,35.482914,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,1.472,mass function 68% CI 32.7451-33.6875 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 33.2115 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped,4318465066420528000,Gaia BH3,4318465066420528000,0.225167711918379,,,,,,,
