source_id,nss_solution_type,l,b,nss_parallax,phot_g_mean_mag,bp_rp,m1_used,m1_source,class_det,a_tr_margin,m2_min_dark,flag_low_lat,cuts_eb26,d_pc,dust_tier,E_zgr23_eden,ebv_sfd_raw,a_g_lower,a_g_upper,a_v_mag,m1_dust,m1_source_dust,class_det_dust,margin_dust,m1_dust_upper,m1_source_dust_upper,class_det_dust_upper,margin_dust_upper,sfd_lowb_unreliable
392285133177728,Orbital,174.6998638590274,-48.49063224402065,2.3854330418977696,11.750294,0.8447027,1.2186371350095728,photometric_ms,1,0.4884077347416678,0.5055846648092646,False,True,419.2110960299409,edenhofer,0.08589096474507192,0.08402001051233987,0.19524607306472336,0.19524607306472336,0.23869768700548635,1.2806417561241232,photometric_ms,1,0.48815006966515995,1.2806417561241232,photometric_ms,1,0.48815006966515995,False
454514914751488,AstroSpectroSB1,175.0421144418752,-47.84363272875727,7.117668226443254,7.433595,1.3269763,,evolved_bracket,1,0.32414740609293563,0.4566019860209338,False,True,140.49544994031095,edenhofer,0.007798631875286721,0.09230359943397293,0.01772773484901944,0.01772773484901944,0.0216730059554373,,evolved_bracket,1,0.32414740609293563,,evolved_bracket,1,0.32414740609293563,False
2050215524338944,Orbital,172.44288335287936,-46.95422248882964,2.2426941181090347,11.540164,0.9334717,1.3206781095985043,photometric_ms,2,0.8499124386907704,1.1096793589147878,False,True,445.8922828241806,edenhofer,0.10643856612095565,0.11680685276904275,0.24195457717162114,0.24195457717162114,0.2958010731007695,1.4058356449444396,photometric_ms,2,0.850301193304995,1.4058356449444396,photometric_ms,2,0.850301193304995,False
4217146784087552,Orbital,174.02750433890353,-41.82176253415309,2.4594726672588694,16.050014,1.9379396,0.62791157,binary_masses,3,1.2131132658349495,0.6598081613255395,False,True,406.59122311553057,edenhofer,0.2676950708572375,0.2677667966102289,0.6085204831356528,0.6085204831356528,0.7439454711685327,0.62791157,binary_masses,3,1.2131132658349495,0.62791157,binary_masses,3,1.2131132658349495,False
5478561499096320,AstroSpectroSB1,169.30130200588272,-46.655705348970216,0.8318070458512091,11.345916,1.2879076,,evolved_bracket,1,0.47593084015615783,0.7169796274507293,False,True,1202.2018868290238,edenhofer,0.09705837988220459,0.10320721036789621,0.22063167629179392,0.22063167629179392,0.26973280427277224,,evolved_bracket,1,0.47593084015615783,,evolved_bracket,1,0.47593084015615783,False
7902155709123328,Orbital,169.07633277861925,-45.28888302580029,1.0189589814088391,12.58123,0.94613075,,evolved_bracket,2,0.6190224699643188,0.9951567630199998,False,True,981.3937736898635,edenhofer,0.22163264736025096,0.2124235236691297,0.5038120620540644,0.5038120620540644,0.6159344052871393,1.8268519680514155,photometric_ms,2,0.6580827337780224,1.8268519680514155,photometric_ms,2,0.6580827337780224,False
8136974456718720,AstroSpectroSB1,169.13406601797664,-43.83887023067519,1.0972937835138816,10.64225,1.4333496,,evolved_bracket,1,0.2620977260804625,0.35939227232071214,False,True,911.3329675464704,edenhofer,0.2438118278415415,0.24788621380132594,0.5542294476966467,0.5542294476966467,0.6775720769127224,,evolved_bracket,1,0.2620977260804625,,evolved_bracket,1,0.2620977260804625,False
8884814162243584,Orbital,168.41707375152086,-42.67551134373677,3.0501105932066794,10.899171,0.86436176,1.3133971123987354,photometric_ms,1,0.5219700178525847,0.5759020770609597,False,True,327.85696434327247,edenhofer,0.1496588968173428,0.27735868418244786,0.34020239485622206,0.34020239485622206,0.4159137415224123,1.4418789076055873,photometric_ms,1,0.5236610781278351,1.4418789076055873,photometric_ms,1,0.5236610781278351,False
11780446753665280,AstroSpectroSB1,175.76765251860436,-36.73974260770168,5.079126727600577,8.443437,1.2060428,,evolved_bracket,1,0.23288786603583944,0.31535306640981486,False,True,196.88423889206808,edenhofer,0.09933936557378313,0.3822488959275007,0.2258167792920846,0.2258167792920846,0.2760718413331709,,evolved_bracket,1,0.23288786603583944,,evolved_bracket,1,0.23288786603583944,False
15267994557615232,AstroSpectroSB1,170.15790160967023,-39.187333905479335,3.8926698953679697,10.94188,1.0418024,,evolved_bracket,2,0.7359018311124131,1.2489844002618937,False,True,256.8930905726007,edenhofer,0.29342550215969576,0.4813944984414638,0.667010519718399,0.667010519718399,0.8154523456783193,1.3404379609367885,photometric_ms,2,0.7875304572154919,1.3404379609367885,photometric_ms,2,0.7875304572154919,False
17363075309037824,AstroSpectroSB1,169.63181938242633,-36.40834578965218,5.037548271735003,10.513936,0.9685564,1.1492472544745032,photometric_ms,2,0.5863771562865325,0.5999883334121706,False,True,198.50926404236438,edenhofer,0.32886959092628376,0.6418874851880945,0.7475814990475238,0.7475814990475238,0.9139542315485338,1.3252093212843297,photometric_ms,2,0.5720511613948771,1.3252093212843297,photometric_ms,2,0.5720511613948771,False
