source_id,element,gaia,gaia_err,ref,ref_err,z,nss_solution_type,phot_g_mean_mag,significance
4650689681594278272,t_periastron,-67.99537596302824,16.927006,0.2608947409614757,53.279457,-1.2209615172608677,OrbitalTargetedSearchValidated,7.4611964,147.30786
4748772376561143424,t_periastron,92.00926671777364,2.6220531,89.83330477018103,15.116775,0.1418258521915208,OrbitalTargetedSearchValidated,9.462979,12.465732
4774328222246003840,t_periastron,49.71937219612487,27.355436,58.77892997703508,10.792783,-0.3080691025485525,OrbitalTargetedSearchValidated,6.38518,39.435493
4800235533695856256,t_periastron,155.37063222873968,14.149092,164.2764584262805,32.004536,-0.25450545957650317,OrbitalTargetedSearchValidated,10.251179,56.0083
4810832695483445760,t_periastron,-12.667040686303826,0.47726443,-15.395273256692349,10.10948,0.26956850152236406,OrbitalTargetedSearchValidated,7.326995,66.25578
4823703990915066880,t_periastron,14.992512328369692,5.0857844,38.34302758629667,26.497839,-0.8654272729381283,OrbitalTargetedSearchValidated,7.39755,17.947119
4826430745392206080,t_periastron,-72.63555544141973,3.6600676,-48.82795430606711,28.069246,-0.84105393685237,OrbitalTargetedSearch,9.219942,63.02847
4829273360906556672,t_periastron,-121.94105122979104,2.7539332,-122.82817204423104,20.991383,0.04190212376172127,OrbitalTargetedSearchValidated,9.248538,14.623433
4830490966955576960,t_periastron,-336.2500321543252,3.5593686,-336.3638906245504,4.9792056,0.018602538947296222,OrbitalTargetedSearchValidated,10.027474,80.84463
4832672020067562624,t_periastron,-96.52819496428933,1.3322527,-94.43267422368804,3.9820032,-0.4990573452683176,OrbitalTargetedSearchValidated,7.4915805,153.45572
4949308041743808384,t_periastron,-165.45778266314164,2.377248,-164.65615865026757,5.144633,-0.14144666333064485,OrbitalTargetedSearchValidated,7.636384,206.56854
4950186203640554880,t_periastron,-113.7338932613508,3.3545465,-111.08316933312244,6.174406,-0.37722924251725093,OrbitalTargetedSearchValidated,9.697532,313.92096
4963661822446609792,t_periastron,43.54075704063569,0.27892625,44.40554266198069,1.1226743,-0.7475639725687195,OrbitalTargetedSearchValidated,8.350293,89.46627
4972788662311608960,t_periastron,7.0702644265820735,0.11442241,6.554595316357748,0.84375256,0.6056181160011795,OrbitalTargetedSearchValidated,6.671975,229.30704
4994200964065634432,t_periastron,-18.63316083783414,0.27842334,-18.995942053682334,0.6047731,0.5448922027785046,OrbitalTargetedSearchValidated,7.2669106,98.807236
5013703860801457280,t_periastron,-36.44934651822345,4.64703,-46.50637601059066,15.148712,0.6346950034665554,OrbitalTargetedSearchValidated,11.368364,28.764517
5041087953805187584,t_periastron,-244.8106424432713,1.553769,-246.76775182390497,1.919061,0.7926057931666038,OrbitalTargetedSearchValidated,9.182839,68.53397
5045853099761604096,t_periastron,-15.10276390268558,1.5165131,-12.597541157576671,3.9188163,-0.5961955214576663,OrbitalTargetedSearchValidated,8.319094,99.81239
5236430419447179776,t_periastron,13.620513424383311,0.43013602,14.71964316352853,0.9235256,-1.0788665907212287,OrbitalTargetedSearchValidated,8.3485985,149.14534
5289793360842855808,t_periastron,-200.4320134440436,14.224296,-214.1086343995485,31.873213,0.3918444997209786,OrbitalTargetedSearchValidated,8.970252,247.68077
5294105439288288256,t_periastron,-8.834004672892647,0.04680207,-4.156012562184593,0.34967595,-13.25983514926283,OrbitalTargetedSearch,7.326193,36.079514
5306416671004618240,t_periastron,-217.10020347331525,1.6793635,-218.87295783638888,3.0678737,0.5068714847980257,OrbitalTargetedSearchValidated,7.0541396,140.64423
5391879235910368768,t_periastron,304.8158334068138,1.3283614,313.5110455305605,5.066021,-1.660253105218026,OrbitalTargetedSearchValidated,6.5723753,99.20277
5459518648630576768,t_periastron,32.3502536033954,2.6500585,7.741957449082804,19.808903,1.231314845925195,OrbitalTargetedSearchValidated,9.190787,77.90908
5490419250399767680,t_periastron,58.22910560644444,0.87666595,56.99546995333984,1.6365467,0.6644726165529891,OrbitalTargetedSearchValidated,8.663058,201.22491
5523408692342861696,t_periastron,-253.6593458696788,39.713753,-171.69751518420367,160.16222,-0.4967007960754998,OrbitalTargetedSearchValidated,6.866736,153.29256
5526720593166247680,t_periastron,2.4362758207214337,0.39715305,-2.3072460256952354,2.2310708,2.0932131348725873,OrbitalTargetedSearchValidated,6.8867536,44.160393
5545537291566200320,t_periastron,-193.4555169714292,0.99043405,-192.61938382948333,3.991815,-0.20329767879695612,OrbitalTargetedSearchValidated,7.756915,134.25081
5564490982239584768,t_periastron,11.693830631242657,7.5722322,-9.836807630836006,19.505682,1.028996510061938,OrbitalTargetedSearchValidated,6.5066237,123.90553
5629502218573747584,t_periastron,-50.766814394963085,0.8491808,-47.37565853297862,3.280492,-1.000748769699281,OrbitalTargetedSearchValidated,7.08174,139.55542
5631222984331124864,t_periastron,-0.9161342987225144,0.10792516,-0.9631276249948222,0.49324626,0.09307165569205411,OrbitalTargetedSearchValidated,8.628547,48.354816
5645712490304616320,t_periastron,-366.8074648177951,7.518554,-416.0437419407873,28.84659,1.6516527982136304,OrbitalTargetedSearchValidated,7.6615877,227.88194
5710296119685549440,t_periastron,2.757996977099691,0.44330537,0.5418245981933509,2.219868,0.9790048442001477,OrbitalTargetedSearchValidated,9.719467,103.165115
5841850590016284544,t_periastron,106.9684853244965,1.5251114,106.88707832876504,4.4609866,0.01726742167381324,OrbitalTargetedSearchValidated,8.864865,133.54083
5865296850880144256,t_periastron,-76.68234399775147,15.138608,-70.57479935860147,31.289051,-0.17571160255287702,OrbitalTargetedSearchValidated,6.443264,123.04571
6075391292173461760,t_periastron,-78.01402846961014,13.160508,-69.01835790535472,57.36015,-0.15285621724411233,OrbitalTargetedSearchValidated,9.174427,82.594025
6076629204819105664,t_periastron,32.92608650471804,1.5755193,39.44695872596292,9.736241,-0.6611521086786782,OrbitalTargetedSearchValidated,9.316446,30.664785
6257172793656011520,t_periastron,-22.758157758689386,2.088403,-28.52414707858145,2.5253875,1.7595099540951844,OrbitalTargetedSearchValidated,9.006034,55.220657
6264881882000588672,t_periastron,1.842803666732186,0.27491334,2.262652485707136,6.6561694,-0.06302291153042862,OrbitalTargetedSearchValidated,6.5747213,20.819937
6345896578791113472,t_periastron,84.87734673784465,0.3062191,-85.53634407774045,2.7015495,62.67861560287386,OrbitalTargetedSearchValidated,7.973751,97.24119
6511657371244871680,t_periastron,-120.7516768963006,1.7382375,-120.75801740530562,4.7974277,0.0012425974815477416,OrbitalTargetedSearchValidated,8.489168,184.00981
6542137929509574144,t_periastron,229.95668233671236,4.6691055,231.26533485253373,7.802411,-0.14392257929628707,OrbitalTargetedSearchValidated,8.6204605,169.63713
6631710606341412096,t_periastron,-0.8392797096489895,1.7171931,-1.1606313365008418,3.0801501,0.09112526525495468,OrbitalTargetedSearchValidated,8.67581,146.06808
6661911579416783616,t_periastron,-28.52814817834522,0.24241482,-28.983524395408487,0.9426899,0.46783958301460354,OrbitalTargetedSearchValidated,8.793673,55.01406
6685418107226825216,t_periastron,-105.81469665484576,1.6425216,-112.8123760039856,4.43567,1.4794199970878428,OrbitalTargetedSearchValidated,6.9931026,156.1196
6708063202046601344,t_periastron,-26.46135096980005,0.30931547,-26.30252576401216,1.7359179,-0.0900747339847082,OrbitalTargetedSearchValidated,6.723948,134.22694
6807019282894453504,t_periastron,-29.735859711513637,2.5124974,-27.44067578137006,3.5276566,-0.5299510486304495,OrbitalTargetedSearchValidated,10.141411,82.90273
6827751124390424320,t_periastron,-67.37110672770204,2.6085033,-62.04883617430582,3.5993292,-1.1973177205992047,OrbitalTargetedSearchValidated,10.1919985,155.96214
36190017209456000,a_thiele_innes,2.635712759684657,0.12427724,2.813762838783167,0.16494603,-0.8621291755241298,OrbitalTargetedSearch,9.288031,35.843628
107511930591409280,a_thiele_innes,-1.782055780018274,0.06614638,-1.761456988686141,0.08629739,-0.189446048176305,OrbitalTargetedSearchValidated,9.714526,46.45825
266076492460606592,a_thiele_innes,0.857905657611919,0.12104494,0.7738188850867894,0.089025386,0.5596168080359786,OrbitalTargetedSearchValidated,9.670526,77.017845
286293109680203008,a_thiele_innes,1.3680366158584567,0.12960035,1.925951894744576,0.1104258,-3.276750226991209,OrbitalTargetedSearchValidated,8.831804,74.498024
316256588242414592,a_thiele_innes,-2.179993925018232,0.1941614,-2.1409034017421837,0.8619651,-0.04424195062266396,OrbitalTargetedSearchValidated,6.59929,85.62066
422886126401496064,a_thiele_innes,-4.696702129754396,0.046774797,-4.731289193999262,0.0396986,0.5637634842263475,OrbitalTargetedSearchValidated,9.0115385,662.8191
787672026858725632,a_thiele_innes,-0.7006717100718365,0.059816185,-0.6888057527294315,0.038177274,-0.16721773433020481,OrbitalTargetedSearchValidated,8.554301,58.541733
855523714036230016,a_thiele_innes,0.1058324195624997,0.025250418,0.0767064455305331,0.057109017,0.46644724828868905,OrbitalTargetedSearchValidated,8.225801,53.305576
861776842822330368,a_thiele_innes,-0.034785321055578,0.062945224,0.0547098749393343,0.08197899,-0.8658847704749472,OrbitalTargetedSearchValidated,8.917567,31.062561
1014542369909518976,a_thiele_innes,0.0278076710606418,0.06952969,0.1348935647662629,0.13338423,-0.7119196161386104,OrbitalTargetedSearchValidated,7.430633,17.72668
1215279005201870336,a_thiele_innes,-1.420996903383676,0.048106544,-1.4030779262711064,0.06530277,-0.22092428559619368,OrbitalTargetedSearchValidated,7.731624,53.29465
1224551770875466496,a_thiele_innes,0.8671220804694658,0.029379157,0.8416749173816774,0.050519872,0.4354307279756532,OrbitalTargetedSearchValidated,7.91749,37.971012
1294000704856807168,a_thiele_innes,-0.0733928842754193,0.08405119,-0.1434498761775391,0.10204923,0.5299044529190512,OrbitalTargetedSearchValidated,10.182521,93.54972
1305309456826990464,a_thiele_innes,-1.7161235757409652,0.054473054,-1.7551878154281415,0.050853275,0.5242049320396451,OrbitalTargetedSearchValidated,8.422082,344.94965
1318110830190386048,a_thiele_innes,0.1928946165846363,0.048561834,0.1965273280506997,0.044728745,-0.055022692254184574,OrbitalTargetedSearchValidated,8.843887,29.752174
1348238101626698368,a_thiele_innes,3.805136452338048,0.1365108,3.788030571939764,0.15818943,0.08186684809870877,OrbitalTargetedSearchValidated,8.134892,82.045425
