source_id,nss_solution_type,l,b,d_pc,dust_tier,phot_g_mean_mag,bp_rp,significance,dec,E_eden_floor_zgr,E_sfd_upper_zgr,A0_550_v22_025pc_mag,A0_550_v22_050pc_mag,A0_550_v22_sigma_mag,frac_ray_in_box_025,frac_ray_in_box_050,cube_used,E_v22_zgr_equiv,E_v22_sigma_zgr,E_arb_zgr,v22_below_eden_floor,class_v22_house,class_v22_eb26chain,class_v22_plus1sig,class_v22_minus1sig,m1_v22_house,margin_v22_house,b19_verdict,E_b19_zgr_equiv,verdict
276061123196785920,Orbital,149.3357391220038,1.648459359077946,1735.652358578104,edenhofer_floor,13.070501,1.9755478,21.197937,54.08946705388029,0.6727265896491159,1.3074003286948006,2.061998367845212,2.062695022582615,0.18456720870595567,1.0,1.0,025pc,0.7694743706069508,0.06887480561010703,0.7694743706069508,False,3,3,3,3,,1.1191283544487538,SURVIVES_b19,0.6215946484311681,SURVIVES_v22
1827955265387631744,AstroSpectroSB1,60.10032758221493,-2.534802761758111,2306.617263444966,edenhofer_floor,13.373935,1.9340258,15.533158,22.69410489438001,0.4393095755364229,1.2051659005908437,1.9987027592748312,2.105129572335701,0.21109908559970075,1.0,1.0,025pc,0.7458543962527646,0.0787756860337758,0.7458543962527646,False,3,3,3,3,,1.0589906351772618,SURVIVES_b19,0.5576495463542164,SURVIVES_v22
1862008819786215040,AstroSpectroSB1,71.33296428163293,-3.707468654684593,1372.9662408799563,edenhofer_floor,12.072869,1.6594028,61.61371,31.478923360302534,0.463083729542344,0.8990384581595733,1.4901120681458093,1.6903428335600246,0.12803788035688352,1.0,1.0,025pc,0.5560639928966182,0.04777979892603715,0.5560639928966182,False,3,3,3,3,,1.0788001652085284,SURVIVES_b19,0.4095262266048385,SURVIVES_v22
1870648649031735296,Orbital,77.54084884328121,-3.63362498599843,2408.7719520594032,edenhofer_floor,13.465396,1.7745543,18.63037,36.502055529286906,0.288118565656998,1.1103796385044262,1.3887007701684795,1.521833248334956,0.15441819975060897,1.0,1.0,025pc,0.518220415568725,0.05762412275210771,0.518220415568725,False,3,3,3,3,,1.058726531374384,SURVIVES_b19,0.6045435086034404,SURVIVES_v22
2004175948136111360,Orbital,99.16856966205788,-3.345321535341161,2831.748852227108,edenhofer_floor,12.475311,0.57731533,23.427845,51.86300430696166,0.1754726158895617,0.41464469125269865,0.612211161404913,0.7407225647870628,0.04523022449189898,1.0,1.0,025pc,0.22845837583900475,0.016878528647762563,0.22845837583900475,False,3,3,3,3,3.7911200306701787,1.0247044223467952,SURVIVES_b19,0.1479987181157124,SURVIVES_v22
2180259338015800704,AstroSpectroSB1,87.37421766071034,6.662135495822398,1652.82157172007,edenhofer_floor,11.796338,1.3005056,18.461773,50.53778808403743,0.168791458472023,0.7419601916249788,0.8537594087414097,0.9092587911525652,0.07279999544547179,1.0,1.0,025pc,0.3185967525171065,0.027166719212358935,0.3185967525171065,False,3,3,3,3,,1.0433427944056188,SURVIVES_b19,0.2071982112429385,SURVIVES_v22
3344044498533737216,Orbital,196.868871063609,-2.6131323110160083,1427.016153965547,edenhofer_floor,14.261006,1.1039658,11.629718,13.015225384275048,0.3023575850457458,0.7145173814168398,0.9508165367142669,1.015366199379347,0.08604251970229643,1.0,1.0,025pc,0.35481548751924735,0.032108421968610745,0.35481548751924735,False,3,3,3,3,1.5045477629218194,1.0225901867924287,SURVIVES_b19,0.2832559699240962,SURVIVES_v22
3420433584267533312,AstroSpectroSB1,176.54720588922575,-9.288052980425656,1258.2566597482914,edenhofer_floor,12.611645,1.7668781,27.702948,26.578789252248395,0.7210955156605939,0.8173958148982786,1.7147104546849539,1.5349473083835508,0.06305397801755998,1.0,1.0,025pc,0.6398772028469949,0.02352980526363278,0.7210955156605939,True,3,3,3,3,,1.0043940899711177,SURVIVES_b19,0.5228377336418939,SURVIVES_v22
4161042729638132096,Orbital,25.03938161946978,3.3057588600492323,1622.6120242847303,edenhofer_floor,13.594913,2.532014,27.325073,-5.492291594023707,1.0617377770336895,1.4921764354383762,3.462696147339766,3.278983942970612,0.21723387584723436,1.0,1.0,025pc,1.2921717010677054,0.08106500106822928,1.2921717010677054,False,3,3,2,3,,1.1232079729487305,SURVIVES_b19,1.1149237382215815,UNRESOLVED_sigma_flips_verdict
5541388898616068224,Orbital,254.5863720541057,-0.6636214755533496,2280.655645427726,edenhofer_floor,13.136244,1.4103184,17.487896,-36.638217304036765,0.2136401615699888,0.997260078469057,0.8136153670769614,0.9030888755609987,0.10618583989491168,1.0,1.0,025pc,0.30361623086633027,0.03962528952236354,0.30361623086633027,False,3,3,3,3,,1.0924579686357945,UNRESOLVED_south_of_footprint,,SURVIVES_v22
