source_id,n_transits,ra0_deg,dec0_deg,g_mag_median
2237987199365376,88,44.85905323725608,4.4936838241186345,19.754549026489258
2309425390592896,75,47.90751399244239,2.9669857704687557,14.013521194458008
10973744521070720,62,51.27645865769701,8.814583872793913,19.885101318359375
20694084440761600,74,42.08669335105433,8.531268749540342,14.046307563781738
60730287810150016,73,47.461804384947094,21.196202218324135,20.456113815307617
435469040545191680,81,49.02811699548988,47.85732905343587,13.973445892333984
1457486023639239296,115,209.5063268875399,31.695499700479004,11.908777236938477
1663617687609809280,95,201.2305126301431,61.41022305273669,14.25532054901123
3926186255616949504,81,179.20483193409035,16.837001665570195,18.96687889099121
3937211745905473024,90,198.0792922757309,17.517123799636206,7.151907444000244
4181040337841125632,97,292.77959920112164,-16.70246576342942,8.974701881408691
4318465066420528000,77,294.8278492445009,14.930918387643473,11.231087684631348
