rank,source_id,nss_solution_type,p_class3_corr,period,significance,sigma_ti2,phot_g_mean_mag,flag_alias_1yr,flag_low_lat,m2_min,queue_bin,flag_hi_sigma_ti2,flag_xray_active,xray_tested,flag_dust_unresolved_south,eb26_verdict
35,569323105070003072,AstroSpectroSB1,1.0,574.1564113700186,54.551933,1.1844201921762088,12.452498,False,False,2.2384465689845023,v2_main,False,False,True,False,
36,1998019134002320384,AstroSpectroSB1,1.0,1161.3173854648066,37.83692,13.100742106270246,11.692669,False,True,2.226472575943684,v2_main,False,False,True,False,
37,5545162186300848000,AstroSpectroSB1,1.0,547.3059443965795,119.877174,0.0055121952963123,8.530812,False,True,2.2044974220504394,v2_main,False,False,True,False,
38,5984963087901124352,AstroSpectroSB1,1.0,781.4954374117594,55.322495,4.368763089413457,12.932729,False,True,2.189617571563281,v2_main,False,False,True,True,
39,4201219395570443392,AstroSpectroSB1,1.0,556.8996004506546,41.919315,0.1630784618662242,10.914728,False,True,2.186097155109421,v2_main,False,False,True,False,
40,5535060526299103360,AstroSpectroSB1,1.0,498.4469071855156,101.44334,0.0024807973537491,7.5378666,False,False,2.167708066089701,v2_main,False,False,True,False,
41,1862008819786215040,AstroSpectroSB1,1.0,467.2578496875315,61.61371,2.6466206046261105,12.072869,False,True,2.1583895621424127,v2_main,False,False,True,False,
42,2221801391269240192,Orbital,1.0,730.9129932626819,54.38386,1.3780738819754337,11.658975,False,False,2.15408657579156,v2_main,False,False,True,False,
43,6291420068303688832,AstroSpectroSB1,1.0,843.4216830418693,82.624565,0.4322449452367894,8.766702,False,False,2.139823949163856,v2_main,False,True,True,False,
44,5051409687931408384,AstroSpectroSB1,1.0,627.0138491225389,121.3382,0.0023937316672721,8.329103,False,False,2.1383998680262755,v2_main,False,True,True,False,
45,3457836839541875968,AstroSpectroSB1,1.0,1098.6870459182717,73.48328,1.1743849274778957,6.9999185,False,True,2.120014374597988,v2_main,False,False,True,False,
46,2132620694633811456,AstroSpectroSB1,1.0,226.2319247786464,107.342255,0.0031269396340088,6.9475355,False,False,2.1090192258715064,v2_main,False,False,True,False,
47,6842264299919674752,Orbital,1.0,1428.811157504858,13.738809,0.2651460181972856,15.490695,False,False,1.9872028604026324,v2_main,False,False,True,False,
48,4314242838679237120,Orbital,1.0,1145.9529424071727,8.179624,4.213839738133277,17.024376,False,True,1.9744996563870991,retrieval_pr999,False,False,False,False,
49,6687541573416724608,AstroSpectroSB1,1.0,1125.0709267882726,20.113852,0.0391677820708987,12.0742235,False,False,1.8495570900290117,v2_main,False,False,True,False,UNKNOWN
50,3649963989549165440,Orbital,1.0,892.5306233789424,40.235245,0.1823132178227033,14.299598,False,False,1.809461539703702,v2_main,False,False,True,False,OTHER
51,3869650535947137920,Orbital,1.0,570.036402597465,34.02858,0.466281374373687,12.938148,False,False,1.7877604908044242,v2_main,False,False,True,False,SPURIOUS
52,1058875159778407808,Orbital,1.0,835.6823615515086,32.974022,0.1455182802294341,14.520771,False,False,1.775437807458843,v2_main,False,False,True,False,CONFIRMED
53,809741149368202752,Orbital,1.0,922.3885089937434,13.473051,0.1779533908308206,14.908419,False,False,1.720546567323385,v2_main,False,False,True,False,CONFIRMED
54,6593763230249162112,Orbital,1.0,679.887939268342,23.33145,0.1093994373642047,13.537497,False,False,1.6917012251732717,v2_main,False,False,True,False,SPURIOUS
55,1350295047363872512,Orbital,1.0,657.2419539332093,34.107887,0.5556333413255401,13.523132,False,False,1.6528242356719247,v2_main,False,False,True,False,CONFIRMED
56,5556237944880786816,Orbital,1.0,1237.3474673493265,11.694273,0.3064196844906419,14.109684,False,False,1.609453955674638,v2_main,False,False,True,False,
57,5847919241396757888,Orbital,1.0,1254.2877330563315,7.9793153,0.2438509098925878,16.898977,False,True,1.597980256436023,retrieval_pr999,False,False,False,False,
58,4744087975990080896,Orbital,1.0,631.2568824918063,22.47947,0.4475207018804028,17.06612,False,False,1.5562661787433842,v2_main,False,False,True,False,
59,2397135910639986304,Orbital,1.0,916.0157822158292,43.811024,0.839336727058792,13.346148,False,False,1.5292512195030066,v2_main,False,False,True,False,CONFIRMED
60,5590962927271507712,Orbital,1.0,817.8959331238286,18.823614,0.0231429956253806,15.882135,False,False,1.523707064804324,v2_main,False,False,True,False,
61,1947292821452944896,Orbital,1.0,1245.5774000543486,12.651038,21.56420220676544,15.936792,False,False,1.5204567853687634,v2_main,True,False,True,False,
62,2426116249713980416,Orbital,1.0,711.7033843848643,24.848818,0.8947315781281102,13.024138,False,False,1.5150701511372102,v2_main,False,False,True,False,CONFIRMED
63,5772986493132305024,Orbital,1.0,1101.6363504640344,9.455803,18.0691780079797,15.232279,False,False,1.492022279408198,retrieval_pr999,False,False,False,False,
64,5136025521527939072,AstroSpectroSB1,1.0,536.9000374541339,60.321243,0.0141247235142543,12.047791,False,False,1.488724101069404,v2_main,False,False,True,False,CONFIRMED
65,2885872059004028800,Orbital,1.0,802.239025633578,20.43985,0.0735376985898817,15.3059635,False,False,1.482858334204643,v2_main,False,False,True,False,
66,1695294922548180224,Orbital,1.0,601.1775441016509,79.8912,0.0040613066031106,13.119968,False,False,1.4802476568330396,v2_main,False,False,True,False,CONFIRMED
67,1871419337958702720,Orbital,1.0,479.3129789471415,72.08305,0.0966036830563626,13.699476,False,True,1.4747409304724426,v2_main,False,False,True,False,CONFIRMED
68,5820382041374661888,Orbital,1.0,311.1399656291668,39.19901,0.4568570406682543,14.188475,False,False,1.4603023463725937,v2_main,False,False,True,False,CONFIRMED
69,2839407213009948288,Orbital,1.0,1414.95200195908,15.136705,0.1721901386757092,14.449643,False,False,1.458089152620921,v2_main,False,False,True,False,
70,4922744974687373440,Orbital,1.0,562.3805772557849,15.422579,0.0476472627293468,14.47604,False,False,1.449055961224177,v2_main,False,False,True,False,CONFIRMED
71,4637171465304969216,Orbital,1.0,639.1506475352518,54.9969,0.0279997716767699,14.01124,False,False,1.43885595682881,v2_main,False,False,True,False,CONFIRMED
72,5693240254808387584,Orbital,1.0,944.38864879844,10.298653,0.179693478055741,16.3962,False,True,1.4292658876408653,v2_main,False,False,True,False,
73,465093354131112960,Orbital,1.0,1046.3703977514324,24.221453,0.1211036409866328,13.088572,False,True,1.408807272731189,v2_main,False,False,True,False,CONFIRMED
74,1854241667792418304,Orbital,1.0,1430.3335792623632,55.542854,0.0030768900791257,14.871327,False,False,1.3979399127732013,v2_main,False,False,True,False,CONFIRMED
75,4600723410759259264,Orbital,1.0,1485.4544709764468,22.27257,0.0073526253507144,12.832666,False,False,1.393700046965842,v2_main,False,False,True,False,
76,6037767138131854592,Orbital,1.0,804.7013884937741,29.598875,3.977174699774445,14.275907,False,False,1.3925794691932238,v2_main,False,False,True,False,UNKNOWN
77,1144019690966028928,Orbital,1.0,1401.859598247573,23.619417,0.0131683509932071,13.57053,False,False,1.3905277079571898,v2_main,False,False,True,False,CONFIRMED
78,2147347308558810496,Orbital,1.0,1237.125631488652,5.3514843,0.9448252026129788,16.808128,False,False,1.3823030761285215,retrieval_pr999,False,False,False,False,
79,2080945469200565248,Orbital,1.0,196.64003858005705,54.25931,12.113087755711383,13.29416,False,True,1.381396109226264,v2_main,False,False,True,False,CONFIRMED
80,4390946762664086784,Orbital,1.0,1456.7429287419136,11.716213,0.239696294519582,15.376748,False,False,1.3705629153598462,v2_main,False,False,True,False,
81,1801110822095134848,AstroSpectroSB1,1.0,893.5833196656748,92.175735,0.0351602780805366,12.1887665,False,False,1.3484813394452693,v2_main,False,False,True,False,CONFIRMED
82,4240540718818313984,Orbital,1.0,691.1678608875368,85.18006,0.0155342674792223,14.611238,False,False,1.346037501241444,v2_main,False,False,True,False,CONFIRMED
83,1694708646628402048,Orbital,1.0,632.0335601604571,114.85949,0.0622946173721945,13.199534,False,False,1.3444203112120785,v2_main,False,False,True,False,CONFIRMED
84,747174436620510976,Orbital,1.0,999.4359398395976,48.73918,0.1178659941584548,13.9877,False,False,1.3286659001323178,v2_main,False,False,True,False,MARGINAL
85,1522897482203494784,AstroSpectroSB1,1.0,45.51653693310744,156.60417,0.7316114890360916,11.052851,False,False,1.325236064258284,v2_main,False,False,True,False,CONFIRMED
86,3494029910469026432,AstroSpectroSB1,1.0,632.5299065981172,77.56015,0.0610351027945051,12.658866,False,False,1.317758643340536,v2_main,False,False,True,False,CONFIRMED
87,1581117310088807552,Orbital,1.0,927.3139036948772,175.5705,0.0013865578409195,14.508785,False,False,1.312907292695362,v2_main,False,False,True,False,CONFIRMED
88,5681911574178198400,Orbital,1.0,943.7606474969028,38.087135,0.0529744556862942,15.638199,False,False,1.2815291347019249,v2_main,False,False,True,False,
89,2032579979951732736,Orbital,1.0,215.44661636363173,63.062378,1.4887763335483484,14.207269,False,True,1.255052750739956,v2_main,False,False,True,False,NOT_CO
