refit_status,refit_method,refit_code_version,refit_n_ccd,refit_rms_single_mas,refit_peak_period_d,refit_peak_fap,refit_period_d,refit_period_err_d,refit_ecc,refit_ecc_err,refit_a0_mas,refit_a0_err_mas,refit_inc_deg,refit_omega_deg,refit_bigomega_deg,refit_tp_d,refit_parallax_mas,refit_parallax_err_mas,refit_pmra_masyr,refit_pmdec_masyr,refit_mass_function_msun,refit_m1_msun,refit_m1_sigma_msun,refit_m1_source,refit_m2_msun,refit_m2_p05,refit_m2_p16,refit_m2_p50,refit_m2_p84,refit_m2_p95,refit_m2_posterior_n,refit_posterior_method,refit_seconds,refit_notes,source_id,_name,_dr3_source_id,_dr3_sep_arcsec,_nss_solution_type,_nss_period_d,_nss_ecc,_nss_a0_mas,_nss_parallax_mas,_nss_significance,_nss_n_solutions
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",824,0.154212,568.39628,2.7659409714486953e-151,578.959816,2.99373,0.41481455,0.06175359,0.25509213,0.00880142,120.926513,213.545412,174.455835,51.26648,13.6461887,0.00647449,-75.532276,17.965618,2.6e-06,0.639188,0.118279,binary_masses,0.010313,0.008067,0.008961,0.010305,0.011569,0.012379,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.654,"L21 zero-point APPLIED before the mass function: Z -22.7 uas, parallax 13.623494 -> 13.646189 mas; mass function 68% CI 0.0000-0.0000 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0000 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",1457486023639239296,Gaia-4,1457486023639239296,0.1166090138772363,Orbital,564.0242807973492,0.5075808455347155,0.3128468035961588,13.643127383774535,7.9076214,1.0
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,1.262614,83.92591,3.2898421220691016e-260,83.837596,0.012901,0.30532918,0.0098031,1.85118559,0.01722364,8.609223,203.884355,155.09099,8.924381,25.3463785,0.01141111,-582.468285,-0.551818,0.00739471,1.074712,0.092529,binary_masses,0.232975,0.211669,0.220136,0.232961,0.245239,0.253485,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.579,"L21 zero-point APPLIED before the mass function: Z -37.0 uas, parallax 25.309416 -> 25.346379 mas; mass function 68% CI 0.0072-0.0076 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0074 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",3937211745905473024,HD 114762,3937211745905473024,0.8733302913385405,OrbitalTargetedSearchValidated,83.73818467439406,0.323893426184342,1.7971357360189488,25.357020975883085,26.510674,1.0
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,6.605128,1667.222463,0.0,4183.679384,72.221447,0.72781609,0.00353983,27.11004173,0.3675281,110.545595,78.219406,136.360346,241.867519,1.69520345,0.00652344,-28.343481,-155.170423,31.17490487,0.76,0.05,literature:esa_gaia-bhthree_notebook_m1_0.76,32.643423,31.913049,32.198759,32.643629,33.092275,33.383568,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.582,"L21 zero-point APPLIED before the mass function: Z -35.4 uas, parallax 1.659797 -> 1.695203 mas; mass function 68% CI 30.7426-31.6137 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 31.1737 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",4318465066420528000,Gaia BH3,4318465066420528000,0.225167711918379,,,,,,,
