source_id,nss_solution_type,l,b,d_pc,dust_tier,phot_g_mean_mag,bp_rp,significance,E_eden_floor_zgr,E_sfd_upper_zgr,E_b19_median_units,E_b19_best_units,E_b19_zgr_equiv,E_arb_zgr,b19_in_footprint,b19_reliable_dm,b19_dm,b19_dm_reliable_max,b19_below_eden_floor,class_v2_lower,class_v2_upper,class_b19_house,m1_b19_house,m1_source_b19_house,margin_b19_house,class_b19_eb26chain,verdict
2004175948136111360,Orbital,99.16856966205788,-3.345321535341161,2831.748852227108,edenhofer_floor,12.475311,0.57731533,23.427845,0.1754726158895617,0.41464469125269865,0.14999999105930328,0.1408218930734777,0.14799871811571247,0.1754726158895617,True,True,12.260273665765622,14.586602210998535,True,3,2,3,3.617135194584684,photometric_ms,1.0408773104631053,3,SURVIVES_b19
4161042729638132096,Orbital,25.03938161946978,3.3057588600492323,1622.6120242847303,edenhofer_floor,13.594913,2.532014,27.325073,1.0617377770336895,1.4921764354383762,1.1299999952316284,1.0840858445053596,1.1149237382215815,1.1149237382215815,True,True,11.051073449855782,13.571630477905273,False,3,2,3,,evolved_bracket,1.1232079729487305,3,SURVIVES_b19
276061123196785920,Orbital,149.3357391220038,1.648459359077946,1735.652358578104,edenhofer_floor,13.070501,1.9755478,21.197937,0.6727265896491159,1.3074003286948006,0.6299999952316284,0.6557850677628783,0.6215946484311681,0.6727265896491159,True,True,11.197313714022933,13.463851928710938,True,3,2,3,,evolved_bracket,1.1191283544487538,3,SURVIVES_b19
5547414810758429056,Orbital,251.06472898495704,-0.2149779600348815,2837.5155193720734,edenhofer_floor,13.439848,1.5769978,13.91269,0.3068646688417168,0.8454280056468055,,,,,False,False,12.264691227586024,,False,3,2,-1,,evolved_bracket,1.1087682427786993,-1,UNRESOLVED_south_of_footprint
5541388898616068224,Orbital,254.5863720541057,-0.6636214755533496,2280.655645427726,edenhofer_floor,13.136244,1.4103184,17.487896,0.2136401615699888,0.997260078469057,,,,,False,False,11.790298582059897,,False,3,2,-1,,evolved_bracket,1.0924579686357945,-1,UNRESOLVED_south_of_footprint
5984963087901124352,AstroSpectroSB1,333.8202992118064,4.648225661426757,1642.7807230456242,edenhofer_floor,12.932729,1.986248,55.322495,0.5632451552672066,1.1444680438317705,,,,,False,False,11.077897990252996,,False,3,2,-1,,evolved_bracket,1.088963445614324,-1,UNRESOLVED_south_of_footprint
1862008819786215040,AstroSpectroSB1,71.33296428163293,-3.707468654684593,1372.9662408799563,edenhofer_floor,12.072869,1.6594028,61.61371,0.463083729542344,0.8990384581595733,0.41506393508927497,0.4350639311075163,0.4095262266048385,0.463083729542344,True,True,10.688299293686331,14.043156623840332,True,3,2,3,,evolved_bracket,1.0788001652085284,3,SURVIVES_b19
1827955265387631744,AstroSpectroSB1,60.10032758221493,-2.534802761758111,2306.617263444966,edenhofer_floor,13.373935,1.9340258,15.533158,0.4393095755364229,1.2051659005908437,0.5651902126743924,0.5607608339499475,0.5576495463542164,0.5576495463542164,True,True,11.81487769049977,14.202947616577148,False,3,2,3,,evolved_bracket,1.0589906351772618,3,SURVIVES_b19
1870648649031735296,Orbital,77.54084884328121,-3.63362498599843,2408.7719520594032,edenhofer_floor,13.465396,1.7745543,18.63037,0.288118565656998,1.1103796385044262,0.6127182859420224,0.6200000047683716,0.6045435086034404,0.6045435086034404,True,True,11.9089784278657,14.223271369934082,False,3,2,3,,evolved_bracket,1.058726531374384,3,SURVIVES_b19
2180259338015800704,AstroSpectroSB1,87.37421766071034,6.662135495822398,1652.82157172007,edenhofer_floor,11.796338,1.3005056,18.461773,0.168791458472023,0.7419601916249788,0.20999999344348907,0.17999999225139618,0.2071982112429385,0.2071982112429385,True,True,11.091129861928836,14.004595756530762,False,3,2,3,,evolved_bracket,1.0433427944056188,3,SURVIVES_b19
5858664081383081600,Orbital,305.1908729845063,-2.942107995005497,2506.46295406095,edenhofer_floor,13.564016,1.5392017,10.406433,0.2406104999043724,0.8832722841404882,,,,,False,False,11.99530645025942,,False,3,2,-1,,evolved_bracket,1.021241441302325,-1,UNRESOLVED_south_of_footprint
3420433584267533312,AstroSpectroSB1,176.54720588922575,-9.288052980425656,1258.2566597482914,edenhofer_floor,12.611645,1.7668781,27.702948,0.7210955156605939,0.8173958148982786,0.529907666567987,0.550000011920929,0.5228377336418939,0.7210955156605939,True,True,10.498846188627347,13.204719543457031,True,3,2,3,,evolved_bracket,1.0043940899711177,3,SURVIVES_b19
3344044498533737216,Orbital,196.868871063609,-2.6131323110160083,1427.016153965547,edenhofer_floor,14.261006,1.1039658,11.629718,0.3023575850457458,0.7145173814168398,0.2870862227528839,0.28177155526237874,0.2832559699240962,0.3023575850457458,True,True,10.772144446997164,13.501652717590332,True,3,2,3,1.4775573789642857,photometric_ms,1.0300852525362143,3,SURVIVES_b19
