oid,stratum,ra,dec,gal_b,channel,mag_at_pass,m1_outburst_amp,m1_ptp_60d,n_alerts_total,drb,nbad,fwhm,elong,distnr,magnr,sgscore1,distpsnr1,ndethist,jdstarthist,hist_span_d,ps1_n,ps1_sep,ps1_objID,ps1_gmag,ps1_rmag,ps1_imag,gaia_n,gaia_sep,gaia_DR3Name,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,gaia_BP-RP,2mass_n,2mass_sep,2mass_2MASS,2mass_Jmag,2mass_Hmag,2mass_Kmag
ZTF18accebtg,clean-unvetted,286.2206069,9.2507677,1.2492312803131886,A1_cv_outburst,18.929834,2.795,0.035,11,0.9999858,0,1.69,1.0834782,0.26129687,21.725,0.810798,0.35176402,52,2458425.5892245,2850.1361573999748,1,0.35,1.1910286220562133e+17,20.4982,21.7871,20.6712,,,,,,,,,,,,,,,
ZTF26abqfrmo,clean-unvetted,291.684564,7.8798187,-4.17126264222843,A1_cv_outburst,18.775368,2.053,0.173,3,0.98435736,0,1.53,1.053913,1.3217356,20.828,0.5,1.5217028,2,2461275.7279861,0.026562499813735485,1,1.52,1.1745291684993629e+17,21.3488,20.4136,20.0316,3.0,1.51,Gaia DR3 4296157246756534528,0.2267,0.7463,-3.298,-6.566,20.386669,1.576569,1.0,2.96,19264417+0752450,15.574,15.189,15.081
ZTF18adljcle,clean-unvetted,275.8525071,13.5187961,12.24863569815378,A1_cv_outburst,19.317085,1.345,0.038,27,0.9999994,0,1.89,1.0827339,1.8590721,20.662,0.547687,0.094597846,307,2458254.9190278,3020.7886457997374,2,0.09,1.24222758525203e+17,20.2812,20.317,19.4727,2.0,0.15,Gaia DR3 4485455834383579008,,,,,19.157475,0.480038,,,,,,
ZTF22aavufkm,clean-unvetted,339.7459705,-17.568425,-58.02850198935624,A1_cv_outburst,19.330023,1.84,0.475,5,0.99999875,0,2.27,1.1602465,0.06213128,20.695,0.877521,0.23051952,19,2459784.9396875,1489.8732406999916,1,0.23,8.691339745983816e+16,21.1108,21.153,20.8697,,,,,,,,,,,,,,,
ZTF19aampgvg,clean-unvetted,262.7816112,-5.0430688,15.32324758107904,A1_cv_outburst,19.316406,3.296,0.312,68,0.9998597,0,2.49,1.0594203,0.39350423,21.598,0.933931,0.24336454,216,2458320.6886227,2903.161342599895,1,0.24,1.0194262781545869e+17,,21.757,21.1818,,,,,,,,,,,,,,,
ZTF21acjbvjh,clean-unvetted,327.9327874,-10.080071,-44.44329562561433,A1_cv_outburst,19.892056,1.878,0.343,198,0.9989469,0,1.92,1.030349,0.35882154,21.559,0.719333,0.3614282,486,2459143.727581,2074.1507639000192,1,0.36,9.590327932690406e+16,20.426,20.1948,20.1662,1.0,0.36,Gaia DR3 2617783460265710464,,,,,20.771847,0.770639,,,,,,
ZTF24abswyck,clean-unvetted,354.4864331,8.6057356,-50.07456713092071,A1_cv_outburst,20.227388,1.211,0.454,52,0.99968827,0,3.72,1.2033899,0.17089841,21.31,0.96744,0.205682,171,2459788.9221065,1441.0413773003966,1,0.21,1.1832354486480738e+17,20.3663,20.0847,20.1142,1.0,0.19,Gaia DR3 2758324209054026240,,,,,20.905527,0.119452,,,,,,
