rank_score,oid,STATUS,arm,ra,dec,gal_b,channel,reason,mag_at_pass,band_at_pass,amp,ptp_band,n_outburst_episodes,brightest_ever_mag,hist_span_days,neg_frac,n_neg,n_conf,n_clean,n_alerts,ndethist,drb,sgscore1,distpsnr1,distnr,magnr,gaia_DR3Name,gaia_Gmag,gaia_Plx,gaia_BP-RP,JK,gaiavar_Class,vsx_Name,vsx_Type,vsx_sep,atlasvs_Class,atlasvs_sep,ps1_sep,flag_vsx,flag_gcvs,flag_known_cv,flag_simbad,simbad,tns_nearest,tns_sep_arcsec,probably,outburst_history,fink_link,first_pass_jd,vet_class,stratum,tier,outburst_amp,ptp_mag_60d
3.136,ZTF18accebtg,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,286.2206069,9.2507677,1.2492312803131886,A1_cv_outburst,"outburst on a PS1 point source 0.35"" away [galactic plane]",18.929834,r,2.795,0.035,4,18.93,2850.14,0.0,0.0,2.0,2,2,52.0,0.9999858,0.810798,0.35176402,0.26129687,21.725,,,,,,,,,,,,0.35,,,,,Unknown,AT 2025aaxa,10071.16,"a point source has brightened by 2.8 mag above its quiescent level in the galactic plane (|b| = 1.2 deg), now at mag 18.9, varying 0.04 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 59894.2-59894.2 peak 19.66 (1 det) | MJD 60245.2-60251.2 peak 19.20 (2 det) | MJD 60705.6-60708.6 peak 19.06 (6 det) | MJD 61274.3-61275.2 peak 18.93 (2 det),https://fink-portal.org/ZTF18accebtg,2461275.7253819,,clean-unvetted,clean,2.795,0.035
2.908,ZTF26abqfrmo,MATTHEW-GATED -- NOT REPORTED TO TNS,E1_new,291.684564,7.8798187,-4.17126264222843,A1_cv_outburst,"outburst on a PS1 point source 1.52"" away [galactic plane]",18.775368,r,2.053,0.173,1,18.78,0.03,0.0,0.0,3.0,3,3,2.0,0.98435736,0.5,1.5217028,1.3217356,20.828,Gaia DR3 4296157246756534528,20.386669,0.2267,1.576569,0.49,,,,,,,1.52,,,,,Unknown,AT 2026kml,6768.94,"a point source has brightened by 2.1 mag above its quiescent level in the galactic plane (|b| = 4.2 deg), now at mag 18.8, varying 0.17 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=20.386669).",MJD 61275.2-61276.2 peak 18.78 (3 det),https://fink-portal.org/ZTF26abqfrmo,2461275.7545486,,clean-unvetted,clean,2.053,0.173
1.557,ZTF18adljcle,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,275.8525071,13.5187961,12.24863569815378,A1_cv_outburst,"outburst on a PS1 point source 0.09"" away [galactic plane]",19.317085,r,1.345,0.038,15,19.22,3020.79,0.0,0.0,2.0,2,2,307.0,0.9999994,0.547687,0.094597846,1.8590721,20.662,Gaia DR3 4485455834383579008,19.157475,,0.480038,,,,,,,,0.09,,,,,Unknown,AT 2026rnu,2398.97,"a point source has brightened by 1.3 mag above its quiescent level in the galactic plane (|b| = 12.2 deg), now at mag 19.3, varying 0.04 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=19.157475).",MJD 60203.2-60203.2 peak 19.37 (1 det) | MJD 60237.2-60237.2 peak 19.90 (1 det) | MJD 60510.3-60537.2 peak 19.22 (3 det) | MJD 60797.5-60797.5 peak 20.17 (1 det) | MJD 60867.3-60898.2 peak 19.35 (4 det) | MJD 60953.2-60953.2 peak 19.26 (1 det) | MJD 61205.4-61230.3 peak 19.36 (2 det) | MJD 61275.2-61275.2 peak 19.32 (1 det),https://fink-portal.org/ZTF18adljcle,2461275.7076736,,clean-unvetted,clean,1.345,0.038
1.474,ZTF22aavufkm,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,339.7459705,-17.568425,-58.02850198935624,A1_cv_outburst,"outburst on a PS1 point source 0.23"" away",19.330023,r,1.84,0.475,3,18.86,1489.87,0.0,0.0,3.0,3,3,19.0,0.99999875,0.877521,0.23051952,0.06213128,20.695,,,,,,,,,,,,0.23,,,,,RadioG,AT 2026upg,1741.23,"a point source has brightened by 1.8 mag above its quiescent level at |b| = 58.0 deg, now at mag 19.3, varying 0.47 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 59784.4-59784.4 peak 20.23 (1 det) | MJD 59879.3-59879.3 peak 19.59 (1 det) | MJD 61270.4-61275.4 peak 18.86 (3 det),https://fink-portal.org/ZTF22aavufkm,2461274.8129282,,clean-unvetted,clean,1.84,0.475
0.974,ZTF19aampgvg,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,262.7816112,-5.0430688,15.32324758107904,A1_cv_outburst,"outburst on a PS1 point source 0.24"" away",19.316406,g,3.296,0.312,21,17.52,2903.16,0.0,0.0,5.0,5,5,216.0,0.9998597,0.933931,0.24336454,0.39350423,21.598,,,,,,,,,,,,0.24,,,,,Unknown,SN 2026nbh,2477.31,"a point source has brightened by 3.3 mag above its quiescent level at |b| = 15.3 deg, now at mag 19.3, varying 0.31 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 60417.4-60417.5 peak 19.02 (2 det) | MJD 60546.2-60572.2 peak 18.35 (3 det) | MJD 60724.6-60744.5 peak 18.39 (4 det) | MJD 60864.3-60864.3 peak 18.83 (1 det) | MJD 60927.2-60927.2 peak 19.80 (1 det) | MJD 61093.6-61162.4 peak 17.52 (17 det) | MJD 61223.3-61245.3 peak 18.63 (3 det) | MJD 61276.2-61276.3 peak 18.32 (2 det),https://fink-portal.org/ZTF19aampgvg,2461223.8499653,,clean-unvetted,clean,3.296,0.312
0.423,ZTF21acjbvjh,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,327.9327874,-10.080071,-44.44329562561433,A1_cv_outburst,"outburst on a PS1 point source 0.36"" away",19.892056,g,1.878,0.343,8,19.43,2074.15,0.0,0.0,49.0,48,50,486.0,0.9989469,0.719333,0.3614282,0.35882154,21.559,Gaia DR3 2617783460265710464,20.771847,,0.770639,,,,,,,,0.36,,,,,Unknown,AT 2026rda,1414.44,"a point source has brightened by 1.9 mag above its quiescent level at |b| = 44.4 deg, now at mag 19.9, varying 0.34 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.771847).",MJD 59517.1-59524.2 peak 20.64 (2 det) | MJD 59824.3-59874.2 peak 20.29 (4 det) | MJD 60108.4-60237.2 peak 19.87 (26 det) | MJD 60525.3-60580.2 peak 20.10 (9 det) | MJD 60635.2-60648.2 peak 19.94 (5 det) | MJD 60817.4-60948.2 peak 19.80 (78 det) | MJD 61020.1-61028.1 peak 19.43 (3 det) | MJD 61200.4-61275.3 peak 19.55 (71 det),https://fink-portal.org/ZTF21acjbvjh,2461217.8783449,,clean-unvetted,clean,1.878,0.343
0.211,ZTF24abswyck,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,354.4864331,8.6057356,-50.07456713092071,A1_cv_outburst,"outburst on a PS1 point source 0.21"" away",20.227388,r,1.211,0.454,4,19.72,1441.04,0.0,0.0,18.0,16,18,171.0,0.99968827,0.96744,0.205682,0.17089841,21.31,Gaia DR3 2758324209054026240,20.905527,,0.119452,,,,,,,,0.21,,,,,Unknown,AT 2025agpx,2473.94,"a point source has brightened by 1.2 mag above its quiescent level at |b| = 50.1 deg, now at mag 20.2, varying 0.45 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.905527).",MJD 60649.2-60649.2 peak 20.60 (1 det) | MJD 60843.4-60949.4 peak 19.75 (22 det) | MJD 61015.1-61059.1 peak 19.72 (9 det) | MJD 61181.5-61275.4 peak 19.98 (20 det),https://fink-portal.org/ZTF24abswyck,2461229.9634838,,clean-unvetted,clean,1.211,0.454
