oid,ps1_n,ps1_sep,ps1_objID,ps1_gmag,ps1_rmag,ps1_imag,gaia_n,gaia_sep,gaia_DR3Name,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,gaia_BP-RP,gaiavar_n,gaiavar_sep,gaiavar_Class,gaiavar_ClassSc,atlasvs_n,atlasvs_sep,atlasvs_ATOID,atlasvs_Class,atlasvs_fp-lngfitper,2mass_n,2mass_sep,2mass_2MASS,2mass_Jmag,2mass_Hmag,2mass_Kmag,vsx_n,vsx_sep,vsx_Name,vsx_Type,vsx_max,vsx_min,vsx_Period
ZTF19aauabwo,1,0.36,1.1416264691043614e+17,17.6387,16.7815,16.2016,1.0,0.35,Gaia DR3 4485621551405045888,1.247,0.0613,-5.423,6.525,16.559647,1.580612,,,,,,,,,,1.0,0.49,17384585+0508170,14.614,13.883,13.775,,,,,,,
ZTF22aaolizp,1,0.43,1.125727885108281e+17,18.8212,17.4674,16.6915,1.0,0.43,Gaia DR3 4283168127489057792,0.6589,0.1246,-1.067,-2.917,17.285347,2.098549,,,,,,,,,,1.0,0.45,18352425+0348528,14.665,14.106,13.866,,,,,,,
ZTF18abifvxf,2,0.35,1.0176277584614168e+17,19.5429,16.8576,13.272,1.0,0.38,Gaia DR3 4257186019195887744,0.0161,0.0887,-0.093,-1.231,14.230551,5.593069,,,,,,,,,,1.0,0.3,18302030-0511561,9.101,7.777,7.21,,,,,,,
ZTF18ablpbnm,3,0.41,1.0147276636813064e+17,18.2113,15.8461,12.661,1.0,0.37,Gaia DR3 4257106029749836032,0.3681,0.0735,1.802,0.268,13.495607,5.182833,,,,,1.0,0.47,J276.6368-05.4414,dubious,25.189386,1.0,0.65,18263282-0526293,8.737,7.508,6.984,,,,,,,
ZTF22abwkjwg,1,0.25,1.2002283108312248e+17,18.2951,16.9041,16.0445,1.0,0.25,Gaia DR3 4311530545331499648,1.7714,0.0598,-0.867,-3.356,16.630013,2.233992,,,,,,,,,,1.0,0.19,18522599+1001060,14.048,13.384,13.104,,,,,,,
ZTF19aattoit,2,0.28,1.015627628614427e+17,19.4588,17.077,14.4275,3.0,0.3,Gaia DR3 4161232464099101440,-0.2237,0.1008,-2.031,-5.161,14.95747,5.05291,,,,,,,,,,1.0,0.27,18250867-0521531,10.288,9.041,8.504,,,,,,,
ZTF20abgcjru,1,0.42,1.2023262362970896e+17,18.0747,17.2163,16.7609,1.0,0.42,Gaia DR3 4491167247535879680,0.002,0.0737,-0.52,-3.253,17.274557,1.518276,,,,,,,,,,1.0,0.57,17292710+1011553,15.251,14.594,14.616,,,,,,,
ZTF18ababkvk,1,0.49,1.1931283262344704e+17,17.3583,15.816,15.0492,1.0,0.49,Gaia DR3 4311242752490312064,0.3961,0.0368,1.428,-2.121,15.585454,2.250518,,,,,,,,,,1.0,0.6,18530295+0925496,12.907,12.136,11.889,,,,,,,
ZTF18ablohbh,1,0.08,1.1949280001067043e+17,16.97,16.2814,16.0226,1.0,0.08,Gaia DR3 4479623608104388864,0.3195,0.1061,-1.035,-6.776,16.329374,1.236767,,,,,,,,,,1.0,0.09,18400025+0934298,14.662,14.205,14.358,,,,,,,
ZTF19abhhdhc,1,0.44,1.1302255792890922e+17,18.4004,17.4318,16.902,1.0,0.43,Gaia DR3 4391514694778556672,0.6593,0.0838,-6.493,-1.818,17.359459,1.62081,,,,,,,,,,1.0,0.54,17031029+0411261,15.341,14.684,14.424,,,,,,,
ZTF18aaxykvr,2,0.4,1.2610282543157542e+17,15.6166,13.428,12.567,2.0,0.42,Gaia DR3 4507482144684501376,0.1004,0.0169,-3.847,-4.523,13.422881,2.749027,,,,,1.0,0.43,J282.5433+15.0874,dubious,23.246292,1.0,0.42,18501039+1505147,10.178,9.254,8.911,,,,,,,
