IAUNAME,DETUID,RA,DEC,DET_LIKE_0,ML_RATE_1,ML_EXP_1
3eRASS J052008.2+032459,sm03_080087_020_ML00010_001_c030,80.03438690151184,3.4163889646960954,582.01154,0.44228396,364.78326
3eRASS J205143.3-631803,sm03_313153_020_ML00014_001_c030,312.93080816932587,-63.30096053332996,468.32864,0.43475735,332.0322
3eRASS J102237.1+210627,sm03_155069_020_ML00019_001_c030,155.65476210058674,21.10756612452162,301.75558,0.42728326,226.1372
3eRASS J134422.1-485656,sm03_206138_020_ML00024_001_c030,206.09240368162637,-48.94905696520003,641.98035,0.4271186,532.2442
3eRASS J173709.3-391951,sm03_263129_020_ML00016_001_c030,264.2890956789237,-39.33098265580197,394.0268,0.42589173,333.64304
3eRASS J142544.2-310722,sm03_218120_020_ML00013_001_c030,216.43425292212672,-31.122872792358756,462.91095,0.41852608,405.56277
3eRASS J060329.6-260805,sm03_092117_020_ML00025_001_c030,90.87340831513143,-26.134981080113633,495.89777,0.41623408,392.71378
3eRASS J041718.1-080251,sm03_065099_020_ML00014_001_c030,64.32570463708956,-8.047654465281026,496.4597,0.41073373,439.92532
3eRASS J210916.5-432059,sb03_318132_020_ML00016_001_c030,317.3187633682926,-43.34976736079134,266.53555,0.40851423,227.98541
3eRASS J055328.3-334239,sm03_090123_020_ML00004_001_c030,88.3681581093639,-33.710842769269796,502.32617,0.4080925,608.9255
3eRASS J094631.9+351949,sm03_147054_020_ML00009_001_c030,146.63301545879244,35.33042075743696,288.63516,0.4015403,236.38113
3eRASS J084719.8+380043,sm03_131051_020_ML00009_001_c030,131.8328708097058,38.0119605738856,286.3814,0.39924616,252.14052
3eRASS J212224.1-634231,sm03_319153_020_ML00013_001_c030,320.6007030628999,-63.70879675459812,384.6969,0.3938128,339.9621
3eRASS J002104.0-692047,sm03_004159_020_ML00017_001_c030,5.267015517398546,-69.34650580586039,506.64124,0.39337698,445.82733
3eRASS J205230.4-635818,sm03_313153_020_ML00019_001_c030,313.12702133382635,-63.971865152094324,348.02216,0.3892986,319.33905
3eRASS J125735.1+091614,sm03_195081_020_ML00016_001_c030,194.3965808514915,9.270561184177895,311.9027,0.38710412,341.5245
3eRASS J064213.6+033536,sm03_101087_020_ML00013_001_c030,100.55684885037651,3.593552621701965,330.5153,0.38386133,258.2915
3eRASS J075219.0+112401,sm03_117078_020_ML00012_001_c030,118.07924890192965,11.400489384702082,277.49866,0.3766843,242.2794
3eRASS J055501.7+051440,sm03_089084_020_ML00006_001_c030,88.75723948253602,5.244609740187444,459.32748,0.37600023,315.44757
