IAUNAME,UID,RA,DEC,POS_ERR,DET_LIKE_0,ML_RATE_1,ML_RATE_ERR_1,ML_FLUX_1,ML_EXP_1,MJD_MIN,MJD_MAX
1eRASS J053732.2-663013,108715600363,84.3844998306501,-66.50364141191811,1.7180094,72.11193,0.024750229,0.0034785978,2.3044907e-14,3333.9893,58828.98,59011.375
1eRASS J060317.3-675951,109015900601,90.82238040109685,-67.99769401746899,2.2165167,71.11842,0.016508695,0.0023917824,1.5371224e-14,4531.84,58890.207,58943.875
1eRASS J044423.9-335553,107212300048,71.09959408790638,-33.931538164223035,2.2286913,70.60738,0.17513305,0.033590477,1.6306616e-13,186.13556,58909.06,58910.56
1eRASS J145727.7-212510,122511100002,224.36563256557648,-21.41971552553706,2.1230173,69.96965,0.43407136,0.06654895,4.041633e-13,146.28027,58889.168,58895.004
1eRASS J004058.4-442918,101013500007,10.243731593962627,-44.48843697774522,2.4688303,66.100044,0.3812205,0.06800028,3.549539e-13,104.016075,58997.688,58998.688
1eRASS J034806.4-244936,105711400011,57.02673750566063,-24.826787509102534,2.13751,65.784676,0.20276345,0.035452735,1.8879279e-13,241.14688,58887.73,58894.4
1eRASS J054054.4-625047,108515300113,85.22699673226421,-62.846459832710174,2.966951,65.51721,0.05208473,0.007419188,4.8496024e-14,1536.2006,58898.38,58916.543
1eRASS J052427.0-544401,108114400064,81.1125847742874,-54.73368783606233,3.4226341,64.55122,0.072796896,0.012698457,6.7781094e-14,583.4687,58912.215,58917.883
1eRASS J084215.3-702500,112915900162,130.5638478778852,-70.41675617332815,2.52004,64.26796,0.068194166,0.0122875525,6.34955e-14,589.62134,58863.473,58869.14
1eRASS J071432.7-704355,111316200185,108.63649641813653,-70.73218610363838,2.0535598,63.221428,0.03614086,0.0064687952,3.3650708e-14,1163.3486,58870.81,58882.203
1eRASS J062127.7-671207,109315601102,95.36567614426338,-67.20195643156956,1.8717093,62.71705,0.017258756,0.0027260098,1.6069606e-14,3413.22,58829.977,58862.312
1eRASS J060437.7-665131,109315600738,91.15714555390618,-66.85873609785551,1.762277,60.719227,0.008747648,0.0011896646,8.144924e-15,12296.588,58828.98,59011.375
1eRASS J055205.0-071834,108909600011,88.02087625107067,-7.309534205284666,2.637287,59.895752,0.2248168,0.054950267,2.0932663e-13,118.37086,58937.57,58938.57
1eRASS J033918.9-553550,105614700056,54.828845796886995,-55.597326421305354,2.9464414,59.69397,0.09008708,0.016900785,8.3879965e-14,394.43246,58843.49,58847.156
1eRASS J055043.8-641628,108515300305,87.68272307304116,-64.27464130312411,1.8904221,58.57249,0.020863345,0.003382608,1.9425833e-14,2799.0437,58904.875,58931.21
1eRASS J095155.8+220949,114806900017,147.9828820956782,22.163816198222676,2.5626428,56.2373,0.27084458,0.06250312,2.5218304e-13,81.50166,58979.42,58980.086
1eRASS J060134.1-615749,109215300490,90.39236761931154,-61.96381397067939,2.248917,56.06892,0.04095193,0.007484602,3.813029e-14,1014.31903,58937.71,58948.543
1eRASS J111816.0-324912,117112300012,169.5669992776348,-32.82019756663476,2.1392808,55.994232,0.2617692,0.051517077,2.4373299e-13,130.87122,58831.785,58832.785
1eRASS J021117.7-332003,103412300046,32.823982083596796,-33.334339387233875,2.3334222,55.85485,0.1418874,0.0327187,1.3211117e-13,153.78743,58843.5,58845.0
