DETUID,IAUNAME,RA,DEC,DET_LIKE_0,primary_100,ls10_NWAY_p_any,ls10_NWAY_match_flag,ls10_LS10_RA,ls10_LS10_DEC,ls10_class_gal_exgal,ls10_Class_STAREX,ls10_Exgal_prob_STAREX,ls10_class_jetted,ls10_dered_mag_r,ls10_LS10_TYPE,ls10_n_alt,gdr3_NWAY_p_any,gdr3_NWAY_match_flag,gdr3_GDR3_RA,gdr3_GDR3_DEC,gdr3_GDR3_PQSO,gdr3_GDR3_PGal,gdr3_GDR3_Pstar,gdr3_GDR3_parallax,gdr3_GDR3_parallax_over_error,gdr3_GDR3_phot_g_mean_mag,gdr3_n_alt,cw_NWAY_p_any,cw_NWAY_match_flag,cw_CW2020_RA,cw_CW2020_DEC,cw_CW2020_w1mpro,cw_CW2020_w2mpro,cw_n_alt,in_ls10,in_gdr3,in_cw,gdr3_dsc_max,gdr3_dsc_label,ls10_gdr3_sep,diff_object_0.5,class_conflict_0.5,tier_0.5,diff_object_0.8,class_conflict_0.8,tier_0.8
sm03_209126_020_ML00038_001_c030,3eRASS J140214.0-371952,210.55868102570335,-37.33119681363364,16.275814,False,0.99771893,1.0,210.5585932492648,-37.330636756167365,5.0,0.0,0.9552222308962833,0.0,21.111629270888148,REX,0.0,4.9877524e-09,1.0,210.55387173244134,-37.328846134826314,0.0,0.0,0.99982196,0.5636960295617003,12.087419,15.89761,0.0,0.9261274,1.0,210.5585694,-37.3306576,16.801,15.953,0.0,True,True,True,0.99982196,STAR,14.97408551078388,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_062093_020_ML00010_001_c030,3eRASS J041050.1-023955,62.708827032543525,-2.6653978409879007,430.10367,False,0.99844265,1.0,62.7086018634204,-2.6652298136617008,2.0,1.0,0.009263139166373058,0.0,12.60610348278899,PSF,0.0,0.99607795,1.0,62.7086018634204,-2.6652298136617008,0.0,0.0,0.99914616,,,12.830153,0.0,0.9993162,1.0,62.7085787,-2.6652168,9.259,9.233,0.0,True,True,True,0.99914616,STAR,0.0,False,True,T2_classified_contested,False,True,T2_classified_contested
sm03_149108_020_ML00947_001_c030,3eRASS J094956.8-171038,147.48686337466424,-17.17732045244083,6.2705054,False,0.07700067,1.0,147.48355470674855,-17.174872251222716,-5.0,1.0,3.0091169722053605e-05,0.0,15.877757719871804,PSF,0.0,0.35257715,1.0,147.48355470674855,-17.174872251222716,0.0,0.0,0.9982583,1.7833082736714214,38.022293,16.021013,0.0,0.044682924,1.0,147.4835616,-17.1748821,12.918,12.891,0.0,True,True,True,0.9982583,STAR,0.0,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sm03_161084_020_ML00946_001_c030,3eRASS J104352.1+052100,160.96741939989425,5.350139004793331,6.143991,False,0.9704302,1.0,160.9645954977729,5.349546523398139,4.0,0.0,0.9366010601891281,0.0,21.730692490265984,PSF,0.0,2.893894e-10,1.0,160.97319352368856,5.336422957704911,0.0,2.325e-05,0.99997157,1.4316492531665659,1.6359999,20.49419,0.0,0.7422916,1.0,160.9644188,5.3495659,17.251,16.008,0.0,True,True,True,0.99997157,STAR,56.407698117032346,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_180108_020_ML01132_001_c030,3eRASS J120447.9-173353,181.19965180386876,-17.56491848145259,6.2986145,False,0.29206237,1.0,181.20136179149185,-17.5628612679948,-5.0,1.0,4.7051392657697915e-05,0.0,14.364119940229777,PSF,0.0,0.44783825,1.0,181.20136179149185,-17.5628612679948,0.0,0.0,0.99991614,1.9161351674251852,70.45641,14.61636,0.0,0.18413366,1.0,181.2013701,-17.5628802,12.544,12.563,0.0,True,True,True,0.99991614,STAR,0.0,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sm03_197096_020_ML00374_001_c030,3eRASS J130442.8-065736,196.17856583133542,-6.960065488684951,13.526131,False,0.8998971,1.0,196.1779610601331,-6.959867071724844,5.0,0.0,0.9799225901367485,0.0,22.625010855396084,PSF,0.0,1.5543122e-15,1.0,196.18371265650134,-6.967895956258192,0.0,0.0,0.9999903,0.4457444413937972,1.717203,19.006798,0.0,0.60180867,1.0,196.1778689,-6.9597583,17.102,16.592,1.0,True,True,True,0.9999903,STAR,35.46650793148996,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_279129_020_ML00840_001_c030,3eRASS J183612.0-375813,279.0502580909854,-37.970388632271735,6.4141493,False,,,,,,,,,,,,0.05761449,1.0,279.0511852094338,-37.9712840751891,0.0,0.0,0.99999565,-0.3797793474683267,-0.7331449,19.867992,0.0,0.0033795114,1.0,279.04704,-37.9704387,15.836,16.294,0.0,False,True,True,0.99999565,STAR,,False,False,T3_no_ls10_nothing,False,False,T3_no_ls10_nothing
sm03_095162_020_ML04052_001_c030,3eRASS J063404.9-724557,98.52066679190206,-72.76596082682029,10.573802,False,0.026576286,1.0,98.52774390127279,-72.7662312339142,5.0,0.0,0.9693020731647697,0.0,22.624845239915967,PSF,1.0,0.0003481206,1.0,98.51856433096508,-72.7628809826947,0.0,1.0,0.0,,,20.648462,0.0,0.018511852,1.0,98.5236408,-72.7642157,17.285,17.396,0.0,True,True,True,1.0,GALAXY,15.534585412692087,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sm03_104162_020_ML02949_001_c030,3eRASS J070618.7-730824,106.57831983095608,-73.14018777942086,11.253996,False,0.98742986,1.0,106.57985056076313,-73.14078028420829,4.0,0.0,0.9182198997358543,0.0,21.58431618623696,PSF,0.0,0.010367437,1.0,106.58469831267726,-73.14214049838984,0.0,0.0,0.99999374,0.699130858716963,5.681439,18.688581,0.0,,,,,,,,True,True,False,0.99999374,STAR,7.042467821809916,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_036120_020_ML01008_001_c030,3eRASS J022915.4-290242,37.31417414757757,-29.04523465110014,9.488348,False,0.9944712,1.0,37.31308657925432,-29.044330891011988,4.0,0.0,0.6322664489646486,0.0,20.76764837349584,PSF,0.0,0.6221005,1.0,37.31308657925432,-29.044330891011988,0.00054484,6.91e-06,0.9990019,,,21.123251,0.0,0.9984091,1.0,37.3130651,-29.0443252,15.821,14.694,0.0,True,True,True,0.9990019,STAR,0.0,False,True,T2_classified_contested,False,False,T1_single_catalog_classified
sm03_052117_020_ML00260_001_c030,3eRASS J032047.7-270356,50.1990992751618,-27.065783556993875,59.52071,False,0.9974393,1.0,50.1995057247182,-27.067025118439272,4.0,0.0,0.6449835122683073,0.0,17.160500934996552,PSF,0.0,0.99957806,1.0,50.1995057247182,-27.067025118439272,0.99999976,0.0,2.9e-07,0.05919982539976454,0.8320608,17.261572,0.0,0.99992424,1.0,50.1994842,-27.06701,14.311,13.278,0.0,True,True,True,0.99999976,QSO,0.0,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_117102_020_ML00852_001_c030,3eRASS J075022.7-132224,117.59460763827482,-13.373501711757534,12.001701,False,,,,,,,,,,,,0.89241403,1.0,117.5940757546143,-13.374466693437885,0.47625023,5e-07,0.52374494,0.2689814187080046,0.4246908,20.172344,0.0,0.9968513,1.0,117.5941911,-13.3743709,15.903,14.794,0.0,False,True,True,0.52374494,STAR,,False,False,T3_no_ls10_gdr3_dsc_only,False,False,T3_no_ls10_gdr3_dsc_only
sm03_177099_020_ML01199_001_c030,3eRASS J114222.7-095106,175.59484433850093,-9.851847776731175,6.3921866,False,0.30942425,1.0,175.59527319721403,-9.853658410387181,5.0,0.0,0.9834565120187367,0.0,20.956774366959976,DEV,0.0,0.0,1.0,175.59479752950264,-9.839281277692823,0.0,0.0,0.9998378,1.9940080569764052,12.6265335,18.29275,0.0,0.4044465,1.0,175.5952835,-9.8536178,16.209,15.879,0.0,True,True,True,0.9998378,STAR,51.78516824959308,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sm03_140147_020_ML00175_001_c030,3eRASS J091657.0-555135,139.23753924293032,-55.85987697391273,54.388,False,,,,,,,,,,,,0.9919676,1.0,139.2374160181066,-55.860218037396045,0.0,0.0,0.99648726,7.151097821088545,282.2252,15.403129,0.0,0.9909912,1.0,139.2373916,-55.8602283,11.373,11.206,0.0,False,True,True,0.99648726,STAR,,False,False,T3_no_ls10_gdr3_dsc_only,False,False,T3_no_ls10_gdr3_dsc_only
sm03_168159_020_ML02088_001_c030,3eRASS J110513.2-695106,166.30503529111206,-69.85193023238314,7.152301,False,,,,,,,,,,,,0.001321684,1.0,166.31321711345373,-69.85050543869563,7.53e-05,0.00423904,0.9941124,,,21.243563,1.0,0.053678077,1.0,166.3129322,-69.8505555,14.853,14.529,1.0,False,True,True,0.9941124,STAR,,False,False,T3_no_ls10_nothing,False,False,T3_no_ls10_nothing
sm03_162126_020_ML00133_001_c030,3eRASS J104056.6-371347,160.23606076192064,-37.22996113552452,24.832405,False,,,,,,,,,,,,0.9589692,1.0,160.2352502531501,-37.23109095350235,0.0,0.0,0.99991286,2.1099327161178145,36.204205,12.831915,0.0,0.76650167,1.0,160.2352563,-37.2310856,11.202,11.217,0.0,False,True,True,0.99991286,STAR,,False,False,T3_no_ls10_gdr3_dsc_only,False,False,T3_no_ls10_gdr3_dsc_only
sm03_195075_020_ML00208_001_c030,3eRASS J130731.5+161925,196.88127631133105,16.323676721004073,33.469433,False,0.99974364,1.0,196.88080457651685,16.32358152645163,5.0,0.0,0.9794561149704368,0.0,20.765021309546555,REX,0.0,6.9003923e-09,1.0,196.88609931796668,16.32272643049769,0.9905027,7.85e-06,0.00948936,0.08873912810810608,0.09748323,20.723719,0.0,0.9975312,1.0,196.8807576,16.3235479,15.554,14.898,0.0,True,True,True,0.9905027,QSO,18.54991946877199,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_044099_020_ML00315_001_c030,3eRASS J025953.3-095330,44.972478147200526,-9.891754134757843,22.575375,False,0.9422854,1.0,44.97205273941749,-9.890805087145282,5.0,0.0,0.9857645472406987,0.0,21.182362176650425,REX,1.0,0.71226144,1.0,44.97254111875783,-9.891495984248065,0.0,1.0,0.0,,,21.08933,0.0,0.96141565,1.0,44.9725293,-9.8915028,13.949,13.676,0.0,True,True,True,1.0,GALAXY,3.030883066869058,True,False,T2_classified_contested,False,False,T2_classified_contested
sm03_209111_020_ML00004_001_c030,3eRASS J135013.8-215612,207.55769777030596,-21.936734122592362,716.8013,False,0.98496294,1.0,207.55732001647493,-21.936977189269754,4.0,0.0,0.8176748529930055,0.0,16.039426773199853,SER,0.0,0.9951379,1.0,207.55729452608807,-21.936977844734823,0.00127632,0.99865097,7.272e-05,1.0476869538555051,1.9577869,19.491257,0.0,0.9951558,1.0,207.5572999,-21.9369382,12.866,12.389,0.0,True,True,True,0.99865097,GALAXY,0.08515385143585442,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_043159_020_ML01869_001_c030,3eRASS J024912.5-700620,42.30242395247308,-70.1058158815048,6.4543724,False,0.99747753,1.0,42.3034535137998,-70.10669171275774,5.0,0.0,0.9604894960126775,0.0,20.49871708590243,PSF,0.0,0.9867683,1.0,42.3034535137998,-70.10669171275774,0.99840105,0.0,0.00159893,0.5711697403368314,0.9320404,20.521152,0.0,0.79757506,1.0,42.303528,-70.1066657,17.064,15.866,0.0,True,True,True,0.99840105,QSO,0.0,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_116081_020_ML00249_001_c030,3eRASS J074212.1+073446,115.55045615435355,7.579649519866037,17.716768,False,2.6497915e-11,1.0,115.55103635640401,7.572550560258007,2.0,0.0,,0.0,inf,REX,0.0,0.6412601,1.0,115.5509415445334,7.578810398709546,0.0,1.0,0.0,,,20.868492,0.0,0.89204365,1.0,115.5509828,7.5788947,12.392,12.366,0.0,True,True,True,1.0,GALAXY,22.537958239839163,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sb03_079066_020_ML00076_001_c030,3eRASS J051600.2+223704,79.00098139430162,22.617783740690825,45.252014,False,,,,,,,,,,,,0.9998862,1.0,79.00144382201628,22.617979937631848,0.0,0.0,0.9999113,4.087344392822323,188.32613,11.793611,0.0,0.9953788,1.0,79.0014385,22.6179867,9.791,9.79,0.0,False,True,True,0.9999113,STAR,,False,False,T3_no_ls10_gdr3_dsc_only,False,False,T3_no_ls10_gdr3_dsc_only
