IAUNAME,GDR3_UID_5XMM,GDR3_UID_2RXS,GDR3_UID_CSC,GDR3_source_id,GDR3_Xray_proba,GDR3_NWAY_Separation_GDR3_ERO,GDR3_NWAY_p_any,GDR3_NWAY_p_i,GDR3_NWAY_match_flag,GDR3_parallax,GDR3_parallax_error,GDR3_pm,GDR3_ruwe,GDR3_phot_g_mean_mag,GDR3_phot_bp_mean_mag,GDR3_phot_rp_mean_mag,GDR3_PQSO,GDR3_PGal,GDR3_Pstar,GDR3_n_rows,LS10_ERO_LS10_FULLID,LS10_Xray_proba,LS10_NWAY_Separation_LS10_ERO,LS10_NWAY_p_any,LS10_NWAY_p_i,LS10_NWAY_match_flag,LS10_TYPE,LS10_dered_mag_g,LS10_dered_mag_r,LS10_dered_mag_z,LS10_dered_mag_W1,LS10_dered_mag_W2,LS10_g_minus_r,LS10_z_minus_W1,LS10_W1_minus_W2,LS10_Class_STAREX,LS10_Exgal_prob_STAREX,LS10_class_gal_exgal,LS10_class_jetted,LS10_main_id_simbad,LS10_n_rows,CW2020_source_id,CW2020_Xray_proba,CW2020_NWAY_p_any,CW2020_NWAY_p_i,CW2020_NWAY_match_flag,CW2020_w1mpro,CW2020_w1sigmpro,CW2020_w2mpro,CW2020_w2sigmpro,CW2020_PMRA,CW2020_PMDec,CW2020_sigPMRA,CW2020_sigPMDec,CW2020_n_rows,hard_name,hard_sep_arcsec,hard_detlike3
3eRASS J132329.4-581017,-1.0,0.0,,6.062314250648623e+18,0.7881128032322811,0.5758271,0.94604313,1.0,1.0,8.209218144941413,0.11805746,33.385376,6.0792794,14.490707,16.230867,13.180243,0.0,0.0,0.99914616,1.0,,,,,,,,,,,,,,,,,,,,,,2021m576_b0-002106,0.9769776727373213,0.99879026,1.0,1.0,10.302,0.01,10.112,0.008,-0.03805,-0.01404,0.0031,0.0036,1.0,,,
3eRASS J075438.3-515246,-1.0,0.0,,5.513633243696038e+18,0.5172496102263823,1.6582016,0.8829857,0.9949718,1.0,6.128983771337426,0.053760547,22.73454,0.97071165,17.065882,18.854092,15.805172,0.0,0.0,0.99648726,1.0,,,,,,,,,,,,,,,,,,,,,,1192m515_b0-003486,0.823448598986268,0.9805059,1.0,1.0,12.936,0.012,12.74,0.009,-0.0151,0.02529,0.004,0.0042,1.0,,,
3eRASS J151559.2-360234,-1.0,174088.0,,6.199896346751788e+18,0.9784566071499938,0.41823062,0.99929535,1.0,1.0,-0.17592448493706478,0.07454079,0.0284392,1.0753111,16.630419,16.68194,15.902648,0.9999988,1.18e-06,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,2294m364_b0-001655,0.9970154789033608,0.9998965,1.0,1.0,12.32,0.013,11.268,0.009,-0.00916,0.01088,0.004,0.0045,1.0,,,
3eRASS J124129.1+190456,-1.0,0.0,,3.9481280065811215e+18,0.9276794180684135,0.7497899,0.9994493,1.0,1.0,41.44507832687471,0.021388948,315.02808,1.2058498,13.478609,15.265505,12.203978,0.0,0.0,0.99885,1.0,sm03_189072_020_ML00019_001_c030_10000_438681_1803,0.998441413893175,0.7497899,0.9998159,1.0,1.0,PSF,15.69747176712943,14.107875120400827,12.120078906567215,12.054819385098556,12.490931261075296,1.5895966467286033,0.06525952146865954,-0.4361118759767404,1.0,3.0190597382353394e-18,-5.0,0.0,,1.0,1904p196_b0-000021,0.831327730787189,0.99334425,1.0,1.0,9.366,0.012,9.158,0.008,0.05405,-0.32183,0.0038,0.004,1.0,,,
3eRASS J074333.7-555402,-1.0,0.0,,5.487855983855799e+18,0.9847990157885512,0.419603,0.99966806,0.9999999,1.0,-0.053776201058754296,0.042409204,0.06412002,0.9613684,16.910675,17.102692,16.32247,0.9999809,1.838e-05,1e-08,1.0,,,,,,,,,,,,,,,,,,,,,,1146m561_b0-000852,0.9919464026841055,0.99973464,1.0,1.0,11.749,0.011,10.7,0.008,-0.00695,0.01215,0.003,0.0034,1.0,,,
3eRASS J172927.8-441605,3080303120100002.0,0.0,,5.952534847868326e+18,0.9937439162113418,0.3925066,0.99815196,0.9999961,1.0,4.999080181121826,0.020750443,21.770607,0.9925092,14.061649,15.319981,12.933717,0.0,0.0,0.99296397,1.0,,,,,,,,,,,,,,,,,,,,,,2621m440_b0-003744,0.9693574647043312,0.99861133,1.0,1.0,9.992,0.009,10.0,0.008,-0.01254,-0.02308,0.0034,0.0033,1.0,3eRASS J172927.8-441605,0.31196633740208984,29.6151
3eRASS J011731.0-553459,-1.0,0.0,,4.913636895241116e+18,0.879633088379211,0.38605765,0.9995177,1.0,1.0,0.09357323647141472,0.15141807,0.520101,1.0814025,18.6999,18.335955,17.417034,0.984743,0.01513415,0.00012277,1.0,sm03_019147_020_ML00009_001_c030_10000_58210_1629,0.996381072364928,0.38605765,0.9996299,0.99999946,1.0,SER,18.14144388210223,17.597686786852666,17.261109378755023,16.54730433347057,16.36071294898729,0.5437570952495641,0.7138050452844524,0.1865913844832825,0.0,0.9922454750084341,5.0,0.0,2dFGRS TGS827Z078,1.0,0186m561_b0-001148,0.9841518407580676,0.999646,1.0,1.0,14.01,0.014,13.246,0.01,0.01315,0.00414,0.0061,0.0054,1.0,,,
3eRASS J172341.8-310306,-1.0,0.0,,4.0581447277828116e+18,0.11503529236534832,1.488981,0.0054645054,1.0,1.0,0.07269357144832611,0.07123997,9.655382,1.1285331,16.227722,18.659742,14.717508,0.0,0.0,0.9999998,1.0,,,,,,,,,,,,,,,,,,,,,,2611m319_b0-007298,0.6220479169234632,0.83342236,0.9999994,1.0,9.109,0.041,9.033,0.036,-0.04442,0.00686,0.0052,0.005,1.0,3eRASS J172341.8-310306,0.06851791473103895,70.97253
3eRASS J170930.3-263920,3070038140100001.0,-166985.0,2CXO J170930.3-263919,4.108865783346598e+18,0.05044588799923329,0.6500197,0.11579568,1.0,1.0,,,,,19.422716,19.636585,18.449999,0.0020205,3.1e-05,0.9962213,1.0,,,,,,,,,,,,,,,,,,,,,,2569m273_b0-190659,0.05318100933861988,0.0,0.9852501,1.0,16.776,0.066,17.764,,0.03109,-0.01182,0.0705,0.0789,1.0,3eRASS J170930.3-263920,0.17763362108048533,409.67996
3eRASS J234403.0-352639,3086277010100001.0,0.0,,2.311716432826542e+18,0.8670484583968803,2.8395514,0.008016463,1.0,1.0,-0.1127596294356159,0.42848143,0.5054527,1.8256953,18.428997,17.55542,16.464453,7.731e-05,0.99985945,6.318e-05,1.0,sb03_355126_020_ML00001_001_c030_10000_139750_4926,0.9736643886423715,2.8395514,0.8990838,1.0,1.0,PSF,17.64300923486092,17.1011386262001,16.75225275492677,16.237212138089955,16.459969608490944,0.5418706086608189,0.5150406168368136,-0.22275747040098892,0.0,0.9913413751663744,5.0,0.0,WISEA J234402.95-352641.8,1.0,3563m349_b0-000588,0.9431710168423025,0.0033862474,1.0,1.0,13.041,0.013,12.791,0.01,0.00626,0.01278,0.0049,0.0052,1.0,,,
