IAUNAME,UID,RA,DEC,POS_ERR,DET_LIKE_0,EXT_LIKE,ML_RATE_1,ML_RATE_ERR_1,ML_FLUX_1,ML_EXP_1,MJD_MIN,MJD_MAX,FLAG_SP_SNR,FLAG_SP_BPS,FLAG_SP_LGA,FLAG_SP_GC_CONS,FLAG_NO_RADEC_ERR,FLAG_NO_CTS_ERR,FLAG_OPT,in_dr2_any_sep,in_dr2_any_name,in_dr2_any_rate,in_dr2_any_extlike,in_dr2_any_detlike,nn2_sep_arcsec,nn2_rate,nn2_detlike,next_sep_arcsec,next_extlike,next_rate,n2_within_120,nn2_bright_sep_arcsec,nn2_bright_name,nn2_bright_rate,dr1_nn_sep_arcsec,dr1_nn_rate,forensic_class,ul_exposure_s,ul_b_flux,ul_s_flux,ul_flag_pos,ul_presence,ul_fade_frac,t1_over_t3_approx,forensic_class_v2
1eRASS J050650.6-031938,107709300036,76.71116669167563,-3.3272928733436338,4.059742,30.562374,0.0,0.12210758,0.035085924,1.1369421e-13,133.91269,58924.906,58926.07,0,0,0,0,0,0,0,51.57612838571399,3eRASS J050653.1-032014,0.97500926,76.51827,166.47104,76.20275484758764,0.04813624,16.641237,51.57612838571399,76.51827,0.97500926,4,,,,139.0272727772597,0.046564415,ARTIFACT-EXTENDED,400.1351318359375,1.7361641096134975e-13,1.0711365198675175e-13,1,1.6208616524700634,1.527047076199832,0.3346686640224997,ARTIFACT-EXTENDED
1eRASS J093007.4-735037,114316500026,142.53086430384883,-73.84377556251432,2.8760335,30.450392,0.0,0.060922477,0.013908451,5.672484e-14,483.91376,58883.7,58888.367,0,0,0,0,0,0,0,42.04456659957489,3eRASS J093009.1-735119,0.2497477,0.0,744.99036,42.04456659957489,0.2497477,744.99036,467.9460786740376,6.6045294,0.07094657,2,42.044566599579376,3eRASS J093009.1-735119,0.2497476935386657,42.45101553498338,0.1873719,ARTIFACT-CONFUSION,1249.7169189453125,1.2156612793235574e-13,7.930266008758166e-14,1,1.532938842128352,2.1430845451896507,0.3872186994222618,ARTIFACT-CONFUSION
1eRASS J083503.3-615037,112915300031,128.7638285427216,-61.84373677071472,2.661978,30.4331,0.0,0.06824279,0.01687202,6.354077e-14,352.20837,58828.973,59011.383,0,0,0,0,0,0,0,45.35015073050234,3eRASS J083502.2-615122,0.18302432,0.0,435.05423,45.35015073050234,0.18302432,435.05423,604.5199421424804,5.8506446,0.034836095,1,45.35015073050336,3eRASS J083502.2-615122,0.1830243170261383,46.21945441592234,0.17056228,ARTIFACT-CONFUSION,1016.3807373046876,1.1019736691078932e-13,8.709923244882428e-14,1,1.2651933181562365,1.734278116409186,0.3465319216241856,FADE-CANDIDATE
1eRASS J042306.8-530129,106714400100,65.77843001508705,-53.02493494132178,2.6593378,30.424215,0.0,0.055238448,0.012635721,5.1432447e-14,523.43665,58870.99,58875.99,0,0,0,0,0,0,0,21.62694332011648,3eRASS J042305.0-530144,0.09473249,0.0,239.3888,21.62694332011648,0.09473249,239.3888,733.3045179567297,3.7308612,0.023064313,1,21.626943320116627,3eRASS J042305.0-530144,0.0947324931621551,29.379647995457752,0.07096226,ARTIFACT-CONFUSION,1398.767578125,1.1114004681844759e-13,4.1770752167488024e-14,1,2.6607145203612754,2.1608936245722,0.3742127414060089,ARTIFACT-CONFUSION
1eRASS J032014.6-454904,105213500180,50.06092651589776,-45.81802258465381,2.6983376,30.394905,0.0,0.06460496,0.017811378,6.0153597e-14,242.44412,58854.324,58856.992,0,0,0,0,0,0,0,53.38118058118217,3eRASS J032018.3-454941,0.03594143,0.0,16.89263,53.38118058118217,0.03594143,16.89263,74.8795567920378,17.141739,0.27315074,1,53.38118058117445,3eRASS J032018.3-454941,0.0359414294362068,75.45223236456451,0.040474564,ARTIFACT-CONFUSION,817.3092651367188,8.234184818364798e-14,6.926842319133694e-14,1,1.188735709432838,1.3688599234331402,0.2966369406805197,FADE-CANDIDATE
1eRASS J043151.6-535355,106714400321,67.96512542147106,-53.898623017566514,2.619935,30.384052,0.0,0.04393543,0.010369577,4.0908222e-14,561.2591,58874.32,58879.715,0,0,0,0,0,0,0,10.223073121984148,3eRASS J043152.6-535350,0.077251874,17.449543,63.89658,132.19172825951438,0.009152367,6.334701,10.223073121984148,17.449543,0.077251874,0,,,,148.84401824278208,0.027042372,ARTIFACT-SPLIT/MOVED,1517.7078857421875,4.8246335989906095e-14,1.9413310748447182e-14,1,2.4852193742257582,1.1793799297829686,0.3698070658211898,ARTIFACT-SPLIT/MOVED
1eRASS J172337.2-500318,126114100039,260.9052361613381,-50.05520743953388,2.5957603,30.332285,0.0,0.14221087,0.03790087,1.3241236e-13,121.60304,58933.344,58934.348,0,0,0,0,0,0,0,108.87293765581454,3eRASS J172346.9-500414,0.033824354,0.0,11.055293,108.87293765581454,0.033824354,11.055293,1886.7651851869664,40.273117,0.6746867,1,,,,87.93451410505465,0.10723757,PLAUSIBLE-FADER,385.2750854492188,1.0410243630673557e-13,1.0397538814091099e-13,0,1.001221906146216,0.7861987831554059,0.3156265343714469,FADE-CANDIDATE
1eRASS J090835.6-353932,113612600010,137.14863211172596,-35.65914176103366,3.0317326,30.315931,0.0,0.13767782,0.039554406,1.2819165e-13,131.4492,58989.227,58990.395,0,0,0,0,0,0,0,16.02806860789453,3eRASS J090836.9-353932,0.36637387,0.0,361.12958,16.02806860789453,0.36637387,361.12958,2239.01803420047,13.052019,0.18650489,2,16.028068607894653,3eRASS J090836.9-353932,0.3663738667964935,16.521648811228577,0.17909603,ARTIFACT-CONFUSION,330.85028076171875,4.267481550426777e-13,1.2290761128037206e-13,1,3.4721051902082496,3.328985585587499,0.3973072040240185,ARTIFACT-CONFUSION
1eRASS J020156.2-303212,102912000103,30.48421731719931,-30.53673640845032,3.2051883,30.30576,0.0,0.09497717,0.027644547,8.843312e-14,149.85724,58842.668,58844.168,0,0,0,0,0,0,0,75.57043321423384,3eRASS J020200.1-303116,0.022418015,0.0,8.076388,75.57043321423384,0.022418015,8.076388,310.9570567778228,35.11565,0.366896,2,80.57135961427626,3eRASS J020201.4-303255,0.1445040702819824,77.76390806842669,0.19376402,ARTIFACT-CONFUSION,421.7371520996094,1.691819021031396e-13,1.6715634139439358e-13,1,1.012117761682561,1.913105656603992,0.3553332668320515,FADE-CANDIDATE
1eRASS J123616.1+154715,118907500068,189.0672467630143,15.787614065771884,3.0276067,30.23814,0.0,0.09882931,0.027677117,9.201984e-14,156.24081,58828.93,59011.258,0,0,0,0,0,0,0,52.39571338531056,3eRASS J123616.8+154623,0.056503642,0.0,19.194998,52.39571338531056,0.056503642,19.194998,1190.320563257119,3.2842314,0.07381255,1,52.395713385318096,3eRASS J123616.8+154623,0.0565036423504352,145.89252464681064,0.15436143,ARTIFACT-CONFUSION,332.5913391113281,1.0684750745846087e-13,1.0309932568048839e-13,1,1.0363550561871602,1.161135549230045,0.4697681257048657,FADE-CANDIDATE
1eRASS J064116.3-665547,110015600767,100.31792552434592,-66.92997858280826,2.3810065,30.224178,0.0,0.01789544,0.004026253,1.666242e-14,1622.1954,58828.977,58843.812,0,0,0,0,0,0,0,73.5789345847779,3eRASS J064105.2-665512,0.009317712,0.0,22.979485,73.5789345847779,0.009317712,22.979485,246.4757301112478,9.469298,0.030573513,2,73.57893458478186,3eRASS J064105.2-665512,0.0093177119269967,157.90034149825715,0.010510397,ARTIFACT-CONFUSION,4415.57861328125,1.886205323604461e-14,1.8644133681572708e-14,0,1.011688371162415,1.1320116307261856,0.3673800292266871,FADE-CANDIDATE
1eRASS J215513.7-512144,133014100056,328.80732819445785,-51.36249631144461,3.1821392,30.223473,0.0,0.17564313,0.04658442,1.635411e-13,94.09563,58970.184,58971.016,0,0,0,0,0,0,0,18.05150108057793,3eRASS J215513.2-512127,0.060170915,0.0,18.850845,18.05150108057793,0.060170915,18.850845,875.6162090893309,20.429167,0.30601737,2,,,,183.21648059332003,0.04760996,PLAUSIBLE-FADER,275.2112731933594,2.0842649709005429e-13,1.0625921935967025e-13,1,1.9614909496423496,1.274459430015172,0.3419032545730414,ARTIFACT-UNCLEAR-PERSIST
1eRASS J053524.9-064753,108309600378,83.85405366999035,-6.798103348858206,3.539026,30.217218,0.0,0.11403659,0.032715973,1.0617932e-13,124.45026,58933.07,58934.07,0,0,0,0,0,0,0,79.71489965149813,3eRASS J053519.9-064727,0.042921912,0.0,23.319368,79.71489965149813,0.042921912,23.319368,942.8326593533944,7.508889,0.086223304,2,,,,75.9580120863554,0.040670916,PLAUSIBLE-FADER,383.0850524902344,1.0805344520612577e-13,1.0736650826216611e-13,0,1.0063980561077976,1.0176505670419225,0.3248632625862438,FADE-CANDIDATE
1eRASS J112318.8+271315,117206300032,170.8284454173964,27.22101184353233,4.1001124,30.068161,0.0,0.2052899,0.055983327,1.9114517e-13,80.76474,58993.426,58994.094,0,0,0,0,0,0,0,63.51667880236275,3eRASS J112322.4+271356,0.29188868,13.961419,45.758774,355.71907508791975,0.028245287,6.5186462,63.51667880236275,13.961419,0.29188868,0,,,,73.65822112874368,0.09827667,ARTIFACT-EXTENDED,221.31546020507807,1.4287632492046565e-13,1.0140775345097651e-13,1,1.408929002549458,0.7474754654824166,0.3649304026260107,FADE-CANDIDATE
1eRASS J072848.9-690659,111315900596,112.20407921616648,-69.11658974731155,2.6657395,30.056244,0.0,0.024069898,0.0058655064,2.2411452e-14,953.65643,58853.14,58862.14,0,0,0,0,0,0,0,80.67096367856837,3eRASS J072838.2-690603,0.014397046,0.0,36.585133,80.67096367856837,0.014397046,36.585133,831.6988089508196,3.276811,0.01252127,3,80.67096367856205,3eRASS J072838.2-690603,0.014397045597434,83.1469891805068,0.012823279,ARTIFACT-CONFUSION,2734.275146484375,3.6061763655521196e-14,3.5777878869183016e-14,0,1.0079346455215012,1.6090775223096294,0.3487785167583352,FADE-CANDIDATE
1eRASS J052922.3-641954,108515300387,82.34327047167231,-64.33182870776372,2.232591,30.023006,0.0,0.017828163,0.0036508737,1.6599779e-14,2293.5295,58856.65,58879.043,0,0,0,0,0,0,0,18.08113291111868,3eRASS J052924.8-641946,0.058512047,56.866985,155.1328,53.426277745523,0.0075088693,21.363995,18.08113291111868,56.866985,0.058512047,1,,,,52.95471070437926,0.017361362,ARTIFACT-EXTENDED,6251.51806640625,2.9312456054000214e-14,8.464286739497291e-15,1,3.4630745573892416,1.765834114659009,0.3668756093539467,ARTIFACT-EXTENDED
