cand_set,name,RA,DEC,POS_ERR,l_deg,b_deg,match_type,direction,DET_LIKE_0,DET_LIKE_0_D1,ML_RATE_1,ML_RATE_1_D1,ML_FLUX_1,ML_FLUX_1_D1,R,epoch_ratio,amp_cons,epoch_amp_cons,rank_amp,z_var,approx_erass1_rate_lim,implied_min_rise,gaia_source_id,gaia_sep_arcsec,gaia_G,gaia_bp_rp,gaia_plx,gaia_plx_err,gaia_pmra,gaia_pmdec,simbad_main_id,simbad_otype,simbad_sep_arcsec,first_guess_class,caveats,verdict,verdict_detail,verdict_evidence,dossier,forensic_class_v2,ul_presence,nway_p_any_gdr3,nway_p_any_cw2020,hard_detlike3,verdict_sources
vanished_full,1eRASS J050506.3-322047,76.27645333808822,-32.3466269578606,2.6286268,,,,,,39.190727,,0.22584999,,2.1028863e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 2.76; bright-neighbor sep 66.75050394298275""",False,ARTIFACT-CONFUSION,2.7634122279968976,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J101351.9+194539,153.46644727670437,19.760837880806623,4.0485334,,,,,,39.008595,,0.25312114,,2.3568078e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,absorbed into extended source,"UL presence 1.58; bright-neighbor sep nan""",False,ARTIFACT-EXTENDED,1.5770661418153131,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J073821.2-685802,114.5886201564272,-68.96746301131692,2.3330243,,,,,,38.99497,,0.032391734,,3.0159902e-14,,,,,,,,,,,,,,,,,,,,,,PLAUSIBLE-CLASS,unclassified real fader (blank counterpart),position blank in stack (UL presence 1.10); no archival X-ray; counterpart faint/absent - XRB/CV/AGN flare all open,False,FADE-CANDIDATE,1.0960347048163603,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J065250.1+082219,103.20892772614629,8.372077415902908,3.0975666,,,,,,38.990227,,0.23250583,,2.1648587e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 2.41; bright-neighbor sep 24.714364041035648""",False,ARTIFACT-CONFUSION,2.4108477953301746,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J051057.6-652935,77.74022229084443,-65.49325708916805,2.4432514,,,,,,38.9818,,0.028723815,,2.6744708e-14,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 1.94; bright-neighbor sep 32.51468217508209""",False,ARTIFACT-CONFUSION,1.9381242019014848,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J035213.6-324613,58.05690569764587,-32.77049351469136,2.66372,,,,,,38.979034,,0.08288351,,7.7172725e-14,,,,,,,,,,,,,,,,,,,,,,PLAUSIBLE-CLASS,AGN fader (high-amplitude X-ray variability),CatWISE W1-W2=0.7110000000000003; Gaia classifier AGN 0.6197888; stack blank (presence 1.02),False,FADE-CANDIDATE,1.02487338895081,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J150149.9-403747,225.45797928349663,-40.62975861845308,3.5095074,,,,,,38.690853,,0.2693797,,2.508191e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,absorbed into extended source,"UL presence 1.59; bright-neighbor sep nan""",False,ARTIFACT-EXTENDED,1.585847798041236,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J074548.1-383407,116.45045451942433,-38.5687448770293,2.698919,,,,,,38.674797,,0.12863167,,1.1976878e-13,,,,,,,,,,,,,,,,,,,,,,PLAUSIBLE-CLASS,unclassified real fader (blank counterpart),position blank in stack (UL presence 1.05); no archival X-ray; counterpart faint/absent - XRB/CV/AGN flare all open,False,FADE-CANDIDATE,1.0513658331437397,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J095556.4-095744,148.98536223934948,-9.962332042609184,2.993023,,,,,,38.60888,,0.2499004,,2.3268196e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 2.21; bright-neighbor sep 78.6430455973311""",False,ARTIFACT-CONFUSION,2.2143496662868305,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J130209.8-143659,195.54096143609493,-14.616567138655917,2.5799246,,,,,,38.55412,,0.16196081,,1.508015e-13,,,,,,,,,,,,,,,,,,,,,,PLAUSIBLE-CLASS,AGN fader (high-amplitude X-ray variability),CatWISE W1-W2=0.9079999999999995; Gaia classifier AGN 0.2277309; stack blank (presence 1.04),False,FADE-CANDIDATE,1.043696964930861,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
