name,RA,DEC,cand_set,tid,2rxs_sep,2rxs_id,2rxs_cts,2rxs_hr1,2rxs_n,xmmsl3_sep,xmmsl3_id,xmmsl3_flux_02_2,xmmsl3_flux_02_12,xmmsl3_rate_02_2,xmmsl3_n,csc21_sep,csc21_id,csc21_flux_b,csc21_flux_s,csc21_flag_e,csc21_flag_var,csc21_n,2sxps_sep,2sxps_id,2sxps_rate0,2sxps_flux_po0,2sxps_det,2sxps_pconst,2sxps_n,catwise_sep,catwise_id,catwise_w1,catwise_w2,catwise_n,gvar_sep,gvar_id,gvar_gmin,gvar_gmax,gvar_ng,gvar_n,gclass_sep,gclass_id,gclass_class,gclass_score,gclass_n,xmmssc_id,xmmssc_sep,xmmssc_flux_02_12,xmmssc_flux_err,xmmssc_flux_05_2,xmmssc_nobs,xmmssc_n,artxc_sep,artxc_name,artxc_flux,artxc_signi,artxc_cname,artxc_newxray,artxc_type,artxc_z,mkm_sep,mkm_iauname,mkm_ferass1,mkm_f2rxs,mkm_dist,mkm_lum
1eRASS J053410.9-045032,83.5457422058537,-4.842399641803628,vanished,118,,,,,,,,,,,,8.849679,2CXO J053410.4-045038,0.00016,7.99e-05,True,True,1.0,,,,,,,,7.870638,J053410.47-045035.1,9.167,8.881,2.0,7.874912,3.209598548853144e+18,12.574868,12.700364,56.0,1.0,7.874912,3.209598548853144e+18,YSO,0.40684605,1.0,,,,,,,,10.596785,SRGA J053411.7-045030,3.80768,6.05,2E 0531.7-0452,0.0,STAR?,,,,,,,
1eRASS J052605.0-621225,81.52096474855139,-62.2070758315065,vanished,119,,,,,,13.767207,XMMSL3 J052604.0-621237,0.68928,2.14812,0.48,1.0,,,,,,,,,,,,,,,1.175879,J052605.11-621226.4,12.702,12.664,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J172341.8-310306,260.9245114573623,-31.051778751332545,new_bright,120,,,,,,,,,,,,,,,,,,,,,,,,,,2.024425,J172341.95-310308.2,9.019,9.057,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J170930.3-263920,257.3763682992362,-26.65555849118433,new_bright,121,7.505926,2RXS J170930.0-263926,906.12,0.969,1.0,,,,,,,0.672032,2CXO J170930.3-263919,3.88e-05,1.4e-05,True,True,1.0,0.63935,89301.0,1.2,5.243e-11,0.0,0.0,1.0,9.656766,J170931.02-263922.4,16.717,18.142,1.0,,,,,,,,,,,,5XMM J170930.4-263920,2.3603299128314084,1.83851e-12,2.72317e-14,7.17716e-13,1.0,1.0,5.677421,SRGA J170930.5-263925,6.23073,6.59,XTE J1709-267,0.0,LMXB,,,,,,,
3eRASS J234403.0-352639,356.01277416305146,-35.44421798096663,new_bright,122,,,,,,,,,,,,,,,,,,,,,,,,,,4.993545,J234402.89-352643.7,13.045,12.769,1.0,,,,,,,,,,,,5XMM J234402.8-352641,3.908462381184732,2.14314e-13,3.49726e-15,3.841487e-14,3.0,1.0,,,,,,,,,,,,,,
3eRASS J173758.6-374616,264.494296456611,-37.77121433452904,new_bright,123,,,,,,,,,,,,3.018093,2CXO J173758.8-374618,4.26e-06,6.07e-07,False,False,1.0,3.993052,191634.0,0.487,2.306e-11,0.0,0.0,2.0,7.190702,J173758.59-374623.5,11.628,11.846,1.0,,,,,,,,,,,,,,,,,,,8.718997,SRGA J173759.2-374622,14.3853,12.54,IGR J17379-3747,0.0,LMXB,,,,,,,
3eRASS J192832.3-500134,292.1348322130564,-50.026282542215526,new_bright,124,,,,,,1.950155,XMMSL3 J192832.6-500138,1.824062,4.955688,1.270238,3.0,,,,,,,,1.396836,138332.0,0.264,1.111e-11,0.0,0.0,1.0,0.270228,J192832.38-500134.6,13.066,12.863,2.0,,,,,,,,,,,,,,,,,,,8.048934,SRGA J192832.4-500143,4.57517,6.0,CTCV J1928-5001,0.0,CV,,,,,,,
3eRASS J045649.7-203747,74.20716087081234,-20.629847419221143,new_bright,125,,,,,,,,,,,,,,,,,,,,,,,,,,0.979154,J045649.76-203748.1,14.925,14.893,2.0,,,,,,,,,,,,5XMM J045649.7-203749,2.202458179665261,8.09861e-14,1.48873e-15,2.28156e-14,11.0,1.0,,,,,,,,,,,,,,
3eRASS J155100.8-453347,237.75364824786325,-45.56326785295143,new_bright,126,,,,,,,,,,,,,,,,,,,,,,,,,,1.933553,J155101.06-453348.0,13.011,12.914,2.0,1.94604,5.988386112446545e+18,17.674219,17.840456,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J074910.4-054926,117.29345999283314,-5.824103397274831,new_bright,127,4.524202,2RXS J074910.3-054931,69.79,-0.764,1.0,,,,,,,,,,,,,,,,,,,,,1.174868,J074910.39-054925.7,15.539,15.286,2.0,1.322759,3.0442633404165253e+18,17.299721,18.553881,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J115415.8-501801,178.5658899777514,-50.300384336924886,new_bright,128,,,,,,3.741101,XMMSL3 J115415.6-501758,3.84848,17.50086,2.68,1.0,,,,,,,,,,,,,,,0.732133,J115415.80-501802.1,13.464,13.243,1.0,0.756492,5.370642890382758e+18,14.542631,17.167078,78.0,1.0,0.756492,5.370642890382758e+18,CV,0.85312045,1.0,,,,,,,,2.537511,SRGA J115415.6-501801,5.30505,10.18,,1.0,CV?,,,,,,,
3eRASS J155747.9-542453,239.4499271458604,-54.414756085931685,new_bright,129,,,,,,,,,,,,2.561392,2CXO J155748.3-542453,4.63e-05,0.0,False,True,1.0,0.554945,151675.0,6.66,1.633e-09,0.0,0.0,1.0,2.48603,J155748.25-542453.9,11.629,11.575,3.0,,,,,,,,,,,,,,,,,,,4.578584,SRGA J155747.6-542450,66.1033,43.91,2S 1553-542,0.0,HMXB,,,,,,,
3eRASS J090023.0+214951,135.09601941843613,21.83100993527568,new_bright,130,,,,,,,,,,,,,,,,,,,,,,,,,,6.162798,J090023.10+214957.8,9.418,9.234,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J092909.3-024504,142.2889693372582,-2.75113505368429,new_bright,131,,,,,,1.860383,XMMSL3 J092909.4-024504,1.076284,2.746735,0.749501,2.0,,,,,,,,,,,,,,,1.601776,J092909.30-024502.7,5.034,4.951,1.0,1.019859,3.8377463807056384e+18,6.927397,6.966885,38.0,1.0,1.019859,3.8377463807056384e+18,SOLAR_LIKE,0.696055,1.0,,,,,,,,,,,,,,,,,,,,,
3eRASS J132435.1-194509,201.14651448554773,-19.7525502624014,new_bright,132,5.116501,2RXS J132435.4-194506,21.03,0.26,1.0,1.604691,XMMSL3 J132435.2-194511,0.649878,1.577264,0.452561,2.0,,,,,,,,,,,,,,,2.471095,J132435.29-194510.9,10.519,10.16,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J083821.2+241036,129.58850789113032,24.176896421921214,new_bright,133,13.340674,2RXS J083820.5+241026,49.1,0.02,1.0,6.080615,XMMSL3 J083821.5+241040,1.22204,3.72484,0.851003,1.0,,,,,,,,,,,,,,,0.443737,J083821.21+241036.8,12.586,12.004,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J155517.1-232216,238.8213449885216,-23.371199848158057,new_bright,134,13.840441,2RXS J155517.8-232206,24.34,1.0,1.0,10.034989,XMMSL3 J155517.4-232207,,2.353228,,1.0,,,,,,,,,,,,,,,1.596429,J155517.01-232217.0,9.186,9.056,1.0,1.65616,6.237252529183461e+18,13.424623,13.532307,44.0,1.0,1.65616,6.237252529183461e+18,YSO,0.87514573,1.0,5XMM J155517.2-232214,2.5846501213935564,3.87753e-13,1.90238e-14,2.87674e-13,6.0,1.0,,,,,,,,,,,,,,
3eRASS J205101.0-743003,312.7545122549176,-74.50101300966952,new_bright,135,,,,,,,,,,,,,,,,,,,,,,,,,,0.70267,J205101.04-743002.9,15.143,14.912,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J024510.8-434441,41.29524037548752,-43.74489566384688,new_bright,136,39.51479,2RXS J024513.5-434414,79.06,-0.377,1.0,6.893542,XMMSL3 J024511.2-434448,1.06264,2.43243,0.74,1.0,,,,,,,,,,,,,,,3.718341,J024510.76-434437.9,7.138,6.981,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J064957.1+281418,102.48830498786604,28.23843443921123,new_bright,137,30.797374,2RXS J064955.3+281437,39.21,0.672,1.0,,,,,,,,,,,,,,4.104472,181979.0,0.0233,1.051e-12,0.0,0.194,1.0,0.606806,J064957.16+281417.8,12.75,11.831,2.0,0.618321,3.385565184333443e+18,17.167551,17.867432,22.0,1.0,0.618321,3.385565184333443e+18,AGN,0.381348,1.0,,,,,,,,,,,,,,,,,,,,,
3eRASS J072919.2+081501,112.33029138646238,8.250321788063694,new_bright,138,19.037457,2RXS J072917.9+081501,106.76,-0.678,1.0,,,,,,,,,,,,,,4.75959,205464.0,0.0051,1.333e-13,0.0,0.000261,1.0,0.423407,J072919.28+081500.8,17.184,16.89,1.0,0.59133,3.14327507975482e+18,17.835314,20.032558,15.0,1.0,0.59133,3.14327507975482e+18,CV,0.6675974,1.0,,,,,,,,,,,,,,,,,,,,,
3eRASS J091529.5-690509,138.87303358329106,-69.08584112546575,new_bright,139,29.8473,2RXS J091534.4-690455,82.35,-0.188,1.0,6.943883,XMMSL3 J091530.3-690514,0.899172,2.391685,0.626164,2.0,,,,,,,,1.767079,193744.0,0.0288,1.28e-12,0.0,0.528,1.0,0.972738,J091529.60-690509.9,8.759,8.59,1.0,0.992234,5.222920479527658e+18,12.629377,14.019518,43.0,1.0,0.992234,5.222920479527658e+18,LPV,0.24577382,1.0,,,,,,,,,,,,,,,,,,,,,
1eRASS J053427.4-623926,83.61435899449728,-62.65729685909504,vanished_full,140,,,,,,,,,,,,,,,,,,,,,,,,,,4.019628,J053427.02-623923.4,13.339,13.339,4.0,,,,,,,,,,,,5XMM J053426.7-623915,11.640813479720064,3.60658e-13,3.67624e-14,1.335895e-13,6.0,1.0,,,,,,,,,,,,,,
1eRASS J051754.0-583537,79.47526098274481,-58.59370607100254,vanished_full,141,,,,,,,,,,,,,,,,,,,,,,,,,,6.038339,J051753.97-583543.3,17.574,18.227,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J064759.4-441943,101.99780213470864,-44.3288636268597,vanished_full,142,,,,,,,,,,,,,,,,,,,2.063692,8540.0,0.0144,2.959e-13,0.0,0.0,1.0,2.398146,J064759.56-441941.7,9.462,9.391,1.0,,,,,,,,,,,,5XMM J064759.5-441941,2.9904552178587736,2.7068e-13,1.54797e-15,1.888413e-13,16.0,1.0,,,,,,,,,,,,,,
1eRASS J045545.0-683951,73.93758957836019,-68.66442152863584,vanished_full,143,9.861994,2RXS J045545.5-684001,36.59,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.455742,J045545.15-683949.6,12.334,12.537,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J024930.1-274958,42.37552600280996,-27.833048504121045,vanished_full,144,,,,,,,,,,,,,,,,,,,,,,,,,,5.047749,J024930.18-274953.9,16.055,15.843,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
