family,metric,kind,n_conf,n_spur,k_conf,k_spur,rate_conf,rate_spur,effect,p,min_detectable,testable,n_in_footprint,n_store_rows,p_holm
"D1 (X-ray activity, eROSITA-DE)",D1a in-footprint detection rate,rate,18,15,0,2,0.0,0.13333333333333333,0.13333333333333333,0.19886363636363635,0.35000000000000003,True,40,85,0.5965909090909091
"D1 (X-ray activity, eROSITA-DE)",D1b hard-band (2.3-5 keV) rate,rate,18,15,0,0,0.0,0.0,0.0,1.0,0.35000000000000003,True,40,85,1.0
"D1 (X-ray activity, eROSITA-DE)",D1c DR1-only fader rate,rate,18,15,0,0,0.0,0.0,0.0,1.0,0.35000000000000003,True,40,85,1.0
