kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source
batch,m7_dryrun_B_20260823T153337,13,20,20,20,20,42.523,2.126
batch,m7_dryrun_B_20260823T153337,14,20,19,19,19,40.921,2.154
batch,m7_dryrun_B_20260823T153337,15,20,20,20,20,13.348,0.667
batch,m7_dryrun_B_20260823T153337,16,20,20,20,20,28.982,1.449
batch,m7_dryrun_B_20260823T153337,17,20,20,20,20,35.851,1.793
batch,m7_dryrun_B_20260823T153337,18,20,20,20,20,36.097,1.805
batch,m7_dryrun_B_20260823T153337,19,20,20,20,20,56.295,2.815
batch,m7_dryrun_B_20260823T153337,20,20,20,20,20,12.601,0.63
batch,m7_dryrun_B_20260823T153337,21,20,20,20,20,32.248,1.612
batch,m7_dryrun_B_20260823T153337,22,20,20,20,20,23.921,1.196
batch,m7_dryrun_B_20260823T153337,23,20,20,20,20,32.329,1.616
batch,m7_dryrun_B_20260823T153337,24,20,20,20,20,52.095,2.605
batch,m7_dryrun_B_20260823T153337,25,20,20,20,20,16.4,0.82
batch,m7_dryrun_B_20260823T153337,26,20,20,20,20,20.781,1.039
batch,m7_dryrun_B_20260823T153337,27,20,20,20,20,30.282,1.514
batch,m7_dryrun_B_20260823T153337,28,20,20,20,20,35.793,1.79
batch,m7_dryrun_B_20260823T153337,29,1,1,1,1,3.56,3.56
