family,metric,kind,n_conf,n_spur,k_conf,k_spur,rate_conf,rate_spur,effect,p,min_detectable,testable,n_in_footprint,n_store_rows,p_holm
"D1 (X-ray activity, eROSITA-DE)",D1a in-footprint detection rate,rate,335,182,26,6,0.07761194029850746,0.03296703296703297,-0.04464490733147449,0.05491888471975391,0.2,True,524,1056,0.16475665415926172
"D1 (X-ray activity, eROSITA-DE)",D1b hard-band (2.3-5 keV) rate,rate,335,182,0,0,0.0,0.0,0.0,1.0,0.2,True,524,1056,1.0
"D1 (X-ray activity, eROSITA-DE)",D1c DR1-only fader rate,rate,335,182,0,0,0.0,0.0,0.0,1.0,0.2,True,524,1056,1.0
