metric,population,n_conf,n_spur,p,auc,auc_lo,auc_hi,min_detectable_auc
astrometric_gof_al,all-65,633,347,3.0865241803280006e-16,0.6576159452950362,0.6223767476587859,0.692258400826766,0.5750000000000001
astrometric_gof_al,in-list,633,347,3.0865241803280006e-16,0.6576159452950362,0.6217946879367725,0.6922986920159708,0.5750000000000001
ruwe,all-65,633,347,2.364369970391742e-16,0.658235109332532,0.6220039972501833,0.6924308334585318,0.5750000000000001
ruwe,in-list,633,347,2.364369970391742e-16,0.658235109332532,0.6235291439601914,0.6935966601563389,0.5750000000000001
