family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,21,19,0.31622395056161023,0.40601503759398494,0.22932330827067668,0.5889724310776943,0.7500000000000002,True,0.31622395056161023
B (photometric variability),B1 dAmp_G,num,673,369,0.030742645717490514,0.5404188662986185,0.5036800295566106,0.5775342578834406,0.5750000000000001,True,0.15371322858745257
B (photometric variability),B2 dAmp_BP,num,673,369,0.09101202724180203,0.5316203384916465,0.49431890938523054,0.5687898903506122,0.5750000000000001,True,0.2730360817254061
B (photometric variability),B3 dAmp_RP,num,673,369,0.06554737595057901,0.5344531825704587,0.49761694793768146,0.5711942340448665,0.5750000000000001,True,0.26218950380231604
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,673,369,0.4591647689221333,0.8137817883511075,,,0.15000000000000002,True,0.4861823257129725
B (photometric variability),B5 std_dev_mag_g_fov,num,55,24,0.24309116285648624,0.4166666666666667,0.2833333333333333,0.5553030303030303,0.7000000000000002,True,0.4861823257129725
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,673,369,0.09614766892491791,0.5311290705774814,0.49410614407035597,0.5683930505724076,0.5750000000000001,True,0.38459067569967165
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,673,369,0.8698899355179476,0.5017637323475761,0.4802033124343131,0.5230917060285015,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,673,369,0.6827265848019276,0.4923511196478978,0.45556365946274624,0.5290602085069884,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,673,369,0.05333100680773086,0.536150472946037,0.4991763208865373,0.5728667596854276,0.5750000000000001,True,0.31998604084638516
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,673,369,0.07457523931563133,0.5333599101221325,0.49542884266138354,0.5704245138662383,0.5750000000000001,True,0.3728761965781566
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,673,369,0.4469848261978956,0.5142286489729682,0.47806815939630426,0.5511223659784888,0.5750000000000001,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,673,369,0.7207026156366811,0.49330949475913777,0.4576825040167192,0.5294015793055404,0.5750000000000001,True,0.7207026156366811
