metric,population,n_conf,n_spur,p,auc,auc_lo,auc_hi,min_detectable_auc
astrometric_gof_al,all-65,5,4,0.015873015873015872,0.0,0.0,0.0,0.9750000000000004
astrometric_gof_al,in-list,5,4,0.015873015873015872,0.0,0.0,0.0,0.9750000000000004
ruwe,all-65,5,4,0.015873015873015872,0.0,0.0,0.0,0.9750000000000004
ruwe,in-list,5,4,0.015873015873015872,0.0,0.0,0.0,0.9750000000000004
